총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.9,(주)네이처셀,2022. 07,3점,"""자신의 커리어를 개발하기 위해, 초기 들어가기 괜찮은 업체.""","매출이 있으며, 기업이 하고자 하는 의지가 있어서 성장가능성 존재.","업무강도가 높은편이며, 업무시간이 다소 긴 점이 단점임.","경영진의 투자의지는 좋으나, 전체적으로는 미흡함."
1.9,(주)네이처셀,2022. 07,2점,"""제조업에 바이오회사의 옷을 입힌 회사""","라인 잘타면 뭘해도 상관없음
투명인간처럼 지내면 어느정도 버틸 수 있음","라인 잘 못타면 니잘못도 내잘못 되는 회사
경영진 라인이면 치트키 있음
-> 00님이 지시하셨어요. 00님이 이거 하래요.
일하는 사람만 일하고 어느 쪽은 지시만 하는 회사","특정라인이 아닌 일로 평가 받는 회사로.
가치를 외부에 보이려고만 하지말고 내실이 있는 회사로."
1.9,(주)네이처셀,2022. 07,1점,"""회사에 대한 믿음으로 혼신의 노력을 하던지, 그냥 월급루팡을 하던지 직원들의 극과극의 업무태로를 볼 수 있는 회사. 아무것도 없다면 꿈을 먹고 다니새요.""",열정과 끈기가 있고 일중독인 사람에게는 나의 한계가 어디인지 끝까지 노력해볼 수 있는 기회가 제공된다? 물론 직무에 따라 일이 없어 수월한 팀도 있다.,"안타깝지만 모든 노력들이 보상받지는 못한다, 그냥 회사에 대한 믿음만을 먹고 살아야 한다. 무분별한 인사이동(기존 경력과 무관)으로 다른 데로 가지 못하게 된 능력부족의 고인물들이나 인맥으로 머물고 있는 사람들이 많아 여러가지고 힘든 면이 많다.",좋은 물로 고이게 해주면 좀 더 좋은 회사가 될 수 있지 않을까요?
1.9,(주)네이처셀,2022. 07,3점,"""줄기세포 치료제 무릎연골 재생 건강등등 치료제 및 화장품 관련 제품을 연구하고 만드는 회사""","중소기업 치고는 업무 시스템이 잘 잡혀있어 사회 초년생들이 다닐때 배울점은 있다.
줄기세포에 관심이 있다면 학문적 보단 기업적으로 배우는게 많을 듯
상장기업이다","동종업계에서 연봉이 적은 편에 속한다.
최소한의 복지도 없다
출근과 동시에 휴대폰을 제출한다 점심때 잠깐 사용 가능하고 퇴근때 찾으러 간다",연봉을 올려주든 기업 복지가 다채롭게 구성이 되었으면 합니다
1.9,(주)네이처셀,2022. 06,3점,"""이전에 한참 유행이였던 줄기세포 산업에서 성장하지 못하고 있음.""",사람들이 순한편이고 크게 휴가나 연차에 대한 터치가 많지는 않음.,불필요한 회의가 많고 부서 간에 소통이 잘 되지 않음. 경력과 직급에 대해서도 명확한 경계가 없음,직원들의 의견도 충분히 수렴하기를 바람
1.9,(주)네이처셀,2022. 06,5점,"""다양한 경험을 할 수 있고, 미래 전망이 좋은 바이오 직종""","연차를 눈치 안보고 쓸 수 있으며, 워라벨은 그럭저럭 괜찮은 회사라고 생각함","단순보고를 위한 문서작성이 많은 것 같음
팀장급들이 너무 관리자 역할만 하려고함 팀원들의 상황을 고려하고 일을 분담해줬으면 좋겠음","직원들의 불만을 듣지만 말고, 해결해줬으면 좋겠어요.
앞으로 더 나아갈 회산데 너무 안타깝습니다."
1.9,(주)네이처셀,2022. 06,2점,"""체계가 잡혀있어서 무난한 직장생활을 할 수 있었음
다소 보수적인 면이 많이 있었음""","역에서 가까운데 위치, 나름 빠른 칼퇴근 가능함
스템셀 분야에서 일하고 싶다면 나쁘지 않음
동료들끼리 잘 지낼 수 있어서 좋았음","연차가 자유롭지 않았으나 현재는 어떤지 모르겠음
비교적 많이 보수적이고, 수평적인듯 수직적인 기업","합리적인 보상 및 복지체계를 만들어줬으면 좋겠고
연차와 더불어 성과제도의 연봉체계를 잘 구축했으면 좋겠음"
1.9,(주)네이처셀,2022. 06,1점,"""캔을 만드는 회사인가, 바이오 기업인가""",장점은 상장사! 기반사업은 캔제조라 안정적 하지만 바이오 모아니면 도!,"상장회사임에도 불구하고 가족회사의 느낌!
한사람 한테만 잘보이길 아니면 한사람의 라인한테만.",진짜 회사가 하는게 무엇인지.. 상장사면 상장사답게!
1.9,(주)네이처셀,2022. 05,4점,"""열심히 해볼수도
가만히 있을수도
둘 다 가능한것 같다""",다양한 부서 경험 가능하다 점심 식대가 따로 주어 진다,페이퍼 워크가 많다. 시스템이 잘 갖춰지지 않아서 비효율적인 면이 있다.,"기술개발에 힘써주시듯이
회사 시스템도 더 편리하게 바뀌면 좋을거 같습니다"
1.9,(주)네이처셀,2022. 05,2점,"""급여는 제때 잘나왔었습니다.
야근도 엄청 많았고 회식도 적지않았음""","급여 제때 나오는것...
장점이 없어요 ...
주말수당 나왔던것.?","장점 빼고 단점이 많았습니다.
야근도 많았고
회식도 적지않았습니다.",그때는 되게 힘들었는데 아직도 그런 분위기인지 모르겠습니다.
1.9,(주)네이처셀,2022. 04,1점,"""별이 한개도 아까운 회사라고 생각 함.""",팀 분위기는 전체적으로 좋고 연차는 눈치 안보고 사용가능 함.,장점에 적은거 제외하고 전부 단점임 오너가 잘못된 의견을 내더라도 반박할 사람이 없음,제발 직원들 복지를 생각해주시고 독자적인 선택이 아닌 주위를 돌아보셨으면 합니다.
1.9,(주)네이처셀,2022. 03,2점,"""Gmp에 대하여 간접경험을 해볼수 있는곳, 다양한 세포치료제 실험을 배울수 있음""","식대 지원됨, 지하철에서 가까움 수평적인 팀 분위기, 비교적 자유롭게 연차사용","윗 직급이 아무도 없어서 일을 알려주는 사람이 한명도 없다.
혼자 알아서 해쳐나가야 하는 구조.
고인물 이 썩음.",제발 일못하는 무능한 직원들 오래 일했다는 이유로 감싸지 마시고 그사람들 때문에 나가는 수많은 직원들 생각을좀 했으면
1.9,(주)네이처셀,2022. 02,1점,"""상장사여서 경력쌓기에는 좋으나, 그만큼 갈려나가는 회사""",경력쌓기에 좋음 이직하기 좋음... 그외는.... 딱히없음,"야근수당을 따로 챙겨주지 않는것은 당연한거고
주말근무수당을 어느순간부터 따로 챙겨주지않음...","지금은 나아졌는지는 모르겠으나, 직원들 복지를 우선적으로 챙겨주고 신경써줬으면 좋겠습니다"
1.9,(주)네이처셀,2022. 01,3점,"""가산디지털단지역에서 가까운 서울 역세권 회사""","가산디지털단지역에서 가깝고 월급 밀리지 않고 나옴
직원들의 나이가 어려 팀 내 분위기는 나쁘지 않음",휴대폰제출 / 점심 구내식당 이용으로 인해 메뉴 선택권 없음 / 종교색이 강함,"점심식사의 자율화 필요
신입이 입사하여 배우기는 좋은 곳"
