총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.3,피에스엠씨(주),2022. 03,3점,"""회사는 오랜기간 존속했지만 조직이 체계화 되어 있지 않아 업무 인수인계가 되지않고 설왕설래 모습""",기업 존속기간이 40년이 넘은 만큼 나이 많으신 경력자분들이 많음. 부서별 케바케 이지만 일 배울수 있는 기회는 많음.,고위 직급자 분들이 많아서 신입들은 눈치보이고 정을 붙이고 일을 할 수 없음.,신입직원들이 너무 없고 업무를 기초부터 가르쳐 줄 수 있는 내부 프로세스를 구축하는게 급선무 인듯합니다. 오래된 경험자들이 많아서 그런지 몰라도 대충 일을 가르쳐주는 것은 없애야할 것 같습니다
2.3,피에스엠씨(주),2021. 03,3점,"""반도체 리드프레임 제조하며, 코스닥 상장회사이고 나름 업무절차 및 시스템이 잘 갖추어져 있음""","연차 쓰는데 부담없고, 직원들간에 대화는 잘 통했음. 돌이켜보면 직원들 업무 수준도 평균이상으로 일을 배우기에는 좋음","부서마다 업무강도가 다르고, 급여가 동종업계보다 작음. 지금은 회사가 부산에서 경기도 화성으로 이전한걸로 아는데, 내가 다닐때는 맨날 야근이였음",직원들 급여 및 복지에 신경 써주시기를 바랍니다. 부서별 근무강도 편차가 너무 심해요.
2.3,피에스엠씨(주),2021. 01,3점,"""규모는 줄고 기술력이 뒤쳐졌지만 현 상황을 잘 버티고 있는 회사""",규모는 중소기업이나 전통이 있는 회사라 규정과 체계가 잘 잡혀 있음,회사를 사채업에서 인수한 이후 가는 방향에 걸림돌이 참 많음,회사근로자분들이 연세가 많은 반면 신입직원 젊은 직원을 뽑지 않음(젊은 사람들이 안옴)
2.3,피에스엠씨(주),2020. 12,1점,"""역삼각형 구조에 보수적인 업무방식이 바뀌지 않는다면 5년안에 위험하단 생각이 드는 회사""","칼퇴
음? 30자를 뭘로 채워야 할까요.....
개개인 한사람한사람은 좋지만
업무적으로는 힘든 스타일","비합리적인 업무방식
대부분 50대로 이루어진 역삼각형구조","실무진이 힘이 없고, 투자를 안하면서
회사가 커지길 바라는건 이기적인 마음 같습니다."
2.3,피에스엠씨(주),2020. 09,2점,"""한번 면접보고 합격여부 나오구요! 대부분이 50대로 이루어진 회사""",편안한 분위기로 일하기 괜찮으나 일하다보면 꼰대중에꼰대,"풍산시절을 아직 못벗어나고, 열심히 일하려는 생각을 가진 사람이 거의 없음",전체적인 체계를 뒤엎지않는이상 발전가능성은 없다고 보여짐
2.3,피에스엠씨(주),2020. 02,3점,"""풍산에서 민노총 문제로 분리된 기업""",사무직/기술직/현장직 할거없이 모두가 20년 이상의 장기근속으로 축척된 기술력 보유,대주주가 바뀌는바람에 대주주 방어에 너무 많은 기력을 소모함,경영권 방어만을 위한 경영이 아닌 진정한 제조업 경영진이 되시길...
2.3,피에스엠씨(주),2020. 01,3점,"""다양한경험을 해볼수있었고 해외고객이 많은관계로 자기개발을 위한 동기부여가 많이 되었다.""",성장하는 회사로 회사와함께 성장해간다는 자부심을 가질수있었다.,무리한 사업확장등으로 경영상 어려움을 겪게 되었으며 이로인해 많은사람이 상처를 받게됨.,장기적인 안목으로 투자를 결정하고 인원을 운용하여 지속성장하는 회사가 되었으면 한다.
2.3,피에스엠씨(주),2019. 12,4점,"""그만두게 됐지만 꽤 괜찮은 회사라고 생각함.
2016년 큰 화재로 부산에서 화성으로 옮기고 이제서야 안정적으로 자리 잡아감.
발전가능성은 솔직히 모르겠음.망할것 같진 않음.
워라밸은 다른 어느 기업 부럽지않음
칼퇴에 주말 출근없음. 다만 생산직은 예외.
청년내일채움공제도 지원하는걸로 앎.
개인사정으로 그만두는게 아쉬움.
경영/영업/생관 팀은 2층 사무실 같이 쓰고
1층은 생산.품질팀들이 있음.""","생산직을 제외하면 주말 출근이 없고 평소에도 칼퇴 가능. 워라밸 지킬 수 있는건 참 좋다.
사무직 기준 보통 07:30~17:15 정도.
현대 모비스 1차 협력사. 강하지 않은 업무 강도.
대부분의 직원이 40-50대라 그런지 갈구거나 그런게 없음.
법은 다 지키는듯? 근데 개정된 연차법 적용하는진 모르겠음.
난 품질이었는데 새로운 품질 직원이 온다면
만족할것 같음
경영/영업쪽은 잘 모르겠음.","밥. 맛이나 메뉴는 나쁘지 않은데 동그란 식판때문에
반찬이 서로 섞이고 마치 개밥같아짐.
사무직 야근 수당 없음. 야근이 아예 없지는 않은데, 위에서 시키는건 아니고 본인 일 때문에 가끔 하게됨.
야근 30시간 포함된 포괄임금제라 어떻게든 빨리 끝내고 집 가는게 유리함. 4년제 대졸 기준 연봉 3200 정도? 많지는 않음.
분위기가 많이 무거움. 농담뿐 아니라 대화 자체가 적음
공단쪽이라 출퇴근 시간에 꽤 밀림. 유류비 지원이 없음.
점심시간이 1시간이 아니라 50분임.
몇몇 선배들이 자꾸 밥먹고 산책 가자고 함.
걷는거는 소화도하고 이야기도 하고 다 좋은데 점심시간이 50분이다보니 양치할 시간이 없을때가 있음.
선배들이야 그냥 하지만 신입이 어찌 업무 시간에 양치를 하겠음.","3개월밖에 안해서 이건 뭐 할 말이 없음
회사차량에 하이패스 카드 좀 꽂아줬으면.
개인카드 쓰고 비용 청구하는거 서로 귀찮은것 같음"
2.3,피에스엠씨(주),2019. 10,1점,"""대기업출신 중소기업. 체계나 시스템은 대기업이지만 처리는 중소기업급.""","연차쓰는거 생각보다 자유로움 많이 쉼
일이없어서 쉼 쉬는게 좋은건지나쁜건지 모를정도",미래가 안보임 아직도 안망하는게 신기함 이사갔는데 아직도 부산에서 시위중,진짜 회사살릴 생각인 있는건지 궁금함
2.3,피에스엠씨(주),2019. 08,2점,"""회사가 발전하지 못하고 지체되어 있는 상태""","신입사원은 눈치 안보고 근무해도 됨.
배울수 있는 것도 많은 것 같음.",이미 지체되어 있는 회사라 그런지 하고자 하는 의욕이 없음. 그냥 설렁설렁 하는 것 같음.,기업은 도태되지 않기 위해 끊임 없이 새로운 먹거리를 찾아야 하는데 그러지 않은 것 같음.
2.3,피에스엠씨(주),2019. 07,2점,"""보수적인회사 자리에 끝까지 앉아있어야 일열심히하는줄 아는회사 하지만 휴가는 많음""","단체휴가가 많아서 쉬는날 많음 출근종, 퇴근종, 점심시간종, 쉬는시간종이 울려서 눈치없이 퇴근 가능함",승진이 힘들고 연봉이 낮다 물타기가 심하다 분위기가 조금 무거운 편 퇴근이 바로 가능하지만 바로 하면 뒷말 나오는 곳,일을 잘하는 사람과 꼼수부리는 사람을 구별할 줄 아는 경영진이 되길 바라고 앞으로는 꼭 합리적인 회사가 되길
2.3,피에스엠씨(주),2019. 07,1점,"""전형적인 중소기업의 맛을 느낄수있다. 그 맛이 궁금하다면 군대가 그립다면""",전형적인 중소의 맛을 완벽하게 구사하고 있다 정석중의 정석,사회의 모든 단점들을 아주 골고루 가지고 있는곳 많은걸 느낄수 있을것,아마 자신들도 인지 할 것 못한다면 할 말 없지만 하나라도 개선 시켜보시길
