총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.2,유아이디(주),2022. 09,3점,"""그냥 그런회사 점점 와국인이 많아지는 회사인듯 합니다...""",청주공단에 있어 가까우며 교통이 편리하고 회사가 그리 바쁘진않음.,Lg자회사 느낌이 강하며 관리자들이 그렇게 신경쓰는거같지않음,생산직밑 밑 직원굴에게 조금더 신경써주면 좋겟음....
2.2,유아이디(주),2022. 07,1점,"""미래가 없다.
근무가 들쭉날쭉하고 비전이 없음""","점심밥은 그나마 잘나오는 편.
저녁, 야식은 글쎄..
쉬는시간은 칼같아서 꽤 쉴 수 있음","체계가 잡혀있는듯 보이지만
계획대로 진행되지 않는경우가 다반사
현장직은 죽어날듯","복지에 조금 더 신경써준다면 좋을듯
반영이 늦게되거나 거의 안되는 경우가 태반이라
의견반영이 확실히 되어야 한다고 봄"
2.2,유아이디(주),2022. 07,1점,"""가족같은 회사분위기를 요구하는 회사
개인의 시간을 할애해서 회사에 희생을 강요하고 일부 팀장 및 임원들은 자기 실속 챙기는데 급급하다""","줄잘서서 오래된 몇명이랑 친해지면 회사생활 편하게 할수 있다.
또한 사장 부사장은 회사에 관심이 없어 회사 복지나 생산성은 관심도 없고
경영지원팀은 갑의 부서라 타부서 직원들을 쥐잡듯이 한다.",사람 채용에 있어서 굉장히 쉽게 생각한다 물량이 늘어나면 아웃소싱 업체에 의뢰해서 대거 뽑고 물량이 줄어들면 하나둘씩 정리를 한다 거기에서 살아남고 오랫동안 근무하면 정규직을 억지로 시켜주기도 한다 시켜주면서 생색도 많이 낸다,"딱히 바라는점은 없고 직원들 복지와 급여 부분좀 개선해줬으면 한다.
맨날 아웃소싱에 의뢰해서 직원들을 개미목숨 짜르듯이 뽑앗다 짤랏다 하지 않았으면 한다."
2.2,유아이디(주),2022. 06,2점,"""일하는 동안 퇴사자만 50명 이름 알만하면 퇴사 월급은 적당""",풀무원밥 현장위생상태 청결한편 여름에 시원한편 편하게 다닐생각이면 경험한다생각하고 한번. 쉬는시간많음,연차사용 눈치보임 정규직전환은 버티기만하면됨 퇴사자가 많음,대대적인 변화가필요할듯 복지개선해야할점이 많다 인원관리필요
2.2,유아이디(주),2022. 05,3점,"""계속 다니던사람만 남고, 새로들어온 사람은 자리 못잡고 나가듯..""","연차사용이 업무만 없다면 자유로이사용. 연차미소진시 수당으로 줌.
밥이 잘 나옴. 명절때 상여지급",실무자들이 줄줄이 퇴사. 그 아랫사람들이 갈리는중. 달변가들만 남아서 자기들만의 아지트꾸리는중. 복잡한일생기면 나는모르쇠로 업무 넘김심각.,"기존사람들만 챙기는게 아니라, 같이 일하려는 사람도 챙겨야 더 앞으로 나아가지 않을까요"
2.2,유아이디(주),2022. 04,3점,"""텃세 거의없고 업무 편하고 쉬는시간 길고 하나 사람을 쉽게 쳐냄""",밥 3끼 다먹을수 있음 자취하는사람들한테는 좋음 쉬는시간 30분에 업무 강도량 이 낮아 생산직인데도 불구 하고 생각보다 몸이 편함,일많을땐 사람들 대거 채용 하다가 일없어지면 권고사직 당함 사람을 너무 쉽게쉽게 생각하는 경향이 있다고 판단됨,사람채용에 관해 조금더 신중하게 생각하고 뽑았으면좋겟음 지금은 변햇으라나
2.2,유아이디(주),2022. 02,3점,"""최저시급입니다. 별거없어요. 상여, 성과 없음""",쉬는시간 매우 많아요 쉬는시간은 보장된거같습니다. 1시간30분 일하고 30분 휴무,돈이 안됩니다. 업무도 잘못걸리면 매우 힘들어요. 괜찮은 부서는 정말 할만합니다.,회사 돈 많이벌면 상여금이라도 조금 주면 좋을거같아요
2.2,유아이디(주),2022. 01,3점,"""첫사회생활시작을 했던곳이자 많은것을 배울수있었던직장""","사회생활을 이곳에서 시작하여 많은것을 배울수있었음, 교대때마다 휴무에 당시에 어느정도 만족하며 다녔던것같음",첫직장인만큼 야간근무를 처음해봐서 야간에 일하는게 얼마나 힘든지 겪을수있었음,당시에 기숙사도 그렇고 그래도 첫 사회생활시작치고 많은것을 배울수있게해주었던기업으로 감사한마음을 가짐
2.2,유아이디(주),2021. 11,3점,"""일 배우는 속도가 빠르나 일하는 업무는 괜찮아요.
사람들도 괜찮았어요.""","업무는 쉬웠고 사람들도 괜찮았어요
통근버스도 있었고 어렵지않았어요","연차를 쓰는건 좀 눈치가 보여요.
상여금이 있거나 복지가 더있음좋겠어요","직원들의 의견을 잘들어줬었어요
나름 괜찮았던 회사였는데 복지가 더좋았었움 좋겠어요"
2.2,유아이디(주),2021. 10,1점,"""진짜 기업이라고 하기도 심각한 수준의 복지와 환경이라고 생각함..
복지는 절대 기대하고 가지 말기를 바람..""",품질 쪽은 쉬는 시간이 엄청 많다 조마다 다르지만 1시간 일하고 30분 쉬고 로테이션 돌면서 쉰다,"물 먹는 종이컵도 없는 회사 정말 처음봤고.. 말이 클린룸이지 라인 진짜 먼지 천국이라 방진복도 꺼매지는데 그걸 입고 휴게실에서 뒹굴뒹굴해서 휴게실도 먼지 천국임
피부가 좋아질래야 좋아질 수 없는 환경..
당연히 상여 따위 없고 휴가 주는데 그만큼 더 일해야함 다른 조 휴가로 쉬면
우리 야간 끝나고 5시간도 못자고 출근해야함
그럴거면 휴가라고 왜 하는지.. 진짜 말도 안되는 회사였다고 생각함","진짜 아무리 생산이라도 최소한은 해주시길.. 아직도 꼰대 마인드 가득한 조장들이
제조 갈구는 거 보면 진짜 불쌍해 죽겠어요"
2.2,유아이디(주),2021. 09,1점,"""돈도안주고 힘들고 지치고 무엇하나 맘에들지않는 직장 외로움""",장점이라고하면 쉬는시간을 좀많이주는 회사 그것뿐이업음,단점은 돈적게주고 힘들고 꼰대많고 일에 집중을 할수없음,어차피 안될거같은데 사람ㅈㅎㅁ 제대로된사람들 뽑아주세여
2.2,유아이디(주),2021. 09,4점,"""쉬는 시간 많고 자유도 있는 회사 꼰대들이 많다""",쉬는시간이 많고 사람들끼리 재미있게 일할수 있고 식당이랑 일하는곳이랑 가까움,관리자들이 너무 별로고 몇빼고는 현장에 관심도 없음 그냥 생각없아 다니기좋음 그리고 잘 모름,바라는점이없다 그냥 지금처럼만해도 그냥저냥 다니긴할듯 그리고 잘 모름
2.2,유아이디(주),2021. 08,1점,"""사람 갈아넣어서 돌아가는 회사... 오래다니는 사람이 많이없다""",위치가 시내권에서 가까움 밥잘주고 위치가 찾기쉬움 나름 큰기업,수직적이며 사람을 갈아서 업무를봄 체계가없음 쉬는시간이 재각각이라 누군쉬고 누군안쉬고..,성과급 상여급 정도는 ... 여자들한테 잘해주는건 좋은데 다들 사람 취급정도는했으면...
2.2,유아이디(주),2021. 07,1점,"""알바대용으로 1~2달 일하기 딱좋은 회사 , 경력을 쌓을수록 발전가능성이 없다는걸 느낄회사""","쉬는시간은 많음 , 사람들이 딱히 터치 없음 , 주위에서 머라한들 내일만 하면됨","급여가 너무 적음 , 3조3교대 교대패턴 안좋음 , 연차 조퇴 절대 안댐, 회사의 발전가능성이 없어보임",사람들이 오래 못버티고 계속 갈리는데는 이유가있습니다 명절이나 연말에 보너스 조금이라도 챙겨주세요
2.2,유아이디(주),2021. 07,4점,"""혼자 먹고살 정도는 급여받음 대신 명절 연말 보너스 절대 없음""",쉬는시간은 많은편 근무환경은 생각보다 자유로움 터치는 익숙해지면 웬만하면 거의 없긴함,"급여가 생각보다 적은편임
최소인력으로 생산하고있음
사람을 자주 뽑긴함",복지가 없음 상여금 꿈도 꾸면 안됨 명정 보너스도 없음
2.2,유아이디(주),2021. 02,3점,"""무난하게 다닐수 있는회사 입니다.잠깐돈벌다나가기 좋을거 같습니다""",글러벌 1위라는 자신감을 갖고 다닐수있음 좋음 사내버스 출퇴근가능,불편한거 별로없는데 하나 뽑자면 출퇴근시간이 너무빨라서 피곤,직원들에게 좀더 신경을 많이 써주시면 좋겠습니다. 그럼
2.2,유아이디(주),2021. 01,1점,"""사장의 재정상태가 아슬아슬 외줄타기임""",포장 부서 빼고 다른 부서는 쉬는 시간이 많은 편임. 사람들에 대한 감정 소모는 많이 없는편,사람들이 힘들든 말든 신경 안쓰고 공장 돌아가면 인원 줄이려고 아득바득 줄임. 돈이 많이 없나봄,일을 시키더라도 밥은 어떻게 나오는지 알긴 아는지 궁금함. 맨날 풀떼기.
2.2,유아이디(주),2021. 01,2점,"""경영진중심으로 돌아가는 주먹구문화가 존재하는 기업
남아잇는사람들은 어디가질 못해서 남아있음""","자율적인 식사제도 돈주고 사먹는경우가 많았으며
여러가지 업무를 해볼수있는 장점이 있음",비합리적 인사평가제도 경영지원팀에 잘못 찍히면 승진 및 연봉에 영향이 있음,우물안개구리형태의 기업문화와 업무형태좀 개선햇으면 합니다 사내직원들을 존중해주고 합심하면 더좋은 기업이 될것 같습니다
