총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.5,(주)한길더블류아이티,2018. 09,3점,"""엔지니어일을 하기에 고객대응의 능력을 키울수있다 하지만 기술적인 교육이 부족하고 거의 모든일을 맡기는 경향이 있다""",일이 많지 않은편이고 연차도 자유롭게 사용할수 있다. 어느정도 경력이 있는사람이라면 편안하게 일할수있다,일거리가 적은만큼 신입사원의 경우 교육에대한 부족함이 많다. 경험이적고 신입이라면 피하는게 좋을거같다,엔지니어에게 바라는것이 많이 있듯이 엔지니어에게 투자도 많아야 한다고 생각한다.
3.5,(주)한길더블류아이티,2018. 09,4점,"BEST
""다양한 고객과 다양한 장비에 대한 지식을 배우기엔 좋은 회사입니다.""","엔지니어에겐 많은 권한을 주어 고객과의 관계 개선에 쉬이 다가갈 수 있습니다.
자기 개발을 위해 교육도 적정 수준 이상으로 받을수 있습니다.",엔지니어가 고객의 커버리지까지 케어를 해야 하는 부분이 있어서 대인관계가 약한 분은 처음에 적응하기 쉽지 않을수 있습니다.,"회사의 미래와 현실적인 유지를 위해서 어쩔수 없는 일을 강요 하는 일이 없어야 합니다.
또한 엔지니어에겐 기술이 비전이 될수 있는데 기술적인 부분을 개발 하기 위해서 영업또한 기술에 대한 교육과 지식이 필요 합니다."
날 괴롭힌 삭제된 댓글,(주)한길더블류아이티,2018. 09,,,,,
날 괴롭힌 삭제된 댓글,(주)한길더블류아이티,2018. 09,,,,,
날 괴롭힌 삭제된 댓글,(주)한길더블류아이티,2018. 09,,,,,
2.5,(주)이브이수성,2022. 05,3점,"""부서별로 분위기가 다르지만 어느정도 워라밸을 챙길수있음""","연차사용, 부서별 업무 분장 잘 되어있는편입니다.
부서별로 다르겠지만 워라밸 가능한편","적자로 인해 회사가 기울다가 1, 2년 전부터 회복세로 진입한 듯 하며 신규 사업을 진행하는건 좋지만 실무자들의 일은 늘어나고, 연봉 인상은 글쎄??요 입니다.","일은 늘어나지만 연봉은 거의 비슷한 수준,, 합당한 연봉 협상과 처우개선 필요"
2.5,(주)이브이수성,2022. 05,3점,"""워라벨 가능하고 오래 다닌 사람들 많다.
주말근무도 거의 없음""",연차 마음대로 사용할 수 있고 퇴근도 정시퇴근 가능하며 주말 근무도 거의 없다,"기업 경영진이 바뀌면서 회사가 엉망이 됐다
퇴사자들 늘어남",운반기계 사업에만 집중해주길 바란다 이런저런 사업 끌어오지 말고
2.5,(주)이브이수성,2022. 03,2점,"""40~50대가 직장생활하기 편한 회사............""",연차를 쓰는것이 자유로우며 동료간에 분위기가 좋은 회사,진급이나 급여 부분에 대한 처우가 성과제가 아닌 나이가 크게 영향을 미치는 회사,여러모로 회사 경영에 힘써주시기를 바랍니다...........
2.5,(주)이브이수성,2021. 05,2점,"""역피라미드 구조라서 꼰대가 많다 느낄 수 있음.
근무시간은 항상 정해져 있고 주말 특근은 없음 잔업은 1주에 두번 선택사항. 생산직에 대한 이야기임""","그때 당시 밥이 맛있었으나 대표가 바뀌면서 식당 주인이 바뀌며 지금은 비슷하겠지만 장담 할 수 없음.
주안역에 통근차량이 있음.","생산직은 진급같은거 생각하기 힘듦.
대중교통만 이용해서 출근은 거의 불가능 너무 동 떨어져 있음.
기본 최저 시급.
비전 있는지는 모르겠음","생산직 현장의 관심이 있는지 모르겠음. 실적만 생각함.
생산직 연봉도 관심이 있는지 모르겠음.
복지에 대한 관심이 있는지 모르겠음."
2.5,(주)이브이수성,2021. 05,2점,"""자기들끼리만 싸움
복지따윈없고
몇명 사람들이 망침
커가려면 많은 노력이 필요""","칼퇴가 가능하다
물론 부서에 따라 다름
연차 사용 하기 좋음","보여주기식이 너무 많음
몇명 사람들에 의해서 회사가 움직임
커뮤니케이션 없음","복지 및 직원들 말좀 들어주세요
현장이 어떻게 돌아가는지 확인 부탁해요"
