총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.7,지스마트글로벌(주),2022. 08,1점,"""제대로된 교육이 없었고, 부풀리기가 심했던 회사인것 같았음""",17년 당시 초봉이 괜찮은 편에 속함. 삼성역근처로 코엑스와 가까움,"워라밸, 팀장의 마인드, 신규직원과는 업무를 공유해주지않음, 적자 투성이","부풀리기식의 경영, 왜 상폐인지 알아야함"
1.7,지스마트글로벌(주),2022. 07,3점,"""그냥 무난하게 큰 즐거움도 어려움도 없이 다닐 수 있는 회사였다.""",팀에 따라 차이가 있었지만 내가 소속된 팀은 보수적인 문화에 비해 연차 사용은 어렵지 않았다. 조용히 있으면 큰 어려움 없이는 지낼 수 있다.,"어떻게든 쉽고 적은 업무만 하려고 머리 굴리며 하나 가지고 오래 붙들고 있는 사람들이 조금 있었고, 상식 밖의 빌런이 하나 있었는데 부탁드려도 아무런 제재를 취해주지 않아 힘들었다. 재미있는 일은 전혀 없었고, 복지도 없었다.",본인을 떠받들기 바라지만 존경심을 가질 수 있는 언행을 보인 적이 없다. 먼저 행동을 취한다면 부하직원의 존경심은 당연히 따라옵니다.
1.7,지스마트글로벌(주),2022. 06,1점,"""돈 못받고 일하는 곳.
정치가 있음
일하면서 보람이 없음""","퇴근할 때 눈치 안보고 퇴근함
눈치 줄 때도 있는 것 같운데 돈 안주니까","정치가 심함
돈을 제 때 못주는 경우가 허다함
일 못하는 무능한 윗사람이 많음","쓸데없이 앉아있는 윗사람이 왜 필요한지..
그 사람 빼고 일할 사람을 늘리세요"
1.7,지스마트글로벌(주),2022. 06,1점,"""잘나가던 기업이 대표를 잘못만나 얼마나 쉽게 망가질수 있는지를 보여주는 단편적인 예""",(수정요청에 따름 수정 내용) 회사의 기본 아이템(스마트글라스) 자체의 경쟁력이나 독창성이 뛰어나기 때문에 옥외광고시장에서 경쟁력을 갖출수 있는 바탕을 보유함,회사가 보유한 경쟁력있는 아이템을 잘 활용하지 못하고 신사업과 투자에만 열을 올리다 쇠퇴하는 안타까운 회사임,마무리라도 잘하고 회사를 더 이상 망가뜨리지 않았으면 합니다
1.7,지스마트글로벌(주),2022. 05,1점,"""열심히 일하면 바보가 되는 회사
직원 편의가 없는 회사""","칼퇴 가능. 회식 없음, 직원간 유대관계 없음
장점에 쓸말이 전혀 없음","보고 문서가 업무의 90%
연봉협상 없음, 비전 없음.","정상적으로 회사를 운영했으면
회사는 주식 투자가 아니라 쉽게 손절할 생각을 버리면 좋겠음"
1.7,지스마트글로벌(주),2022. 03,2점,"""열린 마인드의 대표와 해외영업부. 하지만 아이템 성장의 한계""","1. 연차 눈치 안보고 쓸 수 있는 점
2. 회식 강제 안하고 음주강요 안함.
3. 본인이 할당된 업무분야 외 기타 서포트는 거의 없는 수준.
4. 칼퇴 가능","1. 아이템의 시장 범용성이 다소 낮아 해외영업직이라면 어려움에 봉착.
2. 이사진 변동이 잦아서 결재라인이 다소 복잡할 수 있음","연구소의 개편을 통해 아이템의 기술적 개선이 필요합니다.
각국의 경쟁업체 제품들이 가격경쟁력 및 기술적 superiority를 향상시켜 파사드 시장에 진출중이기에, 넋놓고 있다가는 아이템이 고사할까 걱정입니다."
1.7,지스마트글로벌(주),2022. 01,3점,"""워라벨 좋고 사람 좋았으나 기술력이 좀 아쉬웠던 회사""","워라벨
좋은 동료
눈치안보고 연차 사용 가능
신입도 여러가지 일을 해볼 수 있어 성취감 큼","아이템은 참신하나 기술력이 좀 모자랐음
매출에 비해 사람이 너무 많았음 노는 사람이 태반",지스마트그로벌이 다시 부활하기를 진심으로 바랍니다.
1.7,지스마트글로벌(주),2022. 01,1점,"""별점 1점도 아깝다. 개발자의 전문 분야를 무시하고 학교 과제하듯이 일을 던져주고 인수인계도 제대로 이뤄지지 않는다.""","통신비, 문화비가 따로 나온다. 도서구입비를 지원해서 사고싶은 책을 살수 있다.",야근과 주말출근을 권유하듯이 강요한다. 실무자의 의견을 무시하고 경영진의 독단으로 운영된다.,제발 실무자의 의견을 들어주고 이에 맞는 업무지시와 운영을 바란다. 월급 좀 제때 지급해줬음 한다.
1.7,지스마트글로벌(주),2021. 09,3점,"""칼퇴가 가능하고 일이 딱히 없다 그래서 개인시간이 많은게 장점이고 회사 경영이 안좋아지는듯하다""",연차를 눈치 안보고 사용해도 되는 분위기였고 도서구입비 통신비 지원이 있었다. 지금도 있는지는 모르겠다.,업무가 체계적이지 않고 업무가 없었다. 회사 경영 악화로 많은 인원이 퇴사 당했다. 급여도 밀린다고 들었다.,스마트 글라스를 판매하는 회사로 스마트 글라스의 기술을 발전시켜 더 좋은 해상도가 나왔으면 좋겠다
1.7,지스마트글로벌(주),2021. 09,4점,"""편하게 다닐수는 있으나 업무체계가 없고 회사의 발전이 없엊보임 사회 초년생들면 대충 다니다 이직하면 좋을듯 함""","연차를 눈치 안보고 쓸수 있으며, 기타 사무용품등 필요한 만큼 구매할수 있다. 윗사람 눈치안보고 편하게 다닐수있는 부분이 제일 장점",부서는 다양하게 있는데 실질적인 업무를 하는 사람은 몇 안되보이며 업무체계가 없어서 사람이 자주 바뀜,주식에 관련된 부분만 너무 신경쓰다 보니 회사의 주업무는 갈수록 낙후되는 느낌
1.7,지스마트글로벌(주),2021. 07,1점,"""주식에 관심 많았던 회사로 기억함.. 업무적으로는 글쎄""",정시퇴근 가능. 직원들은 대부분 착하고 순했던것 같음 몇몇빼고,상식이하의 사람들이 간혹 있었던거 같음. 업무적으로 성장은 안됨,"아직 잘 운영되고 있는지 모르겠는데, 너무 이것저것 하려하지말고 하나만 파시길"
1.7,지스마트글로벌(주),2021. 06,2점,"""제조업의 원리를 이해 못하고 비체계적인 시스템으로 방관운영 을 하면서도 유지하는게 신기함""",직장내 눈치 보는거 없으면 연차 수월하게 사용이 가능하고 정시칼 퇴근이 가능 함,보고 및 업무 체계의 부재와 전문경영진이 아니어서 그런지 그리 크게 매출 부분에 신경을 덜 쓰는 편임.,제발 최측근의 소리만 듣지말고 실무자들의 의견도 좀 듣고 경영 하시길.
