총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.8,(주)에임하이글로벌,2022. 08,2점,"""솔직히 뭘 하는지 모르겠는 회사, 좋게 말하면 신용등급 하 등급 공무원""","연차를 쓰는데 불편하지 않고 쉬는시간, 점심시간 모두 빡빡하지 않음 업무도 숙달된다면 편하다고 생각함","연봉,복지는 기대할 수 없는 회사 연봉협상도 여러가지 이유로 동결되어 금전적으로는 큰 메리트가 없고 단지 동료와의 정때문에 다닌 회사","일단 직원의 의견은 듣지않고 듣는다고 해도 크게 반영할것 같지 않음, 업무를 항상 주먹구구식으로 하는것같아 살짝 아쉽"
1.8,(주)에임하이글로벌,2022. 05,3점,"""공무원들이 게임회사 다니는 느낌의 회사. 야근없이 출퇴근 시간 딱딱 지킴""",연차 눈치 안보고 쓰기. 수평문화 워라벨이 확실히 보장,발전이 없음 연봉협상 동결 그냥 욕심없는 사람이 다니기 좋은 회사,회사가 긴장감이 하나도 없음 너무 회사내에서도 욕심이 없는편 뭔가 도전하고 기획했으면 좋겠음
1.8,(주)에임하이글로벌,2021. 07,1점,"""적당히 자유롭게 다니고 싶은 사람한테 좋은 회사라고 생각합니다""","윗사람 눈치를 안보고 연차나 칼퇴근 가능, 근무와 근무복장 등 자유로움 윗사람의 터치가 많지않음","비전,방향성은 물론이고 무엇하나 배울것이 부족함 임원진의 신규사업에 대한 의지는 많아보이나 사업을 성공시킬만한 능력이 좋아보이지는 않음",신규사업의 의지만 있고 능력이 부족해보임
1.8,(주)에임하이글로벌,2020. 07,2점,"""정 갈곳 없음 가볼만은 하지만, 웬만해서는 합격해놓고 다른 직장 계속 알아보는 것을 추천. 오래있을 곳은 못됨. 그렇기에 자기 자신에 대해 더 엄격해질 수 있게 되는곳.""",분위기는 매우 자유로움. 인센티브 많이 줄때는 많이줌. 휴가 관련해서도 자유롭게 사용이 가능함. 한가할 때는 매우 한가함. EX)금요일. 근무시간에 자기계발하는데 업무에 지장을 주지 않는 선에서 허용함.,"1년차 연봉협상 안해줌. 사람을 소모품 취급하는 듯하며, '너 나가도 되, 어차피 너 말고 뽑을 사람 많아' 라는 뉘양스를 풍김. 서류작업도 많고, 야근도 많음. 야근수당은 당연히 없고. 성과제도와 관련해서 투명성이 없음.","일부 경영진들은 사람을 사람으로 대하는 법을 배웠으면 좋겠다. 또한, 인맥 신규 사업이라고 아무거나 가져오지 말고, 공사는 구분했으면 좋겠다. 인사 개편도 무조건 가라가 아닌 타당한 이유를 알려줬으면 한다."
1.8,(주)에임하이글로벌,2020. 06,2점,"""사람마다 호불호가 심하게 갈릴 수 있는 곳""",아쉬운 소리 할 일이 별로 없음 / 타 부서 사람들을 전혀 신경쓰지 않아도 됨 / 출근 시간만 지키면 크게 문제 될 것이 없음,몇시간씩 하는 야근은 크게 신경쓰지 않지만 출근시간에서 1분만 늦어도 지각처리하는 규정 / 인근 식사할 곳 마땅치 않음 / 개발사의 컨디션이 너무나 좋지 않아 철야에 야근이 잦음,한국 직원들에게 좀 더 관심을 가졌으면 하는 바램
1.8,(주)에임하이글로벌,2020. 03,1점,"""그냥 시간 때우려면 가도 되는 곳.워라벨은 좋으나 배우고싶다면 비추""","칼퇴근, 자유복장, 눈치보지않는 휴가사용 이외 없습니다","배움이 없음, 소통이 안됨
사내 편가르기 엄청 유치함 이유가 있겠으나 평화주의자라 그런것조차 듣기싫음, 일 할시간에 자고있음",임원님들은 일을 잘하는것으로 생각되고 착해서 바라는점이 없습니다.
1.8,(주)에임하이글로벌,2020. 01,3점,"""회사 분위기좋음 너무 편해서 할일이 없는것도 문제임""",윗사람 눈치 안봄 휴가 및 연차 내 마음대로 쓸수 있음 직원 반이상이 중국사람이라 눈치볼일이 거의 없음,일이없음 위에서 신경을 안씀 팀워크보다는 개인주의가 은근강함 뭔가 긴박함이 없음 회사다니는것보다 놀러가는 느낌이 강함,발전된 역량이 있는 회사로 바뀌어야함 문제는 너무 발전성이 현재는 없어보임
1.8,(주)에임하이글로벌,2019. 08,1점,"""발전 가능성이 없고 그자리임 비교적 자유로운 분위기라 욕심이 없으면 다닐만한곳""","연차를 다른곳에 비해 비교적 쓸수있게 유도해준다
급여가 밀리지 않는다
대표가 중국인이라 그런지 자유로운 분위기이다","대표말이 곧 법
그냥 하라면 하면 된다
마인드 바뀌지 않으면 발전가능성 없음
규정이 너무 없어서 누구말을 들어야할지 모르겠음","본인 생각만 맞다 생각하지 말고
직원들의 말도 귀기울여 줄것
규정 체계 정확하게 만들어 혼란을 주지 않게 할것
여러사업을 벌리지 말고 확실한것만 할것"
1.8,(주)에임하이글로벌,2019. 05,1점,"""중국에서 현지채용한 한국인 노동자에게 한국에서 근무하는 노동자보다 훨씬 못한 대우를 하며 임금도 꾸준히 체불하는 불량기업. 계속 사업만 벌리고 주식은 거래 정지 상태인 이상한 기업.""","친근한 분위기, 점심 식대 제공, 편안한 근무환경, 취업비자 제공","지속적인 임금체불, 제대로 지켜지지 않는 복지, 해외에서 일하는 한국인을 개인의 일에 부려먹는 윗사람들, 잦은 주식거래정지, 퇴직금 미지급, 남녀차별, 근무지 실내흡연,","제대로된 보험과 복지를 약속해주고, 사원들간에 사이가 틀어지지 않도록 이간질을 하지 않았으면 좋겠다. 또한 남녀차별과 성희롱도 근절되어야 할 것이다. 불법적인 것을 뻔히 알면서도 계속해서 이루어지는 실내흡연도 개선되어야 한다."
1.8,(주)에임하이글로벌,2019. 03,2점,"""칼퇴근 가능. 식품쪽 사업은 아쉬움이 많았을 것 같음.""",월급이 밀리지 않는다. 같이 근무하는 직원분들과 화목한 분위기.,신입으로는 비추천. 다 아실 겁니다. 남자분은 군대 재입대하는 기분으로 가면 됨.,다 아실 겁니다.기업과 직원이 상생하는 곳이 되길 바람.
1.8,(주)에임하이글로벌,2018. 12,1점,"""미래의 성장성이 안 보이는 회사. 한중합작이라고 하는데 지배구조를 알 수 없음.""",뛰어난 사람들 그래도 있음. 이분들이 열심히 하고는 있고 중국시장 리서치에 강함.,위기의식 부재. 지배구조의 불확실성. 회사에 돈이 없는 듯.,직원들은 나름 열심히 했다고 생각함. 경영진이 보여줄 차례.
1.8,(주)에임하이글로벌,2018. 08,1점,"""기업에 대한 좋은 인상은 없음
중국 사람이 대표이사임""","적은인원
대표이사가 중국사람이여서 별도 터치가 없어 업무하기 편함","회사의 체계가 없음
중국사람이 대표이사여서 체계가 없고
과연 회사를 발전시키려고 하는건지 의문스러움
별 1개도 주기 어려움","그냥 열심히 하는 직원들 믿고 있음 좋겠고
발전하길 바랍니다."
1.8,(주)에임하이글로벌,2017. 06,3점,"""경영권 변경등에 따른 업종변경등이 잦아 불안요소가 있음.""",출퇴근에 대한 압박이 비교적 자유로운 편으로 개인시간을 활용할 수 있는 장점이 있음.,잦은 경영권 변경에 따른 잦은 업종 변경으로 근무시 혼선이 있고 고용에 대한 불안감이 있음.,경쟁력있는 제품 및 직종으로 선택과 집중하여 진행하였으면 좋겠음.
날 괴롭힌 삭제된 댓글,(주)에임하이글로벌,해외,,,,,
날 괴롭힌 삭제된 댓글,(주)에임하이글로벌,해외,,,,,
