총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.3,한전케이디엔(주),2022. 09,3점,"""정규직 뿐 만이 아니라 무기 계약직 이라도 된다면 안정된 직장이다.""",정규직은 바늘 구멍이지만 급여가 높고 신의 직장임. 무기계약직만 되도 정년이 보장 된다.,내가 다닐때는 무기계약직과 정규직의 급여및 처우가 달랐다. 어느 정도 수준으로 맞춰 준다면 최고의 직장임.,자기 개발할 수 있는 환경을 좀 더 세밀히 조사 후 만들어 줬으면 좋겠다.
3.3,한전케이디엔(주),2022. 09,4점,"""적당히 일하고 길게 가고 싶다면 바로 이 곳. 빠른 변화를 추구하는 사람은 맞지 않음.""",보통 어느 정도 이상의 워라밸 가능. 연차는 다 소진하는 분위기. 아주 수준높은 스킬이 요구되지는 않음.,한전이나 발전사와 비교되는 연봉으로 인한 상대적 박탈감(물론 시작점부터 다른 것은 알고있으나 자꾸 보이니까...?). 월급루팡을 지켜볼 수 밖에 없음. 본사 밖으로 나가 있으면 알아서 해야할 일들이 너무 많음. 일보다 더 힘들다!!!,잠깐 계시다 가는 것 다 아는데 딱히... ㅠㅠ 돈으로 보상이 최고인데 불가능하니 복지에 많이 신경써주십시오...
3.3,한전케이디엔(주),2022. 09,4점,"""전력 유일의 ICT기업으로 전산, 통신이 메인인 회사""","광주, 전남 거주지인 사람에게 거의 최상의 조건, 적당한 업무강도와 적당한 연봉, 휴양소가 좋음",전남 이외 지역의 사람에겐 너무 힘듬. 업종 중 낮은 연봉. 혁신도시 인프라의 부족,일하는 사람만 일한다. 말한대로 일하는 사람이 기본값이라면 일못하는사람 좀 쳐내라
3.3,한전케이디엔(주),2022. 09,4점,"""공기업 내에서 가장 전산직으로써는 일하기 좋은곳이라 생각함""","전산직 직군으로 개발, 새로운 기술 등을 계속해서 접할 수 있음, 알려지지는 않았지만 숨겨진 복지가 많음","누구나 말하는 공기업 내 하위권을 맴도는 낮은 초봉..., 전산직은 위로 올라갈수록 승진이 어렵다?",직원들이 원하는 초봉 인상에 맨날 똑같은 말만 반복하지 않았으면...
3.3,한전케이디엔(주),2022. 09,3점,"""첫회로 보안근무를 하였는데 많은 장비와 실질적인 업무환경에 대해 알 수 있어서 좋았음
계약직으로 근무하여 정규직으로 있었으면 좋았을 회사""","본사에 있지 않아 분위기가 어떨지는 모르겠으나, 계약직임에도 수당이 많이 나와서 만족했습니다.",당연한 이야기이지만 복지 제도가 정규직과는 다르게 계약직신분이라 제한된게 있어서 아쉬웠습니다. 직무 특성상 원하는 지역에서 근무하기가 쉽지 않다는 점이 있습니다.,"경영진에게 바라는점은 직접 마주한적이 별로 없어서 말씀은 못드렸지만, 지금도 잘챙겨주시만 더 챙겨주시면 좋겠습니다. 하하"
3.3,한전케이디엔(주),2022. 09,4점,"""센터 관제요원으로 파견직에도 불구하고 근무지의 솔루션을 직접 운영할수 있어 공기업 인프라 구성을 이해하기에 매우 좋음""","도입되어있는 솔루션 (보안장비, 네트워크 장비)을 직접 운영할수 있어 실무경험 쌓기에 좋음","교대근무라 연차 사용이 자유롭지 못함
파견직 상주 근무다 보니 본사와 적극적으로 소통할 기회가 그리 많지는 않음
연차 또한 근무지 상황에 맞춰서 사용해야함",교대근무자에 대한 연차사용을 조금더 신경 써줬으면 함
3.3,한전케이디엔(주),2022. 09,5점,"""무난무난 그냥저냥 다니기 나쁘지않은 공기업 회사
국내 유일의 에너지 ict 전문 공기업""","휴양소 복지, 밥이 맛있음
국내유일의 ict 전문 공기업
연차사용 자유 눈치없음","초봉이 적다
차장 다는순간 순환해야함 그전까진 알박기가능","초봉좀 올려서 많은 인재들이 올 수 있게끔 해주십시오
그리고 퇴사하지 않도록 신입에게 잘해줍시다"
3.3,한전케이디엔(주),2022. 09,5점,"""전산, 통신이 메인인 회사. 한전이 주 고객사로, 심하게 말하면 한전이 갑이고 우리가 을.""","연차 사용이 자유롭고, 회식 강요없음. 9 to 6 지켜지고 콘도나 휴양소 무료사용 가능. 바쁠때는 바쁜데 거의 여유로워 업무강도가 높지 않음.",을. 을이라서 힘들어요. 위에 선배들이 한전에서 시킨거 걍 다 해줘버리니깐 우리 일이 아닌것도 당연하게 시키면서 갑질하니 밑에 신입들이 죽어나감.,지들 일 아니라고 눈 감고 딴청 부리지말고 아닌건 아니라고 윗사람들이 나서서 컷해줘야되는거 아니냐? 걍 알아서 하란식으로 냅두지 말란말이야.
3.3,한전케이디엔(주),2022. 09,3점,"""애증의 케이디엔 언제까지 다녀야하지? 하면서 계속다님""",IT직종이 주된 공기업으로 직원 대부분 전산 통신직이라서 좋음,"초봉이 최악임 IT인데 이정도 연봉이 초봉이라는거는 진짜 수치임
공공기관중에서도 낮음",신입사원 초봉올리세요 님들 연봉올릴라고 맨날 정률인상하지말고 정액인상하세요 제발
3.3,한전케이디엔(주),2022. 09,4점,"""안정적으로 욕심없이 다니기 좋음. 부서분위기도 좋은 편이고 구내식당이 잘나옴""","자유로운 연차사용 성과급
부서 분위기 좋은 편, 아이티 경력 쌓기에 좋음.",아무래도 한전의 을이기 때문에 한전의 눈치를 많이봄. 일은 사원 대리 급이 다함.,다양한 사업 확장 및 복지와 보상 체계를 좀 더 신경써줬으면 좋겠습니다.
