총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,(주)바른전자,2022. 09,2점,"""맘편히 시간떼우다 가기 좋은곳, 아르바이트로는 괜찮다고 생각합니다.""",자유롭게 일할수 있는게 장점이고 일하다 보면 시간이 잘갑니다.,"복지 제로, 밥 맛없음, 월급 최저시급, 교대 주말엔 2교대, 오후근무걸리면 아침에 끝나서 그담날 아침에 출근",퇴사한 마당에 바라는점은 없지만 좋은 추억이였습니다.
2.6,(주)바른전자,2022. 09,2점,"""업무 스트레스는 많지 않음. 단, 회사의 미래가 어두우며 매출이 낮아 연봉도 낮은편.""","업무 강도와 스트레스는 없으며, 비교적 자유로운 업무 진행이 가능함.",매출이 적고 해외경쟁사에 밀려 수주가 많이 줄어듬. 앞으로의 전망이 불안정함,영업을 통한 수주확보와 운영방안 개선이 시급함. 젊은 나이의 직원이 적어 미래에 대한 방안이 절실함.
2.6,(주)바른전자,2022. 09,2점,"""사람들도 계속바뀌고 회사가 외지에잇음 제조업이지만 나름괜춘""","기숙사 운영 출퇴근시간이
정확하다 자유로운 분위기속 편한분위기",외지에 있고 사람들이계속 바뀐다는점 시간이계속바뀌어 힘들다,사람이 왜계속 바뀌는지 확인하시어 조정이 필요할거같습니다
2.6,(주)바른전자,2022. 08,3점,"""급여가 적고 없는집 살림에 여러가지 하려다 보니 총체적으로 부실했었음""","빡빡하지 않고, 저임금에 그냥저냥 다니기에 괜찮다. 사람들간 분위기는 괜찮음","월급이 적음. 뭐든 알아서 해야하고, 매너리즘 자체가 분위기임","기업회생절차 끝나고, 경영정상화가 잘 되었으면 좋겠음."
2.6,(주)바른전자,2022. 08,3점,"""자차 없이 출퇴근 어렵지만 셔틀 운행/ 워라벨 좋음 식당밥 맛있음""",연차 자유롭게 사용가능 / 개인적인 느낌상 수평적 문화,회사 위치로 인해 출퇴근 어려움 / 현재 기업 상장폐지 심사 몇년째 지속중,딱히 없습니다. 현재 좋지않은 상황에 맞춰서 대처하고 있다고 생각됩니다. 다만 좋아질경우 기존 직원들에 대한 베네핏은 챙겨줘야한다고 생각됩니다.
2.6,(주)바른전자,2022. 07,2점,"""사람들은 매우 좋았으나 경영악화로 인해 아쉽고 개발한계에 부딪힌점이 아쉬움""",출퇴근에 눈치보지 않고 자율적인 분위기가 좋았으며 부서간 업무도좋았다,업무에 대한 인수인계나 프로세스가 미비하고 주먹구구식 업무조율,신규아이템에 적극적으오 발굴하고 수익성을 끌여올려야한다고생각
2.6,(주)바른전자,2022. 06,3점,"""회사가 기울긴 했지만 나름 다닐만한 회사입니다.....""",연차를 나름 조율만 잘하면 편하게 쓸 수 있는 회사입니다,나름 일의 강도가 있어 집과 회사생활 병행에 힘듬이 있습니다,회사를 잘 꾸려서 예전처럼 정상화 부탁드립니다.....
2.6,(주)바른전자,2022. 05,3점,"""회사가 어려운 상황이지만 계속적으로 사업은 유지하고 있어 잘만하면 괜찮을 수도 있을 듯""","연차 사용 자유로움, 근무 중 사내식당 이용 가능, 통근버스 있음","급여 외 받는 거 없음, 복지 제도 부족, OT 있음(주 52시간 내), 주말 근무",좀더 안정적인 고객과 생산 물량 확보가 필요해 보이고 복지제도 마련해 주세요.
2.6,(주)바른전자,2022. 02,2점,"""반도체 웨이퍼부터 완제품까지 시설 구성이 되어있으나 구동 전산이 노후화됨, 매출이 점점 하락세에 들어 점차 힘듬""","연차를 마음대로 사용 가능. 편안한 분위기, 밥이 맛있음","위치가 교통혼잡이라 출근때마다 교통체증 유발함. 총괄실무자에게 인사권 전권을 주어 그 실무자의 영향력이 중요함, 나는 나 너는 너 마이웨이 같은 업무 스타일, 협력이 잘 안되는거 같음","팀 간 원활한 소통이 필요함, 입사한지 얼마안됐는데 구체적인 업무파악이 안됨"
2.6,(주)바른전자,2022. 02,1점,"""무능한 임원들의 탁상행정 및 인원만 배치되면 다 된다는 안일한 생각.""","관리자에 따라 연차를 사용함에 있어 자유로운 편, 업무에 있어 행동이 여유로운 편.","작업자의 업무 능력을 생각하지 않고 설비를 운용, 머릿수만 있으면 된다고 생각함.",기존 작업자의 업무 과부하를 당연히 생각하지 말 것.
