총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,크루셜텍(주),2022. 09,3점,"""연봉수준 워라밸 좋으나.. 기업실적은 하향낙하중..상폐위기""","연차눈치안보며사용, 시차출근제, 자율복장, 본인업무에 적성이 맞다면 좋은분위기","기업실적하락 상폐위기로 퇴사자속출, 임원비율높음, 복지축소",어려운 경영환경에 퇴사자가 속출로 남아있는 실무자들에 부담이 가중되는데 대책이나 비젼제시가 있었으면 좋겠음
2.4,크루셜텍(주),2022. 08,3점,"""신입으로 경력쌓기 좋았던 곳. 판교 근무지가 그리움..""",도서구입비로 책을 구매하여 업무 개발할 수 있었음. 식당이 있어서 좋았음,서서히 사라져갔던…건물..구조조정도 있었고 다음 먹거리를 찾지 못했던 기업,다음 먹거리를 찾아서 다시 회사가 잘 되었으면 좋겠습니다.
2.4,크루셜텍(주),2022. 07,3점,"""나이좀 있는 경력직이 일하기 좋은곳
신입은 딱히 배울게 없어보임""","연차 눈치안보고 씀
일을 편하게 함
월급은 잘 나옴
흠","복지가 몇개있었는데
이제 거의 없다고 봐야함
이직자들이 점점 늘어나고 있음","신규사업을 이것저것 하고는 있지만
미래가 불투명해보임."
2.4,크루셜텍(주),2022. 06,3점,"""항상 신기술, 신시장에 도전하지만 마무리를 잘못하여 회사가 쇠퇴하는 중""","신시장 개척과 회사 성장에 따라 선진적인 시스템과 합리적인 운영 방식을 채택하였음
신기술 수용에 개방적이며, 해외 비즈니스 경험 등의 내공을 보유","회사의 성장이 하락세인 것이 전체적인 회사 분위기도 하락세로 만들어 전반적인 분위기에 힘이 많이 빠진듯
업무의 마무리를 못하고 새로운 일을 항상 벌리는 것이 문제..",가지고 있는 아이템을 충실히 하여 내실을 다지는 것을 최우선으로 하였으면......
2.4,크루셜텍(주),2022. 06,2점,"""새로운 먹거리를 찾으나 그게 잘되지 않는 회사. 기존 블랙베리 뽕에 아직도 취해있음""","자기개발비 지원, 식대 지원, 주차지원 연차사용 가능^^",지금은 구성원이 어떤지 모르나 당시에는 쉣이였음. 윗사람이 아랫사람한테 반말하고 여자들끼리 위계질서 장난 아니었던...,"지난날의 영광에서 벗어나서 새로운 아이템 개발에 힘쓰시고, 회사 외관만 꾸미지 마셨으면..^^"
2.4,크루셜텍(주),2022. 06,1점,"""오래 근무한 직원들도 소모품으로 취급하는 회사""","교육시스템이 잘 갖춰져있음, 연차사용이 자유로움, 급여 밀린 경험 없음","연봉 테이블이 의심스러움, 출근은 빨리! 퇴근은 늦게! 워라밸은 꿈도 못꿈. 근데 아직 안없어졌나 이회사?","안대표님, 제발 주주들 그만 속이시고 할일 좀 하세요."
2.4,크루셜텍(주),2022. 05,3점,"""과거의 영광을 되찾기 위해 발버둥치는 중으로 현재 매우 어려운 상황입니다""",좋은 사람들. 그리고 편안한 근무환경. 널널한 업무이지만 뭔가 허전한 분유ㅣ기,갈수록 즐어드는 매출. 그리고 신사업의 부진으로 막막하나 조금더 노력하면 무언가 될듯함,다시한번 허리띠를 졸라매고 가야 하는 상황입니다. 힘을 모아 옛날 영광을 찾자고요
2.4,크루셜텍(주),2022. 04,3점,"""아쉬운마음이 많은 회사입니다. 잘됬으면 좋겠어요..""","기업의 장점은 회사를 나와서보니 그나마 체계가 잡혀있었더라구요.
정치질은 심하지만 근무하는 사람들은 나쁜사람들은없습니다.
월급안밀리구..","단점이라하면 먹거리를 잘 못찾습니다. 잘만하면 잘될듯한대 언제나 잘안되요.
ㅍ.ㅍ","이제 초기맴버들은 자리를 비우고 근근이 버티고있는대 힘내십쇼..
화이팅입니다."
2.4,크루셜텍(주),2022. 04,3점,"""개발자가 많아서 개발회사라고 할수있습니다.""",연차를 윗사람 눈치 보지 안고 사용해도 된다 퇴근또한 윗사람 눈치 보지 안고 가능한 회사입니다.,연봉상승이 크지 안습닏. 매년 연봉이 동결되거나 오르면 3%로 내외정도로 인상됩니다.,신규사업을 그만추진하시고 기존에 있는 먹거리를 잘 유지하시기 바랍니다.
2.4,크루셜텍(주),2022. 04,3점,"""잘될것 같으면서 잘 안풀림
예측하기 어렵다.""","무식하고 모난사람은 없다.
워라벨 좋은 편같다.
회식 강요 없다.
중식 무료로 지원해 준다.
자유로운 분위기다.","경영이 매년 악화되어간다.
잦은 구조조정으로 직원들이 회사를 불신하고 있다.
높은 직급의 인원이 많다.
조직 분위기가 다운되어 있다.
새로운 제품 개발이 없다",정말 회사를 잘되게 하고 싶은 의지가 있나요
