총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,티에스엠텍(주),2021. 12,4점,"""한국에서 티타늄을 제일 잘알고 있는 회사입니다.""",오랜된 비철관련 제작으로 타 회사 대비 경험 및 서류관련으로 신뢰를 할수 있는곳,"현재는 회생절차를 진행하고 있어 아직은 불안하고, 남아 있는 분들도 언제 구조조정을 할지몰라 여러가지로 안타까운곳",아무쪼록 성공적인 회생절차를 이루어 완벽한 부활이 되었으면 합니다.
2.9,티에스엠텍(주),2021. 12,3점,"""다양한 경험을 진행할 수 있는 곳. 한 때, 압력용기 제조업에서 최고의 위치에 선점한 적이 있음.""","연차 사용에 어려움이 없었다. 자기개발을 진행하고자 한다면, 부서에 따라 다를 수 있지만, 연구소에서는 자기개발에 대한 지원을 해 주었다.","각 부서마다 업무의 강도가 달랐지만, 업무 쏠림현상이 유독 심했다. 경영진의 방탄한 경영으로 인해 우량회사가 부도처리 되는 모습을 보이기도 했다.","개인의 사리사욕보다는 미래에 대한 투자를 좀 더 했었더라면, 훨씬 좋은 미래가 있었을 것 같습니다."
2.9,티에스엠텍(주),2021. 04,3점,"""압력용기 분야에서 한 때, 최고를 달리던 기업""","열심히 하고자 하는 사람에게는 기회가 많은 회사임. 엔지니어에 대해 성장할 수 있는 기회가 다른회사에 비해 큰 부분은 정말 좋은 장점이라고 생각함. 다만, 그 엔지니어에 대한 처루를 잘해줬으면 하는 마음이 큼.","열심히 하는 사람만 죽어라 하고, 그렇지 않은 사람들은 일을 미루고 넘기는게 종종 있음.",예전의 전성기 시절과 같이 좋은 회사가 되었으면 좋겠습니다.
2.9,티에스엠텍(주),2021. 01,3점,"""현재 법정관리중이지만 M & A가 되어서 회생 되면 괜찮을법한 회사""","연차를 자유롭게 사용할수 있으면 현재 연장근무를 하지 않음.
남아있는 직원들 대체로 좋음.","법정관리중이라 사람이 퇴사할때 인수인계가 제대로 되지않아서 업무처리가 힘듬.
직급 높은 사람들이 많이 있어서 업무처리시 원활하게 돌아가지않음",적극적으로 M & A 해서 기업 회생에 성공하셔서 예전에 잘나갔던 티에스엠텍으로 돌아가시길 바랍니다.
2.9,티에스엠텍(주),2020. 12,4점,"""급전이 필요할때 일할만한 곳, 직원들이 친절하고 심지어 사내 식당 밥도 아주 일품""","중식, 야근 석식 모두 제공 / 일당이 쌘편, 야근을 선택해서 할 수 있음 / 통근 버스 제공 (출퇴근 모두) / 직원들이 친절함","단순 제조, 생산 업무라 정신적, 육체적으로 힘들 수 있기 때문에 단기간에 큰돈이 필요하다면 하겠지만 급하지 않다면 하지 않음.","일당이 모든 단점을 무마시킴, 쉬엄쉬엄해도 뭐라할사람 아무도 없음,"
2.9,티에스엠텍(주),2020. 11,3점,"""자율적인 기업문화를 원하는 사람, 책임감과 희생정신을 가진사람 그리고, 도전에 목마른사람에게 추천합니다.""","수직구조가 아닌 자율적 책임제의 문화, 업무를 수행함에 있어 매우 자유로움. 책임감 강한 사람에게 적극 추천 합니다.","노는 부서, 노는 사람은 늘 놀고~ 고생하는 부서, 일하는 사람은 늘 일합니다. 너무 다양한 아이템을 경험도 없이 그냥 수행해야합니다.. 도전적이고 정신력 강한 사람에게 추천합니다. 보수체계가 학력에 치우침이 있어보입니다.","회사의 역무 범위가 현실적으로 이만큼 가능하고, 우리의 역량이 이렇다는 현실성을 경영에 반영하면 좀 더 수익성에 기준한 영업 및 사업 영위가 되지 않을까합니다."
2.9,티에스엠텍(주),2020. 07,4점,"""부도만 안났으면 계속 다니고 싶은 회사""",본인의 업무만 충실하면 ~ 야근이나 회식강요없이 편하게 일할수있었음,"경영악화로 인해 ~ 회사가 부도, 회사내에 노는 사람들이 많았고, 기숙사가 공장내에 있어 여건이 좋지않았음",경영정상화가 된다면 ~ 괜찮은 회사였음.
2.9,티에스엠텍(주),2020. 05,2점,"""현재는 명맥만 유지하고 있으며, 티타늄 전문기업으로
2000년대에는 꽤나 잘나갔다고 알고 있음""","티타늄을 전문적으로 취급하는 회사이며,
티타늄 가공 제작이 전무하던 시대에 한획을 그엇다고 말할수 있음","어디 회사에나 있는 고인물들이 문제이며, 아직 회상이 가능할꺼라는
막연한 기대감으로 이러지도 못하고 저러지도 못하는 회사",놓을때는 확실히 놓아야 되는데 직원들 또한 이러지도 저러지도 못하고 있음
2.9,티에스엠텍(주),2020. 02,2점,"""규모는 컷으나 실속이없는 회사. 연매출기준 동종업계 최고점과 비슷했으나 운영진이 따라가지 못함.""",자유로운 근무환경. 상급자의 터치가 적음.급여또한 적지않으며 동종업체기준 상위권에 속했음.,자유로운 근무환경인 만큼 많은 책임이 담당자에게 전가됨.,잔금회수와 같은 업무수행이 미흡했다.
2.9,티에스엠텍(주),2020. 02,2점,"""티타늄분야의 세계 최고 강자였으나 지금은 겨우 목숨만 연명중""","밥이 맛있었고 정직원들의 근무환경은 상당히 깨끗한편이었습니다.
하지만 협력업체의 작업환경은 정말 열악했죠","연봉인상률이 극악이며 회사가 한참 성장할 시기에 계셨던 분들의 연봉은
지금 밑에분들은 퇴직할때까지 못따라갑니다","지금은 회사가 매우 어려운걸로 알고 있지만 차후 잘 풀리게 된다면
밑에 직원들의 처우에도 조금더 신경 써주시길 바랍니다"
2.9,티에스엠텍(주),2019. 07,2점,"""티타늄을 다루는 특수한회사. 그러나 기업문화가 보수적이고 울산 지역 텃세가 있음.""",부도나기 전엔 직원건강검진을 종합검진 수준으로 실시하여 직원복지 향상에 노력함.,기업의 규모가 어느정도 컷을때도 현장위주로 회사가 운영되어 관리의 개념이 부족함.,부도 후 회사규모가 급격히 줄었는데 다시 일어서서 한발짝 더 도약했으면 한다.
2.9,티에스엠텍(주),2019. 03,4점,"""해양플랜트라는 특수 분야를 다루는 회사. 현재 경영 상황은 좋지 않지만, 이 위기를 잘 벗어나면 다시 크게 성장할 수 있는 기업.""","중소기업이지만 주먹구구식 방식이 아닌 체계가 잡혀 있는 기업.
연차쓰는데 눈치 주지 않음.
신입사원에게 업무에 대해 친절하고 차근차근 교육시킴.
모두 자신의 업무에 대해 배울려는 의지가 강함.","회사 위치. 대중 교통으로 통근하기 불편함.
생산 쪽은 업무 강도가 많은 편이라 주말에도 근무 자주함.","아직 힘든 상황이지만, 티에스엠텍만이 가진 기술력이 있으므로 이 위기를 벗어나면 언제든 잘 나갈겁니다."
