총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.1,한국테크놀로지(주),2022. 06,3점,"""사업의 아이템 변경이 잦고, 캐쉬카우가 없어 불안정성이 크지만,
좋은 사무환경 및 위치를 보유""","특별히 업무에대한 강도가 높은수준은 아니므로, 부서별로 워라벨이 가능하다.","사업의 아이템 변경이 잦고, 캐쉬카우가 없어 불안정성이 크다.",확실한 사업 아이템을 제대로 육성하려는 노력을 하여야 한다고 봅니다.
2.1,한국테크놀로지(주),2022. 04,3점,"""사람들은 좋으신분들이라 근무하기좋았습니다.
하지만 기업기술력은 의문입니다.""","연차눈치안보고쓸수있는분위기라 좋았습니다.
사람들은 좋습니다.",중소기업답게 급여가 너무적고 기술력이없는것같아 회사의 미래가불투명합니다,"직원 급여적인면을 많이 신경써주시고 기술력보강하여
좋은회사로거듭나길바랍니다."
2.1,한국테크놀로지(주),2022. 02,1점,"""워라밸만 좋은 회사 빚이 많은 회사 무슨 사업하는지 모르겠는
회사""","연차를 마음대로 씀
사람들은 좋음
회사 위치 좋음
뭐가 좋을지 모르겠음","장점처럼 워라밸만 좋음
연봉인상없음
무슨 사업을 하는 회사인지 모름",사업 추진에 적극적인 의지가 있으면 젛겠늠 연봉 좀 올려주세요
2.1,한국테크놀로지(주),2022. 02,1점,"""대표가 매우 젊고 회사 위치 때문에 이직을 하게 되었습니다. 장점은 별로 없는 회사라고 볼 수 있죠""","아무 룰이 없는 것도 장점이라면 장점입니다
연차사용 자유로워요",아무래도 인싸와 아싸의 명확한 구분이 있는 집단이라 소속감이 들기가 쉽지않습니다,주식에 대한 관심의 반만 직원들에게 준다면 더 좋지않ㄹ까 싶습니다
2.1,한국테크놀로지(주),2022. 01,3점,"""설계 시공 사업까지 배울 수 있는 곳
하고자한다면 업무 역량을 넓힐 수있다.""","자유로운 사내 분위기
야근은 많지 않고 자기 할일만 잘하면 됨","올드한 마인드 및 비전제시가 약함
업무의 절차가 아직 부족함","직원이 애사심을 가질 수있도록 비전을 제시해야함
장기 근속자가 필요함"
2.1,한국테크놀로지(주),2021. 09,1점,"""무슨 사업하는 회사인지 잘 모르는 상태로 다녔던 기억이 있음""","연차를 윗사람 눈치 안보고 쓸 수 있음
나쁜 사람이 없었늠","장점 빼고는 다 단점이었던 것 같음
위에서 불분명한 지시가 항상 내려옴
연봉이 작음",지시를 할때는 제발 분명하게 해주세요 무슨 이야기하는지 잘 모르겠음
2.1,한국테크놀로지(주),2021. 07,1점,"""성장성은 물론 캐시카우 사업부가 없어, 노후에 취미로 다니기 좋은 회사""","줄퇴사한 직원들 덕분에 텅텅 비어 쾌적하게 느껴지는 사무실
서울 중심부인 서울역에 위치 (10여분 오르막길로 고통)
다들 의욕 없는 분위기라 퇴근시간에 조용히 묻혀서 칼퇴 가능","회사생활 전반 (업무, 인사, 복지)에 체계가 하나도 없다
시도때도 없이 바뀌는 사업부 운영 계획으로 소리소문 없이 접는 사업이 많다
직원들 사이에서 빚 돌려막기로 운영된다는 소문도 도는 상황
임직원 절반 이상이 낙하산이라 기준이 모호하게 돌아가는 승진 등 인사체계
받는 사람만 더 받을 수 있는, 말하기 민망한 수준의 복지
텅텅 빈 사무실과 서울역 위치를 제외한 모든 것이 단점",사업을 제대로 해서 돈을 벌고 직원들에게 줘야하는 돈을 돌려 주시길
2.1,한국테크놀로지(주),2021. 01,3점,"""가족같은분위기를 느낄수있는 회사 나름의 장점이있어서 마음은편함""",나름의복지 높지않은 업무강도 인간미가 보이는회사 대기업문화 추구,시간을 많이뺏기고 회식문화가 잦은편이며 늦게끝나는날이 꽤있음,앞으로는 좀더체계적이고 업무분담을정확히 했음 좋겠어요
2.1,한국테크놀로지(주),2020. 12,1점,"""자동차전장 샤오미 등 다양한 사업을 하고 있지만 수익이 있는지 의문인 회사""",장점 회식이 자주 있고 자신이 구시대 업무 스타일이면 적합한 회사,"자금 시대에 정장 입어야 하는 부분 전자결제 없음
기확자 없는 사업 진핸",확실한 사업 검토 후 추진 해야 하며 지금 시대는 젊은 실무자기 사업을 이끄는 시대 입니다.
2.1,한국테크놀로지(주),2020. 07,4점,"""회사기술력이 부족하여 향후 미래가 불안정해보입니다.
더 발전했으면""",점심식대를 제공했어서 장점 사람은 모두 좋아서 좋은경험이었습니다,경영실적에비해 돈을 함부로 막쓰는느낌 법카를 막씁니다.,"기술발전하여서 좋은기업되시길 건투를 빌겠습니다.
고마6zf1ll"
2.1,한국테크놀로지(주),2020. 03,3점,"""주로 인수 합병 위주로 하는 회사로 자회사 대우조선해양건설이 있음.""",매번 새로운 사업을 추진해서 다양성을 경험할 수 있다.,새로운 사업을 할때마다 인력이 들어왔다가 사업을 접으면 퇴사를 하는 것이 반복된다. 대표가 권위적이다.,"주가 부양을 통해 회사를 운영하지 말고, 실질적인 매출과 영업이익을 낼수 있는 내실 있는 사업을 진행하는 것이 좋겠다."
2.1,한국테크놀로지(주),2020. 02,1점,"""월급받는 입장에서 돈을 어디서 벌어오는지 도무지 감이 안잡히는 회사.""",돈은 꼬박꼬박 잘 주고 업무적으로 터치하거나 상사와 수직관계는 적은편.,"학연, 혈연, 지연 없으면 입사하기 힘들고, 살아남기도 힘듬.",능력과 성과로 직원들을 운용하셔야 롱런할 수 있을 거 같습니다.
2.1,한국테크놀로지(주),2019. 12,2점,"""개인이 가지고 있는 실력보다는 인맥이 우선이 되는 회사""",일보다는 윗선에 아부 잘하고 잘 보인다면 큰 무리 없이 무난 하게 꾸준히 편하게 다닐수 있음.,아부 안 한다고 회사 생활이 힘들어 지거가 그렇지는 않지만 자기 자신의 미래를 봤을때 자아 발전이 더딤.,좀더 시장을 넓히고 진취적인 자세로 회사를 키웠으면 합니다.
2.1,한국테크놀로지(주),2019. 09,1점,"""월급은 꼬박꼬박 나오나 어디서 돈을 조달하는지가 의문일 정도로 일이 없는 회사""",생각없이 시간 때우며 다니기 좋다는 것? 장점을 아무리 생각해도 모르겠다,꼰대같고 무능력한 윗선들. 이 사업 저 사업 되는대로 쑤시고 다니기만 하고 걸리는 건 없음,사업의 방향성을 제대로 좀 제시하고 그에 맞는 지시를 주어야 사업이 되든 말든 하지.
2.1,한국테크놀로지(주),2019. 07,3점,"""기술력이 없어 영업실적이안좋음. 오래다니기 불안한 근무환경.""","분위기는 좋습니다.사람들도 좋고 나쁘지않아요
하지만 오래다니기는힘듭니다
불안해요..
오래다니기 불안..","기술력이없으니 장사가안되고..이사업저사업..
경영실적도 안좋습니다.",경영실적에 신경쓰고 좀더 좋은회사를 만들어주세요.
2.1,한국테크놀로지(주),2019. 06,5점,"""기업인수합병하는회사 주력사업이 뭔지 모르겠는 회사
돈을 어떻게 버는지 미스테리한 회사""","월급이 밀리지 않고 잘나옴
1인 1실 원룸지급해줌 공과금도 내주고 밥값을 돈으로줌
하는 사업이 많아서 갖고있는 역량 자격증만 맞으면 어디든 갈수 있음","여기저기 여러가지 사업을 하는데 정작 직원들은 잘 모름
무슨무슨 기업 인수합병을 했다는데 현장이 어디에 있으며 진짜 있는곳인지 아무도 모름 인터넷 뉴스보고 그런가 보다 함
영흥 화력내 석탄건조 설비는 언제 없어 질지모르는 설비다보니 직원들은 항상 고용불안을 안고가야함
오지에 있다보니 소장자리 같은 관리직군들이 지원을 잘 안 함 남동발전 입김에 소장이 쉽게 잘림
현장 인원구성이 60대이상 늙은이들이 많았는데 이중에서 하고 싶다고 하면 소장도 시켜주는 사태까지 발생 어느 때는 초졸에 청소부 출신이 소장타이틀 잡는 어처구니 없는 일도 발생",건승하세요 번창하시고 통일되면 삼성만큼 커질 사업 추진 중이라던데
2.1,한국테크놀로지(주),2019. 04,2점,"""엔지니어로서 의사 및 의견은 무시하며, 각 부서 임원에 의해서 모든일이 진행""",굳이 장점을 찾으라면 반복된 업무 및 과중한 일에의해 전문성이 늘수있음,임원의 원하는 답이 안나오면 나올때까지 자료를 수정해야함,"부장이하 실무진과의 대화를 통해 회사의 문제점, 나아갈 방향에 대해 토론 필요"
2.1,한국테크놀로지(주),2019. 01,2점,"""좋은 위치 , 잦은 야근. 일을 많이 배우고 싶고 사람들과 정을 쌓고 싶다면 입사를 추천.""","서울 강남구에 위치하여 접근성이 좋음.
본인 업무에 다양한 업무를 경험할 수 있다는 점에서 추천.",잦은 야근으로 인해 회사와 결혼해야 함. 유기적인 업무 협약으로 사람들과 협업이 중요하여 한 번 잘못 찍히면 근무하기 힘듦.,직원들의 개인 시간을 보상해주며 복지 및 자기 계발이 힘쓰게 노력는 것이 필요.
2.1,한국테크놀로지(주),2017. 08,1점,"""일과 가정의 밸런스 보장, 회사의 미래는 그리 밝지않음.""","공기업 발전소 대상 플랜트설비 취급, 아이템에 특수성으로 경쟁자 없음.","인사평가제도 무, 인력관리 신경안씀.
기술력 부재에 대한 근본적인 개선 노력부족.
인수합병과 증자 등의 수단으로 회사연명.","본 사업의 근본적인 기술개선으로 내실을 다져주시고, 각 분야의 실무로 성장한 전문성있는 임원이 많았으면 합니다."
2.1,한국테크놀로지(주),2017. 05,2점,"""직원들도 좋고, 근무환경도 좋은데, 진행되는 사업들이....""","연차사용시 눈치볼 필요없이 맘편히 쓸수 있고, 직원들간에 분위기가 비교적 좋은 편임.","진행중인 사업들의 성과가 언제 도출될지 알수 없은 일들이 너무 많고, 수행사업의 향후 전망이 불확실함.",주요사업에 대해 확실한 기술적 분석과 설비의 효율적인 개념정립이 필요함.
2.1,한국테크놀로지(주),2016. 11,2점,"""뭘하는지 모르겠는 회사
부채가 많은 회사
워라밸 보장 사람이 좋은 회사""","뭘하는지 모르는 회사라 워라밸이 보장되고
사람이 좋은 회사
그 외에 장점을 모르겠는 회사","기업이 추구하는 사업이 뭔지 모르는 회사
하는 사업마다 다 망함
그외에 부채가 너무 많아 힘든 회사","있는 사업을 잘 이끌어 갔으면 하지만 하는게 뭔지
모르겠어서 바라는 것 또한 무엇인지 모르겠다"
2.1,한국테크놀로지(주),2016. 08,1점,"""비전이 없는 회사. 경영진들은 사업보다 주가에 더 관심이 많으며 늘 새로운 먹거리를 찾아 헤메고있음.""",접근성이 좋음. 코스닥 상장. 각개전투 스타일이라 연차는 맘 놓고 쓸수 있음.,경영진이 사업에 별 관심이 없고 검증되지 않은 기술로 시행착오가 많음. 현장 엔지니어들은 발전소에서 엄청 고생하는데 거들떠보지않고 생색만내고 그냥 거기서 끝임. 전직장에서 페이가 쎘다면 잘협의하여 급여수준은 맞출수있지만 여기서 잘돼서 성장하겠다는 기대는 안하는게 나음.,제발 신사업 좀 그만하고 제대로된 기술하나라도 발굴해서 진행하기를 바람. 주가부양해서 임원만 먹고살 생각하지말고 직원들 좀 챙기기를 바람.
날 괴롭힌 삭제된 댓글,한국테크놀로지(주),서울,,,,,
날 괴롭힌 삭제된 댓글,한국테크놀로지(주),서울,,,,,
날 괴롭힌 삭제된 댓글,한국테크놀로지(주),서울,,,,,
1.4,(주)이매진아시아,2021. 09,1점,"""기업사냥꾼한테 인수 된 후...상장폐지됨""","상장사...강남 한복판에 있어서 교통 편리, 점심먹기 편함.
자유로움. 사내분위기는 매우 어두웠으나 임원들의 정치로 인해
사원들은 자유로움",사원보다 임원이 더 많아서 막상 일 할수 있는 실무진은 거의 없고 상장을 유지하기 위한 보도자료용 일에 치중할수 밖에 없었음.,"회사를, 엔터업을 진짜로 해보려고 인수한 사람들 같아 보이지 않았음."
1.4,(주)이매진아시아,2021. 03,1점,"""다시는 들어가고싶지않은 그런곳임. 비추....매우별로임.""",장점이라곤 점심을 먹고싶은 것 먹을 수 있는 것밖에 없다.,"점심 먹고싶은것만 먹을수있다는것.............?
실경영주와 임원들의 횡령으로 고소되었고 주식이 거래중지되고 상폐결정남.. 직원들 급여도 못줌",경영진의 구닥다리식 경영 버리고 직원들 좀 챙겨야 할 회사
1.4,(주)이매진아시아,2020. 06,1점,"""경영진 교체가 잦아 안정적이지 못한 회사이다. 기존의 굵직한 배우들 라인업으로 연명했지만 현재는 배우들도 다들 이적한 상태이다.""","점심식대 지원이 있고, 연차사용 등이 비교적 자유로운 근무형태이다.",지속적인 경영진 교체가 잦아 회사상태가 불안정한 상태이다. 직원들 퇴사율이 높아 안정적인 사업 영위가 힘들어 보인다.,빠른 사업 안정화를 통해 잘 정리되었으면 좋겠다.
1.4,(주)이매진아시아,2020. 03,1점,"""상장회사로 자부심으로 다녔다.
문제는 회사를 m&a 인수한 경영진의 문제""","나름 편하다.
그래도 좋은 사수가 있어서 나는 회사보다 사람을보고 다녔다","경영진의 문제, 매출 부진, 사업분야 부족, 체계적인 시스템 부재, 소통의부재, 리더쉽부족","....
없다. 할말이 없다. 제발 정상적인 회사로 나쁜짓하지말고 정상적인 사업으로 회사를 만들었으면...
회사를 직업으로 다니는 한면한명의 직원들을 생각해주길 바랍니다."
1.4,(주)이매진아시아,2020. 01,2점,"""경영진이 엉망이라 일할 의욕이 사라진다.""",구내식당이 있어 편리하고 당시에 상장회사라 그런지 월급이 다른 엔터에 비해 높았음,경영진은 회사를 온건지 놀이터를 온건지 모르겠음 일하고 있으면 서로 모여서 놀기만 함. 일하기 싫어짐,본인들의 위치에서 제 역할을 할 필요가 있음
1.4,(주)이매진아시아,2019. 01,2점,"""상장된 기업이긴 하나 회사 체계가 제대로 잡혀져 있지 않은 모습..""",연예계쪽 업무에 대해 궁금했던 사람이라면 배워볼 수 있는 기회. 급여지급에 밀리지 않고 휴가 등 자유롭게 쓸 수 있음.,상장된 기업이라 탄탄한 회사이긴 하나 회사 체계가 제대로 잡혀져 있지 않고 경영진 교체가 잦은 편,회사 체계를 잡는게 가장 우선적으로 보입니다. 체계가 불안정하니까 밑에 있는 직원들도 업무에 있어서 불안정해보이는 느낌입니다.
1.4,(주)이매진아시아,2019. 01,1점,"""정말 최악의 회사입니다. 투자회사가 바뀌면서 새로운 경영진들이 들어와서 자기들끼리 다 해먹는 회사입니다.""",장점이 없는회사..그나마 장점이 있다면 업무분위기는 자유로움,"임원진들이 다 해먹는 회사. 직원 복지 1도 생각안하는회사
싸바싸바 잘하면 챙겨주는회사.",직원들을 노예로 보지말길. 적어도 인격적으로는 대하시길.
1.4,(주)이매진아시아,2018. 10,2점,"""대주주가 여러번 바뀌며 경영진도 바뀌고.. 기업문화도 이랬다 저랬다.. 비추""",직원들의 급여에는 좀 신경쓰는편. 대신 시간외수당은 절대없음. 퇴근 시 그다치 눈치 안봄.. 정도?,"매니지먼트랑 관련없는 임원들이 경영, 낙하산 임원 많음. 최고위 경영자 한 사람의 입김으로 경영전반이 좌지우지. 그다지 전망 낙관적이지 않음.",회사를 위한 경영을 했음 함. 윗사람 눈치보며 아랫사람만 달달 볶는 구태의연한 관리방식으로는 직원들의 불만만 쌓일뿐임.
1.4,(주)이매진아시아,2018. 05,2점,"""여타 배우기획사들과 다를 바 없어보이면서도 경영 구조가 특이한 곳.""","비교적 자유로운 분위기, 외근 경비 지원, 연차 사용 가능.",작은 기업이다 보니 체계적인 의사 결정보다는 윗사람의 취향에 따라 모든 일이 결정됨. 자기 발전이 힘들다.,헝그리 정신을 강요하지 않았으면 좋겠다.
날 괴롭힌 삭제된 댓글,(주)이매진아시아,서울,,,,,
2.5,터보테크(주),2022. 02,1점,"""직장내 괴롭힘과 따돌림이 심한 회사, 입사를 추천하지 않습니다""","자유로운 분위기, 식대 제공, 입사후 업무를 알아서 해야 함",대학 선배의 추천으로 입사했으나 추천해준 선배가 괴롭히며 왕따를 주도하여 정신병 걸려 퇴사하게 되었습니다. 업무를 가르쳐 주지도 않으면서 네가 회사에서 한 일이 뭐가 있냐며 쌍욕을 했으며 '조선놈은 욕을 먹어야 한다'는 전근대적인 마인드를 가지고 있는 전형적인 꼰대였습니다.,지금은 사라진 회사지만 다음에 어떤 사업을 하건 사람을 잘 쓰길 바랍니다.
2.5,터보테크(주),2022. 02,3점,"""처음 직장 생활을 했던 곳이 이곳이며 나이가 어리다고 하여 잡무부터 시작해서 온갖 궂은일만 하였던 기억만 남음.""","생산직이라 아무래도 사람들과의 관계가 좋았던 점.
정이 참 많았던 것으로 기억한다.
그리고 기업이 보수보다는 진보에 더 가까웠기 때문에 많은 변화를 경험하며 성장할 수 있었다는 점.","월차 사용하기 힘들었고, 잔업 특근은 거의 필수였다.
더군다나 기숙사 생활을 하다 보니 업무의 연장이라고 볼 수밖에 없었고 일부 간부들의 꼰대 짓으로 정신까지 피폐해졌을 정도였다.","분식회계로 지금은 많은 것이 바뀌었지만..
워 라벨이 지켜지는 회사가 되길 바란다."
2.5,터보테크(주),2022. 02,4점,"""마음 터놓고 임직원들은 즐겁게 일할수 있는 곳이다.""","휴가 및 경조사 등 눈치안보고 사용하며, 여러가지 다양한 업무를 시도해볼수 있는 여건이 마련되어 있음.",복지제도가 다양하며 임직원들의 다양한 의견을 수렴하고자 노력하는 데 잘 수렴되지 않는 것 같다..,많은 임직원과의 대화를 통해 비전제시와 미션을 제시해주셨으면 합니다.
2.5,터보테크(주),2022. 02,2점,"""빡세게 일하면 어느정도 보상은 받을 수 있는 곳. 제조현장을 경험해보고 싶으면 추천.""",자유로운 근무환경. 사람들과 친목. 사람들과 친해지기 좋음. 제조환경을 잘 알 수 있다.,시스템이 정해지지 않아서 머리아플 떄가 많음. 사람들의 입/퇴사가 너무 잦음. 소문한번 잘못나면 스트레스받음.,제대로 된 시스템구축좀했으면좋겠다.
날 괴롭힌 삭제된 댓글,터보테크(주),2022. 02,,,,,
5.0,(주)골드앤에스,2022. 03,5점,"""출근시간이 10시라 편하고 좋았음. 이보영의 토킹클럽이라는 나름 네임드있는 영어학원 프랜차이즈를 운영함""",워라밸은 좋았음 출근시간이 10시라 좀더 여유롭게 아침시간을 활용하기좋았음,사무실을 다른 엔터테인먼트 소속사와같이써서 불편했음 사원증도없음 사내메신저가있긴하나 강제로 쓰긴하나 잘 사용하지않음,임직원의 복지에 좀더 신경써주길 유연한 커뮤니케이션이 좀더 필요
날 괴롭힌 삭제된 댓글,(주)골드앤에스,2022. 03,,,,,
날 괴롭힌 삭제된 댓글,(주)골드앤에스,2022. 03,,,,,
날 괴롭힌 삭제된 댓글,(주)골드앤에스,2022. 03,,,,,
날 괴롭힌 삭제된 댓글,(주)골드앤에스,2022. 03,,,,,
2.1,(주)플레이위드,2022. 09,1점,"""커리어 안쌓을거면 다니는서 추천
공무원 생활 갸능
욕심많고 뒷돈챙기는애들 회사다니기 좋음
뒷돈챙긴다는 말은 단지 뇌물을 얘기하는게아님 게임 뒤쪽으로 아이템생성하는거 좋아하는애들이 돈벌기 좋은곳""","칼퇴 가능 팀바팀이라 팀만 잘들어가면 편히지낼수있음. 팀비있어서 좋음
얼음나오는 정슈기있음","휴게실도 너무 적고 ..담배피는사람만 좋음
경영진들이 게임을 모르고 정치질만,함
사업잘되는거 관심없는것같음 그렇지않고서 자꾸 이상한 게임 만들리가 없음","제발 좀 미래를 내다보고 살았음좋겠음
그리고 남녀차별좀 적당히 하고 제발 정치질좀 그만하고 사업을하고 회사를 운영하길"
2.1,(주)플레이위드,2022. 08,1점,"""개발력 없고 연봉짜서 기피회사 1순위""","연차쓰는데 눈치가 안보인다
판교역에서 가깝다
월급 밀리는일은 없다.","게임 모르는 경영진
무능한 관리자들
유능한 사람들은 비전없는 회사에서 이미 탈출하고 없음","말만 잘하는 무능한 리더급들 교체가 시급함.
유능한 고연봉의 개발자들을 유입시키기 위해 강력한 연봉인상이 필요함"
2.1,(주)플레이위드,2022. 08,1점,"""일은 못해도 정치를 잘해면 다니기 좋은회사, 무능한 팀장 및 고인물월드""",팀바팀 이지만 칼퇴가능합니다. 근처에 구내식당이 있어 저렴하게 점심 해결할 수 있습니다,모솔에 오덕 같은 사람이 돌아다님. 일은 안하고 돌아다니다. 어린 여자팀원이랑 둘이서 연애를 하는건지 둘이서만 항상 히히덕거림. 그러다 그 팀원하고 문제생기니 나가라고 함. 잘못한거 없지만 어차피 저런 팀에 비젼도 없음. 혼자 팀분위기 망치는걸 본인만 모름,"이전 글들에도 무능한 팀장이니, 고인물이니 하는 말들 많이 있지만 정말 일못하고 사람관리 못하는 무능한 사람들 정리안하면 사람만 계속 들어오고 나가고 반복할꺼임."
