총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.5,(주)한국코퍼레이션,2022. 09,3점,"""아이가 있는 30대 여직원이 다니기 좋은회사""","건물이 깨끗함, 야근없이 정시퇴근 가능하며 여성이 다니기 좋은 직장이다. 일이 없을땐 쉬엄쉬엄 근무도 가능",수직적구조이며 업무내용에 비해 교육기간이 너무 짧음. 나이연령대는 대부분 30-40대인편이며 20대가 일하기에는 좋지못함. 급여가 작으므로 다른곳을 도전해봄이 좋음 밥값안나옴,식대가 나왔으면 좋겠으며 업무내용에 비해 급여가 적은것같다
2.5,(주)한국코퍼레이션,2022. 09,3점,"""성과로 압박하는게 따로없고 퇴근시간이 잘지켜집니다
연차쓰기도 비교적 자유로운편입니다""","성과압박 없음, 연차 자유롭게 쓰는 편, 퇴근시간 잘 지켜지는 편","업계 최저연봉으로 월급이 매우 아담함 , 이상한 사람도 있음 , 도급사의 한계로 자율권 없음","연봉 인상 , 매뉴얼적인 부분 더욱 개발하여 발전하시길 . 전반적으로 회사 ㄱㅊ은폇"
2.5,(주)한국코퍼레이션,2022. 09,3점,"""팀장, 매니저 잘 만나면 다닐만한 곳입니다.
고객센터 업무라 진상 정말 많아요""","진상이 많아서 입퇴사자가 많습니다.
정착률을 높이려고 인센을 많이줍니다.
팀장, 매니저를 잘 만나야 다닐 수 있습니다.","진상고객이 너무 많아요.
다시 하라고하면 못할 것 같아요.",이건 프로젝트마다 관리자들이 달라서 한코에 딱히 바라는게 없네요.
2.5,(주)한국코퍼레이션,2022. 09,3점,"""일보다 사람들과 정치하느라 정신 없음. 일은 비교적 쉽고 관리자도 좋은 편, 오래된 기업인지 체계도 잘 되어 있음. 다만 사람들이 오래남지 않음""","적응하면, 일이 비교적 간단함. 단순 업무, 단순 상담 업무라서 이런 업무가 맞으면 금방 적응하기 쉬울 것임","지내는 사람들과 어울리기 시작하면 피곤함이 시작됨.
일이 쉬우면 그만큼 사람들이 말이 많아지는 직종 같음","경영진에게 딱히 바라는 점은 없음. 경영진 나름 노력하는 것이 보이기는 함.
사람이 여럿 모이면 내부적인 정치싸움이 나는 기본적인 문제라 생각함"
2.5,(주)한국코퍼레이션,2022. 09,3점,"""17년 최대주주 변경이후 몰락된 곳 사람으로 버틴곳이 이제 그마저 잃어 아무것도 없는곳이 되었다.""",눈치없이 다닐 수 있는 곳 애사심 없으면 그 어느곳보다 편한 곳이 되어버린 단점이닌 장점이 되어버렸기에 몇몇 사람 빼고는 자기개발 시간 갖을 만큼 칼퇴 워라벨 삶을 갖을 수 있음,"애사심과 책임이 깊으면 힘든곳, 과거 사명변경전은 현재 대기업을 이직하고보니 당시 얼마나 체계가 잘 갖춰져 있었는지 비교됨 그러나 지금은 그런 열정 없는곳",직원에게 투자하세요. 사람으로 매출이 나는 곳입니다.
2.5,(주)한국코퍼레이션,2022. 09,3점,"""건강보험공단에서 상담원으로 일해서 워라밸은 좋았습니다. 하지만 개선해야할 부분들이 여전히 많아요.""","워라밸, 칼퇴근, 자유로운 연차, 육아휴직, 개인 사무 자리","여름, 겨울휴가 없음, 인센티브 월급제, 10년 일해도 그대로인 월급",직원들과 소통해서 청렴하고 믿을 수 있는 이미지가 필요합니다. 노조가 자꾸 늘어나는 이유를 생각해보셔야할거 같애요.
2.5,(주)한국코퍼레이션,2022. 09,3점,"""실장님, 팀장님, 부팀장님, 직원들 사이가 좋아요. 애정 많은 관리자들이 있어요.""","연차 다쓸수 있으며 특휴5일있음(신한은행이라 그런듯)
애정 많은 관리자들이 있음","아무래도 고객센터의 단점인듯, 급여는 어쩔수 없다능;; 근무상 휴일붙여 쉬기 어려워요.","은행과 투쟁하여 급여를 더 올려주심 좋겠습니다.
오래 일하는 직원들이 많다는 건 장점이지만
그들의 경력과 능력에 비해 급여가 참 슬픕니다."
2.5,(주)한국코퍼레이션,2022. 09,2점,"""인바운드 아웃소싱을 주로 하는 회사, 즉 고객사의 요청에 따라 운영을 하는 것인데 정규직으로 입사하더라도 별의미가 없을 수 있다(프로젝트가 빠지면 전혀 다른 타 프로젝트로 가거나, 그게 싫으면 그만둬야한다.) 고용보험이 필요하고 경력이나 기술이 없으며 당장 먹고살 일이 막막할때 가보는것을 추천한다.""",프로젝트마다 다르다. 내가 다녔던 곳은 연차를 별 무리없이 쓸 수 있었다.,"프로젝트마다 다르겠지만 고용이 불안하고 저임금이다. 승진의 기회가 있긴하나 팀장, 파트장 등 관리직 위주이기 때문에 전문화가 어렵다.",경영진이 직원에 무관심하다. 사내복지는 거의 없다시피 하고 인력에 투자할 생각이 전혀 없어보인다.
2.5,(주)한국코퍼레이션,2022. 08,2점,"""매우 정리되지않은 업무프로세스
도급업체이나 급하게 진행을 한건지 전혀 업무프로세스가 없다""",빈틈이 많다 그래서 잘만 적응하면 나름 편하다 선배라고 할 만한 사람이 없어서 터치도 안한다,"이상하게 텃세가 자기네들끼리 있음
급여 매우 작음
프러세스가 없는데 뭘 자꾸 하려하다보니 너무 벅차다는 생각",경쟁사를 무조건 이기자고만 하지말고 체계를 먼저 잡기를
2.5,(주)한국코퍼레이션,2022. 08,3점,"""몸 쓰는 아르바이트는 하기 싫고, 자기소개서를 쓰는 등의 취업 준비는 귀찮다면 딱 좋은 회사
상담사들의 워라밸은 좋음""","대기업의 하청업체로 일하기 때문에, 모니터 등의 주변기기는 좋은 것으로 제공하고
사무실도 시설이 좋은 편, 관리자와 사원간 위계질서가 없고 평등한 편
식대는 지원하지 않지만 사내 카페 등을 운영하여 시중 가격보다 저렴하게 판매함","대다수의 관리자들 능력이 출중하고 애사심이 뛰어나지만, 회사가 그에 맞는 대우를 해주지 않음
관리자도 거의 최저시급에 가까운 급여를 주고, 실적이 좋은 상담사(사원급)보다 낮은 급여를 받는 경우도 있음
회사가 이렇게 대우해 주는데, 관리자들은 왜 그렇게 열심히 일하는지 모르겠음","구성원들 인력 갈아서 높은 자리 앉았으면 경영 똑바로 하시고, 올바르게 사세요
열심히 일 하는 사람들 놓치지 말고 대우도 좀 넉넉하게 해주시구요"
