총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,(주)파티게임즈,2022. 08,2점,"""아직도 10년 전 커피로만 먹고 사는 회사""",성장을 신경 안 쓰면 편하긴 하다. 어차피 연봉 협상 때 정이 떨어지겠지만.,일을 다 파악하고 있는 사람이 없다. 실장이 해야 될 것 같은데 안하네...,개발이 안되면 좀 제대로 된 게임 가져와서 퍼블리싱 했으면 한다
2.4,(주)파티게임즈,2021. 11,2점,"""뭔가 좋아질 줄 알았지만, 결국 다시 원점으로 돌아간...""",연차를 사용하는데 눈치를 주지 않음. 그외에 소소한 복지가 있음. 나쁘지 않음.,비전이 없음. 어떤 일을 해야할지 잘 모르는 것 같아 보이는...,"이상한 투자하지 마시고, 회사를 살릴 수 있다면 좋겠습니다."
2.4,(주)파티게임즈,2021. 10,1점,"""무능한 윗선이 차근차근 말아먹고 있는 구멍가게""","커피머신이 있고 연차 사용이 자유로움(부서마다 케바케)
동료들이 비교적 괜찮다(케바케 부바부)
전체적으로 루즈한 분위기
여기서 가만히 있으면 인생 나락가겠다는 위기감을 심어주어 자기계발 의욕이 고취됨","희안하게도 고연차들이 저연차들보다 업무역량이 딸림
일을 하는 사람만 하고, 눈치보며 자기어필만 하는 사람만 놀면서 연봉 챙겨감
싸바싸바 파리급으로 숨쉬듯 해야 챙김받을 수 있음
전체적으로 고인물이라 개발 수준이 낮아 배울 점을 찾기가 힘듦
능력도 없고 결과물 후진데 연차빨로 고연봉 꿀빠는 사람들 뒷처리반으로 입사하고 싶으면 하세요
꿀이 자동으로 빨아지겠습니까? 아랫사람들 시켜먹으면서 빠는거지","입김 센 몇몇 책임자급들 연막과 사탕발림에 속지 말고 개발 실무진들과 의사소통을 하세요
사람 소모품 취급하다간 능력있는 사람들 다 빠져나가고 어중이떠중이들만 남습니다
이미 재능있고 의욕넘치던 인재들은 거의 다 탈출했을 것 같긴 합니다"
2.4,(주)파티게임즈,2021. 10,3점,"""오래된 게임 하나로 운영, 쉬어가고 싶으면 오는 곳""","연차 편한 날 사용 가능
역에서 가까움
북포인트 분기별 지급","이사 한 이후 회사 위치가 너무 안 좋아짐
근처에 먹을 곳 부족
게임 신작이 나오지 않음",신규 사업에 대한 의지를 보여줘서 회사의 발전이 계속 되는 모습을 보여주길 바랍니다.
2.4,(주)파티게임즈,2021. 08,1점,"""좋은 분들 다 퇴사하고 별로인 회사
옛날은 좋았어도 지금은 최악이라 일못하는 사람들 다수 포진
특히 장급을 조심하세요""","유연근무제, 점심시간을 거의 2시간 사용 가능
그외 없음","일 못하는 사람들이 각종 장급에 포섭되어 있음
일잘하는 사람들은 라인 잘못서면 그냥 평가 개판
야근 많이하면 일 잘하는 사람으로 인식 가능","신규 사업 좀 잘 가져오세요
사람 보는 눈좀 길러주세요."
2.4,(주)파티게임즈,2021. 04,1점,"""코스닥 퇴출 이후 퇴사 분위기 만연하고 의욕 상실""","분기별 도서구입비 지원, 건강검진 지원, 야근시 식대 및 택시 비용 지원",은근히 짜증나는 상신업무. 퇴사 분위기 만연해서 시끌시끌하다. 해야할 업무는 많은데 동료들이 떠나고 있음.,"내보낼 사람을 내보내는건 좋은데 왜 굳이 근무하는 사람한테 나가는 사람 욕을 그렇게 하는지... 그게 나일수도 있다는 생각을 하고, 퇴사까지 이어지니까 나 또한 그렇게 입방아에 오르겠구나 하는 생각이 듦"
2.4,(주)파티게임즈,2021. 03,1점,"""위에부터 썩은 회사 커리어적으로나 모든 부분에서 최악""",퇴직금이나 명절때 주는 상품권 그냥 보통이거나 조금 낮은 복지인게 장점인듯 놀러ㄷㅏ니기는 좋을듯,주먹구구 체계나 미래 없음 높은 자리 앉은 분들 정말 최악이라 생각됨 웃으면서 칼꼽ㄱ는 일 다반사,싹 갈아야함 정신머리부터 윗경영진까지 조만간 망할텐데
2.4,(주)파티게임즈,2021. 03,1점,"""단순히 월급을 받고 싶으면 다닐 수도...""",유연 근무제로 출퇴근에 부담이 없었음. 또... 뭐 있지...,"목표도 보이지 않고 열정도 없는데 권위적이기만 한 회사라...
무슨 희망을 가지고 있는지 전혀 모르겠음",경영진이 보여야 회사가 돌아가지...
2.4,(주)파티게임즈,2021. 03,2점,"""계속 다니면 커리어에 악영향을 끼칠곳..........""","팀원 분위기가 좋았으나 점차 어둠이 몰려옴.
유연근무제","새로운 것을 진행하기 힘듬. 쓸모없는 업무 사항이 많고 발전이 없음
계속 있다보면 썩어버릴것 같음
발전을 없이 반복 업무를 좋아하는 사람 추천드림.",직원한테 돈 쓰기 싫어하면 누가 일을 하고 싶을지...
2.4,(주)파티게임즈,2021. 02,2점,"""지고있는 회사.
상장폐지했음.
살아날수있을까??
IP가 너무 아쉽다.""","팀분위기가 좋다. 입사하자마자 연차가 생긴다. 커피, 간식 있음.
생일날 기프트카드, 도서 지원비 분기별 3만원. 명절선물(김) & 상품권 줌
야근식대있음, 야근택시비 있음.","연봉이 매우 작음. 신작이 없음. 새롭게 온 경영진이 별로나, 이건 사람마다 다르니까 뭐..
상장폐지함. 노후화된 물리장비, 노후화된 개발환경
야근식대,택시비가 왜있을까?",주말에 일하는것에 대한 합리적인 보상 체계가 필요하다고 생각함.
2.4,(주)파티게임즈,2021. 01,3점,"""작은규모에서 플래시경험을 쌓으며 좋은 동료들과일하기좋은환경""",눈치안보고ㅜ연차사용이 가능하며 직원들간에 분위기는 좋으며 일이 많지는않음,연봉이ㅜ작고 회사운영이 경영진마음대로 휘둘리는경향이 많이서 하라는대로 일하는기계가 되어야함,직원 복지와 적극적인투자 그리고 경영마인드를 제대로 갖추고 회사운영이 필요
2.4,(주)파티게임즈,2021. 01,1점,"""전직장이라 조심스럽습니다만, 제가 아는선에는 아무것도 기대할 수 없는 회사 라고 생각했습니다.""",들리는 소문으로는 업무에 비해 높은 소득을 얻을 수 있습니다. 절대적인 높은 소득이라고 할 수는 없지만 업무량에 비해서는 높다고 볼 수 있습니다. 업무에 별다른 소명이 없는 분이시라면 추천할만 합니다.,일처리에 기준도 없고 기대하는 바도 없습니다. 무엇을 위해 존재하는지 알 수 없는 회사 입니다. 회사에 대한 기대가 없다면 오히려 장점일 수 있습니다.,경영진이라고 할만한 사람이 있는지 의문입니다. 경영진 또한 어떤 생각으로 직책을 맡고 있는지 궁금하지만 물어보고 싶진 않습니다
