종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
케이씨,2022.04.26,4.1,3.0,“칼퇴근이 가능한회사”,"눈치 안보고 퇴근시간에 바로 갈수있다
내가 하는일에 책임만 질수있다면 자유롭다","업무량이 너무많다
자기자신만 살면 된다 마인드
회사에 불만이 너무 많은거같다",
케이씨,2022.09.13,4.1,4.0,“워라밸이 보장되는 회사”,"직원 복지를 위해 노력하고자 하는 노력이 보입니다.(식단, 환경, 근태 등)",관리본부에서는 소통하려고 하나 임원과 직원의 동상이몽.,
케이씨,2022.08.05,4.1,1.0,“워라벨은 포기해야한다 정말”,"회사는 정말 좋다. 케바케 팀 잘들어가야함.
회사 진짜 좋다. 직원생각 해주고 해결해주려고함.","선임의 부조리를 말해도 전혀 고쳐지지 않음
자기보다 약한사람의 머리를 때리고, 턱을 맞은 직원도 있다고 들었음 일안하고
이미 유명한 사람임
모든것을 상세하게 보고해도 여러차례 말해도
바뀌지 않음

정도경영이란게 이런건가 싶음

CC는 가지마세요 헬입니다",
케이씨,2022.08.02,4.1,4.0,“워라벨 좋음. ”,삼성역 초역세권 글라스타워의 좋은 위치. 좋은 워라밸.,회사의 낮은 인지도로 인한 커리어 개발의 어려움. 개인의 성장은 개인이 알아서 해야 함.,
케이씨,2022.07.11,4.1,5.0,"“워라벨 보장, 복지 점점 좋아지는중”","1. 워라벨 좋음
2. 복지 증강에 많이 노력을 하고 있는게 보임
3. 부바부겠지만 고인물은 별로 없는듯
4. 체계가 잘 잡혀가는중","1. 지리적 위치(안성), 차 없거나 주변에 안살면 불편
2. 높지 않은 기본 연봉(최근엔 차차 나아지는중)
3. 진행중인 아이템의 한계",지리적 위치로 인한 한계로 타지역으로 이직함. 회사가 나쁜건 결코 아님
케이씨,2022.05.23,4.1,4.0,“꽤 괜찮은 회사”,계약연봉은 높은편이 아니나 원청징수로 본다면 중견기업 탑인듯,잦은 조직변경으로 인해 실무자들의 혼란이 많은편....,
케이씨,2022.04.25,4.1,4.0,“돈 모으기 좋은 회사”,"숙식 제공, 통근 버스 운행, 음료 무상 제공으로 돈 쓸 곳이 없다","일이 많고 퇴근 시간이 일정하지 않다.
그래도 일주일에 이틀 수요일과 금요일은 일찍 퇴근하라고 한다",
케이씨,2022.04.11,4.1,4.0,“사회생활 시작하기 좋은 회사”,"- 적정한 연봉 (중견기업 중 높은 수준)
- 근속년수가 오래되신 직원분들이 많아 배울점이 많음
- 쾌적한 근무환경
- 복리후생 (기본적인 복리후생 외에도 불평불만하는거 다 들어줌)","- 경기도 안성 (안산 아님 안성탕면의 안성)
- 노력은 하고 있으나 평균 근속이 높은 만큼 변화에 두려움이 내장되어 있음
- 조직문화는 태동하고 있으나 임직원의 회사 자부심은 낮은편
- 월급 루팡 상당히 많음",
케이씨,2022.03.16,4.1,4.0,“일은 많지만 직원들 최대한 배려해주려는게 보이는 회사”,"직원 복지가 대기업 수준이고, 급여수준 및 워라밸 나쁘지 않음.",일에 비해 직원이 부족한 느낌. 인원 충원이 비교적 느림.,
케이씨,2022.03.15,4.1,5.0,“직원들을 생각하는 회사”,"복지 및 업무 환경 좋습니다
성과금 만족합니다
워라벨 좋습다","성과금 제외하면 업계 평균 연봉
새로운 사업에 적극적이지가 않는것 같은",
