총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.0,(주)썸에이지,2022. 07,3점,"""회사 나눠지기전에 복지, 분위기 모두 좋았음.
한번 대규모 인원정리함""","자유로운 근무 분위기에 워라벨 보장됐음.
승진은 그냥 기간되면 올려줌.
맞지 않는사람은 어디에나 있음.","회사 나눠지면서 대규모 인원감축.
피바람 불었음.
지금은 모르겠음",게임 개발시에 사업적인부분도 중요하지만 게임 자체의 재미에 귀기울여줬으면 좋겠다.
3.0,(주)썸에이지,2022. 06,2점,"""무난하게 일 배우기 좋은 곳입니다 그런데 다양한 걸 시도하고 배우기는 어려웠습니다""",간식 먹는데 자유롭고 주변에 점심 먹을 곳이 다양해서 좋았어요,일을 할 때 약간 빙 돌아가는 느낌이었어요 사유라도 듣고싶었는데 아쉬웠습니다,업무 프로세스가 좀 더 각 잡혀있으면 좋을 것 같은데 아쉽습니다
3.0,(주)썸에이지,2022. 06,2점,"""혁신도 없고 발전도 없고 본인들이 뭐가 잘못되고 있는지 분석할줄을 모르는 회사""",그저 편하게 다닐꺼면 그런거 신경 안쓰고 다닐수 있는 회사,안정적인 개발을 지향하기 때문에 새로운 혁신과는 거리가 있다고 봄,회사에 대해서만 생각하지 말고 구성원들이 자발적 노력을 통해 개선할 수 있도록 신경 써보시길
3.0,(주)썸에이지,2022. 02,3점,"""평범하게 다니기 좋은회사
어느정도 복지가 있는 회사입니다.""","복지를 어느정도 해주려하고, 평범합니다. 사람들 무난 합니다.","캐시카우가 될 만한 게임이 아직 나오지 않았습니다.
게임 초반 기획이 약한듯 보입니다.",사원들에게 조금더 투자를 하면 더 좋은 게임을 만들 인재로 만들수 있지 않을까요?
3.0,(주)썸에이지,2021. 12,4점,"""적당 적당한 아이티 회사
큰 욕심없다면 다니기 괜찮은 편.""","적당히 일하고, 적당히 대우받을 수있음.
대우 개선을 위해 노력하는 듯 함.
아이티라 빡빡하지 않은 편.
식대 및 포인트도 있음.","엄청 열심히해도 그만큼의 결과는 ? 글쎄…
성과에 대한 보상은 안이루어지는 듯.","합리적인 보상 체계 및 대우가 필요해 보인다.
다른 복지보다 연봉으로 보여줬으면 좋겠다."
3.0,(주)썸에이지,2021. 08,2점,"""프로세스가 없는데 프로세스를 찾는 곳.
바쁘긴한데 결과물도 없고 본인한테 남는 것도 없음""","...어...편하다? 말그대로 자유로운 (알아서 뭘하든 놓아두는) 분위기.
그 외에는 크게 없는데...",결과물이 없음. 실력도 없고.. 프로세스도 없음. 제대로 된 프로젝트 진행경험을 찾긴 어려움,직원들의 사기에 좀 더 신경을 써줬으면 함. 사기가 뚝뚝 떨어지는데 아무것도 안함.
3.0,(주)썸에이지,2021. 08,2점,"""방향성을 못 잡는다.
대표 존재 이유를 모르겠다.""","연차는 눈치 안 준다. 딱 그것 뿐, 이것 외에는 사실상 장점이 없다고 해도 무방하다.","위에 빼고 전부 다. 사실상 모든 것이 단점이다.
개발 프로세스도 별로고, 프로젝트는 나쁘지는 않지만 무작정 좋다고 말도 못 하겠고, 그나마 사람들이 괜찮은 사람들이 많다.","확실한 비전이 필요하다. 사삼삼 계열사라 그런지 종종 갈피를 못 잡는데, 대표의 존재 이유를 보여 줄 필요가 있다."
3.0,(주)썸에이지,2021. 05,5점,"""사람이 좋은 기업 입니다.
수평적인 문화와 좋은 사람들속에서 즐겁게 일할수 있습니다.""","야근은 자율이며, 휴가도 자유롭게 사용 가능합니다.
사람이 좋아서 일하면서 받는 스트레스가 없습니다.
복지도 존재하며 생일, 공휴일에는 휴가비도 나옵니다.","프로젝트가 정상적으로 진행되는지 알수없습니다.
위에서 시키는대로만 만들며 게임의 재미에 대해서는 의견을 낼수 없습니다.
수평적인 분위기이지만 소통이 없으며 모두가 자기가 할일만 하는 공무원 같은 느낌입니다.","신규 사업에대해 직원 평가를 구하면 좋을것 같습니다.
직원들이 단순히 부품이 아닌 같이 게임을 만드는 동료라고 생각하면 좋을것같습니다."
3.0,(주)썸에이지,2021. 04,1점,"""예전의 개발 방식 그대로 지금까지 이어오고 있는 회사. 변화에 민감하지 않은 곳""",개발은 자연스럽게 풀어두는 느낌이다. 장점이라면 장점이지만 뭘 어떻게 관리해야 할지 몰라서 풀어두는 거 일수 있다.,위에서 말한거대로 어떻게 관리할지 잘 모르는 곳. 하지만 관리를 잘 하고 있다고 생각하는게 문제,"계속 불만이 터져나오면 뭔가 문제가 있는건데, 그 부분을 너무 우습게 본다."
3.0,(주)썸에이지,2021. 01,3점,"""개발팀 문화가 조금 이상한 경향이 있습니다.. 이제 그만하고 싶어요...""",무난한 복지 사람을 잘 짜르지 않는다는거.. 고연차가 많아서 배울기회가 많습니다..,무난한 복지 사람을 잘 짜르지 않아서 고인물이 많았습니다. 판교내 애매한 거리내 위치 연봉협상이 아예 없는 회사..,적절한 동기부여 없이는 버티고 버티다가 결국 사라질 흔한 회사중에 하나네요.. 이런 분위기에서는 새로운 프로젝트가 성공해도 시간이 지나면 또 돌아오겠죠
