총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.2,(주)링네트,2022. 08,3점,"""무난무난한 네트워크 회사. 골파라 이름은 유명하고 돈은 업계에 비해 조금 더주지만 고인물들이 많음""",업계에 비해 연봉을 조금 더 주는편. 하지만 업무 강도를 생각하면...,입사 후 3개월만에 지방으로 보내버린다는 얘기를 들음..,복지에 조금 더 신경을 써 주셨으면 합니다. 업계특성상 불필요한 야근이 많음
3.2,(주)링네트,2022. 08,5점,"""네트워크 분야 경력 쌓기 좋다. 대형 고객사들 경험을 통해 대기업이나 외국계로 이직하는 경우 많다.""","3식 제공, 사내 대출, 우리사주 등 복지 좋음, 간식 타임이 있음","역피라미드 구조, 군대식 문화, 엔지니어는 밤샘 작업이 많음",딱딱한 사무실 분위기 좀 바꿔줬으면 좋겠다
3.2,(주)링네트,2022. 08,4점,"""동종업계 대비 연봉이 괜찮다고 생각함. 물론 그만큼 빡셈""",5시 30분 칼퇴가능. 물론 부서마다 케바케로 생각함.,주말 당직근무가 있음. 2~3개월마다 한번씩 당직서야됨.,주말당직 근무수당이 너무 작음. 주말에 반을 써야 되는데. 어느정도 올려줬으면 함
3.2,(주)링네트,2022. 07,1점,"""영업 신입이 들어가서 버티기 힘든 곳, 근무 첫날부터 꼰대짓 일삼으려는 부장 한명 때문에 줄줄이 퇴사""","연봉은 확신히 업계대비 중상위권이며, 영업 거래처 또한 안정적인 편","영업부서 잘못걸리면 꼰대 대리나 부장 걸리는데 답도 없다. 본인 입으로 첫날부터 버틸 수 있으면 버텨봐라, 나는 꼰대다, 이 업계 1위 부서가 여기인데 힘들거다 하는데 7080세대도 아니고 기껏해야 30대인 핵꼰대 보고 그 부서 신입은 줄줄이 퇴사함 탈출은 지능순",아랫사원은 어떻게 구워삶아볼까하던데 젊꼰의 표본 잘보고 런합니다. 그러니 그 부서에 신입이 안붙죠. 그리고 체계가 없는지 OJT도 없더군요.
3.2,(주)링네트,2022. 06,3점,"""시스코 골드파트너 업계중에서 페이높은편으로 알고있습니다""",팀별로 편차가 심하기는 하나 많은 사업 및 프로젝트로 다양한 현장경험 및 기술력향상에 도움됨,신기술에 물론 따라가야하지만 노는게 아니라 진짜로 엄청 바쁜데 참여해야되는 교육이 너무 많음,"강제적인 팀별 교육제도는 폐지하는게 맞을듯 외부강사 교육이라던지 시스코 웨비나쪽으로 집중하는게 좋을듯
팀별 cop는 바쁜와중에 억지로 쥐어짜내며 교육자료 준비하는게 스크레스"
3.2,(주)링네트,2022. 06,2점,"""고이다 못해 고인물들로 인해 변화에 빠르게 수용하지 못함""","식대 나옴
월마다 팀비 제공되고 있음
간식 제공
위 사항이 전부","고이다 못해 고여서 변화에 빠르게 수용하지 못함
누구보다 빠르게 변하는 시장의 흐름에 맞춰야하는데 한계가 있음
역피라미드 구조로 사원-과장급이 갈림
꼰대 문화",왜 퇴사율이 높은지 파악해야함 정말 퇴사자들의 역량 부족으로 나가는 것인지?
3.2,(주)링네트,2022. 06,3점,"""퇴사자 발생 시, 충원이 잘 안되는 부분이 있고..워라벨을 포기해야함.""",다양한 고객사 보유하고 있기에 여러가지를 배울수 있음.,여러가지 네트워크 장비와 기술을 이해해야하기에 쉴틈없이 공부를 해야함..,"위기일수록 기본으로 돌아가라는 말이 있죠. 이럴 때일수록 직원을 진심으로 대해주고, 깊이 있는 대화를 나눠보는게 어떨까요?"
3.2,(주)링네트,2022. 04,5점,"""시스코 골파사로 스킬쌓고 경험쌓기에 좋은 회사""","동종업계에서 상위권 연봉, 식대공짜, 약간의 야근비 지원","팀바팀이지만 곳곳에 꼰대문화가 남아있어보임, 물론 좋은 분위기의 팀도 많음","사원, 대리의 퇴사율을 심각히 생각하여 문제점 보완이 필요함"
3.2,(주)링네트,2022. 04,3점,"""사관학교, 1인 다역을 해야하기에 워라벨은 없지만 다양한 일을 배우고 경험할 수 있다""",업무의 강도를 떠나서 많은걸 배울 수 있다. 신입으로 들어왔을때 팀바팀이긴 하나 다양한 고객사를 경험할 수 있다,회사의 원가절감을 위해 사람을 갈아넣어야한다. 동종업계 비슷한 규모의 회사 대비 인원이 절반정도밖에 안되고 프로세스가 많기에 영업사원이 해아 할 잡무가 너무 많다.,회사의 성장도 좋지만 남아있는 사람들의 고충을 공감해주셨으면 좋겠습니다
3.2,(주)링네트,2022. 04,2점,"""별로임. 그냥 별로임. 제대로 대우를 안해준다.
진급은 초고속. 직급 올리고 싶은 분에겐 추천.""","월급 안 밀리고 제 때 나옴.
승진을 너도 나도 쉽게 함. (월급은 올려주지 않음)","임금을 포함한 모든게 짜다.
팀장이 팀원에 관심이 없다.","제대로 대우해 주세요.
승진으로 달래려고 하지 마세요. 승진을 시켰으면 임금도 올려 주세요."
