총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,(주)네패스,2022. 10,4점,"""기업문화는 좋다. 부바부라 딱봐도 분위기 좋은 부서들이 있지만, 필자는 꼰대과장때메 힘들었다.""","연차사용 좋고 대체적으로 분위기는 좋다.
기업문화는 인정.",위치가 너무 안좋다. 주변에 아무것도 없음.고인물들이 너무 많다. 뭔가 얘기해도 잘 안바뀐다.,"무능한 윗 팀장들 정리좀하고, 괜찮은 관리자들로 바꾸면 회사 더 성장할꺼 같네요."
2.9,(주)네패스,2022. 09,3점,"""업무에 대한 자유도가 상당한 편으로 자유로운 분위기였습니다""","연차를 눈치보지 않고 사용 가능한 편입니다
칼퇴가 가능했습니다","방향성을 잃은 듯한 경영진
사업 확장으로 인한 적자경영",신규 투자로 인해 성과급 같은 정크푸드 미지급으로 직원들 나갑니다
2.9,(주)네패스,2022. 08,3점,"""연차 사용이 자유로운곳, 경영이념이 확고하여 호불호 갈리는 곳""","연차사용 눈치 x , 나이대가 어려 군대식 문화 존재하지않음, 밥 맛있음","체계가 아직 잡혀있지않아서 우왕좌왕 하는일이 부지기수, 버스 노선이 불편하고 기숙사가 2인 1실 인점 , Ot가 많아서 불만이 많음","직원들의 말을 진지하게 귀 기울여 들어줬으면 함 , 수박 겉 핧기 식이 너무 많다고 생각됨"
2.9,(주)네패스,2022. 08,2점,"""부바부 심하고 조분위기 차이 너무심함 너무 불안정
밥은 맛있다""",밥은 맛있음 인정. 사회초년생들 추천함 어린애들 좋아함,"4조3교대 인데 2교대하는 느낌 잔업 특근 너무많다 5일중 3~4일은 하는듯 잔업 ,중간이없다 물량이많을땐 너~무 많고 없을땐 너무없음, 고인물들이 판치고 있음 눈치 잘봐야함, 선임 잘만나야함 간혹 일은 진짜못하고 꼰머 선임뽕에 취한 애들 많음 , 가끔 사무직사람들 보면 생산지식에 대해 너무 모름
그리고 신입을 막뽑는 경향이있음 뭐 50대도 뽑는다... 가르치기 진짜 힘듬",기존 사원들좀 챙겨주길바람 기존들도 안챙겨주면서 위에서는 자꾸만 신입 챙기라고 계속 뭐라하고 기존좀 챙겨주시길 바랍니다 생산직도 사람이예요..
2.9,(주)네패스,2022. 08,3점,"""여러모로 불안정한 회사, 큰 사고에 비해 사소한거에 되게 엄격함. 잔업이 많음. 이게 4조 3교대인지 3조 2교대인지...""","4조 3교대라 근무시간이 8시간이라 생각보다 할만 함.
다른 공정은 모르겟지만 본인 속한 공정은 텃세가 없었음.
a조 일때 오후 3시 퇴근이라 퇴근 후 개인 여가시간 등 챙기기 좋음.","4조 3교대가 원래 이렇게 잔업이 많은 근무인지 모르겠음.
잔업 및 조출이 너무 많아서 이게 4조3교대인지 3조2교대인지 모르겠음. 이거 때문에 장점을 다 잡아 먹어서 장점이 있으나 마나임.
회사 자체가 여러모로 불안정 함.
사소한건 되게 엄격한데 큰 사고는 대체로 넘어감. 형평성이 안 맞음.
현장에서 일하다보면 사무실에서 고로시 오지게 함.
현장직 보다 사무실이 왕 임.
말도 안 되는 시스템 때문에 교육이 강조 돼있음.
덕분에 휴일에도 교육이란 말도 안 되는 이유로 회사에 출근함. 막상 나가서 들어보면 반복적인 이야기 및 쓰잘데기 없는 이야기임.
정규직이 되어도 기존 상여 100%는 오를 기미가 안 보임. 아예 고정으로 못 박음.","서로 같이 일하는 마당에 현장직에게도 막 대하지 말고 잘 대해줬으면 좋겠음.
직원들 불만을 듣기만 하지말고 실천해서 좀 개선 해야 할 점들은 개선 했으면 함. 너무 한 귀로 흘리는거 같음."
2.9,(주)네패스,2022. 10,4점,"""기업문화는 좋다. 부바부라 딱봐도 분위기 좋은 부서들이 있지만, 필자는 꼰대과장때메 힘들었다.""","연차사용 좋고 대체적으로 분위기는 좋다.
기업문화는 인정.",위치가 너무 안좋다. 주변에 아무것도 없음.고인물들이 너무 많다. 뭔가 얘기해도 잘 안바뀐다.,"무능한 윗 팀장들 정리좀하고, 괜찮은 관리자들로 바꾸면 회사 더 성장할꺼 같네요."
2.9,(주)네패스,2022. 09,3점,"""업무에 대한 자유도가 상당한 편으로 자유로운 분위기였습니다""","연차를 눈치보지 않고 사용 가능한 편입니다
칼퇴가 가능했습니다","방향성을 잃은 듯한 경영진
사업 확장으로 인한 적자경영",신규 투자로 인해 성과급 같은 정크푸드 미지급으로 직원들 나갑니다
2.9,(주)네패스,2022. 08,3점,"""연차 사용이 자유로운곳, 경영이념이 확고하여 호불호 갈리는 곳""","연차사용 눈치 x , 나이대가 어려 군대식 문화 존재하지않음, 밥 맛있음","체계가 아직 잡혀있지않아서 우왕좌왕 하는일이 부지기수, 버스 노선이 불편하고 기숙사가 2인 1실 인점 , Ot가 많아서 불만이 많음","직원들의 말을 진지하게 귀 기울여 들어줬으면 함 , 수박 겉 핧기 식이 너무 많다고 생각됨"
2.9,(주)네패스,2022. 08,2점,"""부바부 심하고 조분위기 차이 너무심함 너무 불안정
밥은 맛있다""",밥은 맛있음 인정. 사회초년생들 추천함 어린애들 좋아함,"4조3교대 인데 2교대하는 느낌 잔업 특근 너무많다 5일중 3~4일은 하는듯 잔업 ,중간이없다 물량이많을땐 너~무 많고 없을땐 너무없음, 고인물들이 판치고 있음 눈치 잘봐야함, 선임 잘만나야함 간혹 일은 진짜못하고 꼰머 선임뽕에 취한 애들 많음 , 가끔 사무직사람들 보면 생산지식에 대해 너무 모름
그리고 신입을 막뽑는 경향이있음 뭐 50대도 뽑는다... 가르치기 진짜 힘듬",기존 사원들좀 챙겨주길바람 기존들도 안챙겨주면서 위에서는 자꾸만 신입 챙기라고 계속 뭐라하고 기존좀 챙겨주시길 바랍니다 생산직도 사람이예요..
2.9,(주)네패스,2022. 08,3점,"""여러모로 불안정한 회사, 큰 사고에 비해 사소한거에 되게 엄격함. 잔업이 많음. 이게 4조 3교대인지 3조 2교대인지...""","4조 3교대라 근무시간이 8시간이라 생각보다 할만 함.
다른 공정은 모르겟지만 본인 속한 공정은 텃세가 없었음.
a조 일때 오후 3시 퇴근이라 퇴근 후 개인 여가시간 등 챙기기 좋음.","4조 3교대가 원래 이렇게 잔업이 많은 근무인지 모르겠음.
잔업 및 조출이 너무 많아서 이게 4조3교대인지 3조2교대인지 모르겠음. 이거 때문에 장점을 다 잡아 먹어서 장점이 있으나 마나임.
회사 자체가 여러모로 불안정 함.
사소한건 되게 엄격한데 큰 사고는 대체로 넘어감. 형평성이 안 맞음.
현장에서 일하다보면 사무실에서 고로시 오지게 함.
현장직 보다 사무실이 왕 임.
말도 안 되는 시스템 때문에 교육이 강조 돼있음.
덕분에 휴일에도 교육이란 말도 안 되는 이유로 회사에 출근함. 막상 나가서 들어보면 반복적인 이야기 및 쓰잘데기 없는 이야기임.
정규직이 되어도 기존 상여 100%는 오를 기미가 안 보임. 아예 고정으로 못 박음.","서로 같이 일하는 마당에 현장직에게도 막 대하지 말고 잘 대해줬으면 좋겠음.
직원들 불만을 듣기만 하지말고 실천해서 좀 개선 해야 할 점들은 개선 했으면 함. 너무 한 귀로 흘리는거 같음."
2.9,(주)네패스,2022. 08,4점,"""휴가가 자유로우며 밥이 맛있음 기업문화를 꾸준히 밀고있으나 직원들 공감은 얻지못한""",새로운걸 도전하고 투자에 과감하나 결과가 좋진 않음 밥은 맛있고 직원들끼리 유대감은있음,"인수인계가 주먹구구식, 현실파악못하고 괴산에 공장지음, 기존에 하던거나 잘했으면",괴산은 오판임 그쪽으로 보낼거면 최소한 오창 다른 기업보다 매리트있는 급여나 복지를 제공해야함
2.9,(주)네패스,2022. 08,4점,"""건물 정말잘지음. 타사 방문시 전부 놀램. 그 외 교육복지 정말 좋음""",동종업계 거의 최상위권 기업. 시설 좋고 혜택 많음.,다니는동안 정말 괜찮은 기업이라고 생각됨. 단 규모에 비해 연봉이 조금 약함.,주차장이 좀 더 넓었으면 좋겠습니다. 전용 주차장 반드시 필요.
2.9,(주)네패스,2022. 07,1점,"""부바부가 매우 심한회사 근무인원이 부족한데 인원충원도 안함 현직자만 개고생""","장점이 없는것이 장점
그나마 뽑는다면 밥이 괜찮다 정말 장점이라고 쓸게없다","쓸데없는 교육부터 해서 정말 도움이 1도안됨
인원도 안뽑고 체계도 없고 짬처리만 많이당함 막내는 개고생",돈좀 많이벌면 직원들한테 쫌 상여금이라도 더 주는 성의라도 보여주세요
2.9,(주)네패스,2022. 07,2점,"""종교적인 느낌이 드는 회사. 최첨단 반도체 회사지만 대표의 강의는 착한말 나쁜말 양파 이야기""",많은 일을 배울 수 있으며 신입 연봉을 잘 챙겨주려고 하는 편입니다. 기숙사도 제공해주며 주말에도 구내식당 이용이 가능합니다.,왜 있는지 모르는 감사 문화. 스타라는 오글거리는 호칭 문화. 떠나는 사람이 많아 앞으로의 미래가 불투명해 보이는 회사.,반도체 회사면 반도체 회사다운 문화가 필요하다고 생각됩니다. 신입들보다 원래 있는 사람들을 챙기는걸 우선시 해야할 거 같습니다.
2.9,(주)네패스,2022. 07,3점,"""비교적 깨끗한 환경의 회사 좋은마인드를 가지고있는 회사이다.""",같이 일하는 사람들 괜찮아요 단 기본기가 충실하다는 가정하에,생산 물량이 너무 많아요 그래서 잠시라도 설비를 세우면 안됨,현장직 인원들에 대해 귀를 기울여주셨으면 합니다....
2.9,(주)네패스,2022. 07,4점,"""회사는 성장가능성 높음
개인에게 주어지는 업무가 많음
책임감 강한 사람이 고생하기 좋음""","각 종 자기계발 지원이 있음 본인이 노력하고자 하면 활용하기 좋음
급여 제때 제때 잘 줌 추가 근무 수당 챙겨줌
기숙사 지원","현장의 소리에 너무 귀 기울이지 않음
현장 상황 알면서",현장 상황을 고려해서 직원 배치나 고용이 이루어져야 함
2.9,(주)네패스,2022. 07,3점,"""딱 뭐든 중간인회사
과하지도 않고 부족하지도 않은 무난한 회사""","강압적이지 않은 조직문화
착한 사람들
충북 청주에서는 이름있는 기업","고인물이 많음
급여가 애매함
불필요한 체계가 많음
수작업이 많임","이야기를 많이 들어주세요
소통이 안된다는걸 많이 느낍니다"
