총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,나라엠앤디(주),2022. 09,3점,"""일은 편하고 힘든 일은 딱히 없습니다 조금 지루하죠...""","누구나 쉽게 할 수 있는 일, 하고 있으며 눈치 안 보고 편하게 일 할 수 있습니다.",단순 노동이다 보니 조금 지루하며 여러가지 일을 하고 싶은 분들에게는 비추천,직원 복지에 대해 신경을 써주었으면 좋겠습니다.......
2.9,나라엠앤디(주),2022. 08,2점,"""금형은 발전도 없고 미래가 없다. 금형회사에서 전국 1위 2위 하는 회사인데 금형이 하향이니 회사도 밑으로 쭉 내려가고 있다.""","월급 안 밀리는 거?
상여금 매 달 나오는 거?
창원에서 이름값으로 먹여준다?","사무직은 현장을 노예 취급함.
품질은 자기들이 해야 될거 현장에서 다 함
그리고 임원이 답이 없다?
본사에 비해 기본급 및 상여금 작은 거?",개발팀에 이상한 것좀 그만 가져와요 그러니깐 매 년 적자가 생기지...
2.9,나라엠앤디(주),2022. 08,3점,"""다양한 환경을 경험하고 또 경험하고 경험해보자""",사업기반이 안정적이고 또 안정적이고 안정적이다 그렇다 그것뿐이다,승진이 힘들다 그렇다 정규직 안된다 계약직으로 끝이다 그렇게 알고 다니면된다,군대 문화를 줄입시다 정규직은 안된다는게 함정이네요.
2.9,나라엠앤디(주),2022. 07,3점,"""양산공장현장기준 나이대 30~40대가 주 생산스트레스 적은편 퇴근 자유로운편""","양산공장현장기준 눈치 안보고 연차 사용가능. 명절,하계휴가,생일별도지급, 경조사 자녀학자금동 복지 괜찮음","양산공장현장기준 단순반복잡업으로 발전없음. 본사(금형공장)에비해 임금작음,",신규사업 추진으로 매출증대가 되어 예전처럼 성과금을 받았으면..
2.9,나라엠앤디(주),2022. 06,2점,"""돈은 많이 벌수 있으나 근시간이 너무 길다.""",술 좋아하고 일만 하시고 돈을 많이 벌고싶은분한테는 추천 드립니다.,근무시간과 근무강도가 세서 육체적으로 많이 힘드네요 . 작업복도 입던거 주더라구요,정규직이랑 차별이 너무 격차가 심해서 열악하기는 하네요 .
2.9,나라엠앤디(주),2022. 05,3점,"""지나고나니 그렇게 안좋지도 좋지도 않은회사
그냥 버티시면 절반은 가는 회사입니다.""",우리사주가 있습니다. 지금은 어떨지 모르겠지만 그때당시엔 좋은 혜택이엿습니다.,위에가 약간 보수적인 문화를 가지고 있습니다. 하지만 본인 할말을 하고 스스로 자신의 위치를 지켜가십시오,신규사업 확장 및 모든 직원에게 평등하게 대우해줄 수 있으면 좋겠습니다
2.9,나라엠앤디(주),2022. 04,2점,"""금형회사에 있어서 업계서 알아주는 회사 그만큼 노하우가 쌓여있음""",자기 분야의 전문성을 기를 수 있으며 돈도 많이 준다 식당 밥도 맛있으며 아침 점심 저녁까지 회사서 해결 할 수 있다,퇴근시간은 항상 늦고 회식이 잦은 편 돈을 많이 주지만 그만큼 일을 많이 시킴,신입들이 들어왔다 못버티고 나가는 걸 보면은 바꿀 생각을 해야되는데 신입이 문제다라고 여기는게 강함
2.9,나라엠앤디(주),2022. 04,1점,"""일이 점점 줄어들어 미래가 불안하다.
전기차관련아이템이 필요할듯보임.""","연차 사용 자유롭다. 밥이 맛있다.
명절보너스 휴가비정도?","일이 점점 없어지고 성과금안나옴.
직원들은 열심히하는데 어디서 적자가 나는지 몰겟음.
미래아이템이 없음. 기본급이 너무 작음.",당장 앞만 보지말고 미래를 위해 투자를 하면 좋겠습니다.
2.9,나라엠앤디(주),2022. 04,2점,"""금형에 대하여 배울 부분은 많이 있으나 시장 상황이 좋지 않아 최근 힘든 상황을 겪고 있음""","자유로운 연차 소진 가능, 점심, 저녁 식사 제공, 동종업계 대비 높은 연봉, 금형에 관련해서 나름 선도 기업","은근 꼰대가 많으며 일부부서들의 업무를 제대로 하지않아 피해를 보는 경우가 많음, 점점 떨어지는 영업이익",금형만 만들어서는 한계가 있는 상황이니 새로운 먹거리를 위하여 양산쪽으로 집중을 한다면 금형 제작+양산+유지보수 모두 가능하여 경쟁력이 있을거같음
2.9,나라엠앤디(주),2022. 02,3점,"""회사 전체로 볼땐 성장할수 있지민 쪼개서 본다면 좋지도 않고 나쁘지도 않음""","연차 마음대로 쓸수 있음
일이 너무 타이트하지 않음
복지가 있을껀 다있음","복지가 있을껀 다 있지만 연봉에 포함됨(세세한것 까지다)
본사 창원공장 계열사 다틀림
시급이 작음 (최저시급을 마춰서 줌 이것저것다 더해서)
이익이 나지 않고 있음(사업부별로 틀림)","원인을 분석하고 원인을 해결해야 앞으로 나아갈수 있다 생각함
자꾸 대체해서 때우려하지말고 그럼 나중에 또 똑같은일이 반복적 으로 발생함"
