총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.2,(주)동진쎄미켐,2022. 09,3점,"""그래도 부서 바이 부서 겠지만 그렇게 좋지도 나쁘지도 않고 괜찮아요. 취업도 어려운 시장에""","밥 잘나오고 이것도 부바부겠지만 야근 있고 없고도 있고, 야근 수당 당연히 있고 나름 괜찮습니다. 여튼 들어오는 게 먼저니까요","복지제도가 점점 줄어들고 있는 것 같고, 야근도 좀 많이 하는 것 같고 사실 제일 중요한게 복지인데 상승했으면 좋겠네요",직원들에 대한 격려가 있으면 좋겠고 그게 보상으로 오면 더더욱 좋겠네요. 이게 가장 이상적이지 않을까요
2.2,(주)동진쎄미켐,2022. 09,1점,"""뭐 하나 칭찬할게 없음 유일한 복지는 야근수당이 전부임""","기업의 장점이 없는데 30자를 어떻게 쓰라는건지?
그래도 반도체 분야에서 이름은 알려져있음",업무의 단순화가 아닌 복잡화 인력을 갈아넣음 쓸모없는 회의 많고 그에 따라 업무가 계속 생김 사람은 없고 일만 많아짐 열악한 근무 환경,"어차피 바뀌지도 않을꺼 기대도 안함
회사가 점점 퇴보해감"
2.2,(주)동진쎄미켐,2022. 09,2점,"""2조2교대로 발포제사업은 국내독점을 차지할정도, 하지만 발포제 시장이 크지않기때문에 어느 한계점은 보입니다
잔업수당을 52시간 맞춰 채울 수 있고 월급은 일한만큼 받을 수 있으며 월 2회로 쪼개서 줍니다
최근 2차전지에 관심을 보이며 투자하기 시작했습니다
시흥공장은 별개지만…""","연차는 눈치를 봐야 쓸 수 있습니다. 월,금요일말에 연차쓴다고하면 노는줄압니다. 아침,점심,저녁 기숙사 제공 교통비 지원해주며 성과급은 50%미만으로 나올때 있고 안나올때도 많습니다 시간외수당을 잘 챙겨주며 월급은 밀리지않고 꼬박꼬박 잘 나옵니다","단순포장 업무이기때문에 일의 강도가 엄청나며 손목, 허리 안아픈곳이 없을정도로 병원비가 더 많이 나가는것이 아닌지 생각이 들정도입니다. 생산량을 맞춰야하기 때문에 무리를 해서라도 맞춰야하며, 맞추지 못하면 눈밖에 나서 눈치밥을 먹어야합니다",직원들이 바라보는 시선과 경영진의 시선은 회사가 크고 발전하여 더불어 성장하는 것인데 어찌 경영진만 배가 더 부르고 있는건지요. 같은곳을 바라보는 직원들의 복지도 잘 챙겨주세요
2.2,(주)동진쎄미켐,2022. 09,2점,"""나의 워라벨을 갈아 넣어 데이터를 채우는 곳
하지만 버틴다면 좋은 곳으로 점프?""","연차 사용 자유로움 (부바부)
신입사원에게 직무적으로 어려운 일을 요구하지 않음","나의 저녁시간은 없다
심지어 주말에도 한번씩 당직근무를 서야함
야근을 많이 하는것이 일하는 사원이라는 분위기가 존재","성과금이랑 복지가 너무 없음
특히 복지가 생일 카드..."
2.2,(주)동진쎄미켐,2022. 09,4점,"""기업 규모에 맞게 직원들에 대한 복지 확대가 필요한 회사""",사람들이 대부분 똑똑하고 젠틀하다. 서로 존중해주고 위해줘서 분위기는 좋음,기업이 직원들이게 주는 복지가 너무 부족함. 명절마다 나오는 참치가 전부.. 반성이 팔요,암것도 안주면서 쥐어 짜내기만 하면 직원들은 결국 나가게 됨.
2.2,(주)동진쎄미켐,2022. 09,3점,"""여기서 다니면서 돈걱정과 그런거는 줄일수있고 단기간 도움되는회사""",연차는 자율적이고 복지나 이런점도 나쁘지않다고 평가합니다.,급여가 신입사원이랑 몇년경령직과 돈이 차이가 없어서 조금 그렇습니다.,합리적인 복지차원에서 더많은 지원과 그리고 수리나 이런쪽에서 도움주면 좋겠네요
2.2,(주)동진쎄미켐,2022. 09,1점,"""오래된 회사. 시설도 문화도 업무도 너무 오래되고 고였다""",삼시세끼 나오는 밥 이거외에는 정말 한개도없다 장점이..,"비효율적인 업무의 끝, 고이고 고여서 바뀔수도 없는 오래된 악습들, 직원들은 그냥 소모품에 불과함",직원들을 위한 회사를 만들어주면 좋겠습니다
2.2,(주)동진쎄미켐,2022. 09,3점,"""점심시간 밥은 정말 맛있었다. 다른건 잘 모르겠다. 그래도 나름 괜찮았다""","노동강도가 생각보다 괜찮았고, 근무시간은 상여금 주는 방식이 근무하는 만큼 나오던때라 괜찮았다",정말 말그대로 일하는 시간만큼 급여가 나오기때문에 회사 내규라서 말할순없지만 정말로 일한만큼만 나온다,"직원에게 복지혜택을 많이 늘려주세요..
설 명절 하계휴가 등 보너스 등등.."
2.2,(주)동진쎄미켐,2022. 09,2점,"""일을 너무 시키고 몇몇은 인간의 존엄성을 무시한다 그나마 야근비는 잘준다""",내가있을때 야근비는 분당으로 줬고 52시간으로 연장시간을 줄였을때 아쉬운 부분이있었다 (어차피 52시간이상 근무를 하기때문에) 여기있으면서 차도 사고 결혼도했다 그리고 가정을 돌볼 수 없을거같아 그만뒀다,가정을 돌보기 힘들다….건강적으로도 젊었을땐 그나마 버텼는데 나이가 점점 들어가니 버티기 힘든게 느껴져서 관뒀다,인권을 무시하는 몇몇….어차피 당신들도 머슴입니다 그 회사의 주인은 한분 뿐이오
2.2,(주)동진쎄미켐,2022. 08,1점,"""개발자가 아무 대우 못받고 마구 구룰수 있는 곳. 무엇을 배웠든 새로 시작함.""",3끼 식사 제공. 그나마 자유로운 연차사용. 이외에는 없습니다.,"수직적 문화, 연봉, 성과급
가장 문제는 성과급. 역대급 매출이 나와도 역대급 작은 성과급.",일한만큼 주세요. 더 바라지도 않고 기대도 안합니다. 인재는 어차피 다 나갑니다.
