총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.8,고려제약(주),2022. 09,1점,"""다시는 가고싶지 않은기업
주먹구구식 일처리, 복지가 하나도 없다.""","젊은 사람들이 많다
월급이 제때 나온다
야근비 특근비 잘챙겨준다","연차 눈치 보면서 써야함
연봉 너무 박봉
시설이 완전 노후화되어있다
밥이 맛없다
탕비실 조차 없다",그냥 ... 열심히 운영하셨으면 좋겠어요 바라는 점은 하나도 없습니다.
1.8,고려제약(주),2022. 09,1점,"""오래된 기업 , 오래된 건물 , 오래된 마인드""","연차를 남겨도 돈안주기 때문에 최대한 쓰게 해준다.
안바쁠때는 징검다리 휴무는 다쉼","연차 돈 안줌 , 연봉 협상 단체로 해서 통보함. 식당 건물 사람 그냥 다 노후화","없습니다 도망 갈꺼니까 .
제잘 있는사람좀 챙겨 주세요. 고인물들 좀 쳐내고 회사가 점점 늙어가는게 말이 됩니까"
1.8,고려제약(주),2022. 08,1점,"""시설도 체계도 사람도 노후화되어서 장점을 찾기가 어렵습니다""",장점은 식대 지원밖에 …이 외 장점이 없어요.. 서울에 있다..?,체계가 없고 시스템도 없고 순수 노가다. 시설도 80년대,신규 사업에 투자좀 하세요. 백날 써봐도 안바뀌겠지만 일단 써봅니다.
1.8,고려제약(주),2022. 07,1점,"""아무리 갈데가 없어도 차라리 다른 곳을 가세요... 비추""","식대 지원 벗뜨 주변 밥집 물가 비쌈
단체연차로 징검다리 휴일에 쉴수있다
이거빼고 없음","뭣모르는 신입 초짜들이 들어왔다가 다들 런하는 곳
1년 버티면 많이 버텼다고 함 왜냐 요주인물이 못살게굴어서 수습기간에 다들 그만둠
아무리 취업이 급하고 경력이 필요해도 여긴 절대 비추
정신병생기고 인간혐오 생김
연봉도 업계 최저",절대 바뀌지 않을거기땜에 바라는것도 없음 어차피 망하지 않을만큼만 운영하는게 목표시잖아요?
1.8,고려제약(주),2022. 07,1점,"""진짜 입사하고 좋았던적이 하루도 없음""","회사가 1970년대 드라마 세트장 같다
-복고풍 느낄수있음
여름엔 화장실이 비닐하우스처럼 따뜻하다
-사우나 가능","1. 정신적 혹은 육체적 건강 둘 중 하나는 꼭 안좋아진다
2. 회사에 진짜 이상한 사람이 많다
난생 처음 경험해보는 각양각색 ,정상범주에서 벗어나는 성격
3. 엄청난 역피라미드 구조인데 윗 사람들한테 배울만한게 없다 .생각이 다 꼬여있음
4. 연봉 티도 안나게 올려주면서 오만가지 생색을 다 낸다
5. 휴가 원하는 날 못쓰고 눈치 줌 근데 윗사람은 눈치 안보고 본인 쉬고싶을때 쉼
6. 업무적으로 질문을 하면 다 모른다고함
아무것도 모르면서 그 자리에 왜 앉아있는거지",없음 말한다고 달라지는거 있나?????
1.8,고려제약(주),2022. 09,1점,"""다시는 가고싶지 않은기업
주먹구구식 일처리, 복지가 하나도 없다.""","젊은 사람들이 많다
월급이 제때 나온다
야근비 특근비 잘챙겨준다","연차 눈치 보면서 써야함
연봉 너무 박봉
시설이 완전 노후화되어있다
밥이 맛없다
탕비실 조차 없다",그냥 ... 열심히 운영하셨으면 좋겠어요 바라는 점은 하나도 없습니다.
1.8,고려제약(주),2022. 09,1점,"""오래된 기업 , 오래된 건물 , 오래된 마인드""","연차를 남겨도 돈안주기 때문에 최대한 쓰게 해준다.
안바쁠때는 징검다리 휴무는 다쉼","연차 돈 안줌 , 연봉 협상 단체로 해서 통보함. 식당 건물 사람 그냥 다 노후화","없습니다 도망 갈꺼니까 .
제잘 있는사람좀 챙겨 주세요. 고인물들 좀 쳐내고 회사가 점점 늙어가는게 말이 됩니까"
1.8,고려제약(주),2022. 08,1점,"""시설도 체계도 사람도 노후화되어서 장점을 찾기가 어렵습니다""",장점은 식대 지원밖에 …이 외 장점이 없어요.. 서울에 있다..?,체계가 없고 시스템도 없고 순수 노가다. 시설도 80년대,신규 사업에 투자좀 하세요. 백날 써봐도 안바뀌겠지만 일단 써봅니다.
1.8,고려제약(주),2022. 07,1점,"""아무리 갈데가 없어도 차라리 다른 곳을 가세요... 비추""","식대 지원 벗뜨 주변 밥집 물가 비쌈
단체연차로 징검다리 휴일에 쉴수있다
이거빼고 없음","뭣모르는 신입 초짜들이 들어왔다가 다들 런하는 곳
1년 버티면 많이 버텼다고 함 왜냐 요주인물이 못살게굴어서 수습기간에 다들 그만둠
아무리 취업이 급하고 경력이 필요해도 여긴 절대 비추
정신병생기고 인간혐오 생김
연봉도 업계 최저",절대 바뀌지 않을거기땜에 바라는것도 없음 어차피 망하지 않을만큼만 운영하는게 목표시잖아요?
1.8,고려제약(주),2022. 07,1점,"""진짜 입사하고 좋았던적이 하루도 없음""","회사가 1970년대 드라마 세트장 같다
-복고풍 느낄수있음
여름엔 화장실이 비닐하우스처럼 따뜻하다
-사우나 가능","1. 정신적 혹은 육체적 건강 둘 중 하나는 꼭 안좋아진다
2. 회사에 진짜 이상한 사람이 많다
난생 처음 경험해보는 각양각색 ,정상범주에서 벗어나는 성격
3. 엄청난 역피라미드 구조인데 윗 사람들한테 배울만한게 없다 .생각이 다 꼬여있음
4. 연봉 티도 안나게 올려주면서 오만가지 생색을 다 낸다
5. 휴가 원하는 날 못쓰고 눈치 줌 근데 윗사람은 눈치 안보고 본인 쉬고싶을때 쉼
6. 업무적으로 질문을 하면 다 모른다고함
아무것도 모르면서 그 자리에 왜 앉아있는거지",없음 말한다고 달라지는거 있나?????
