총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.0,(주)디에이테크놀로지,2022. 09,1점,"""그냥 별 생각없이 시키는거 다른사람한테 잘 넘기면서 편안하게 다니기 좋은 회사""",굳이 윗사람 눈치 안보고 마음대로 다녀도 됨 ( 어자피 고가 반영 없음),회사가 가축장 옆에 있어 소똥냄새 나고 교통이 너무 안좋음,그냥 시뮬레이션 돌리듯이 인사이동 좀 그만했으면...
2.0,(주)디에이테크놀로지,2022. 09,3점,"""힘든점이 많다. 경영진의 기분에 좌지우지 됨""",2차전지 기술력이 좋은듯 보임 특허가 많음. 어떤것이 옳고그른지 확실히 알려줌 .. 어쨋든 일은 많이 배우게 됨,"하지만 수익성 나는 일을 안하는걸로 보임
돈이 되는 일을 해야 매출이 나지요 제발요",제발 신규영업에 힘좀 쓰세요 어떤말을 해야할진 모르겠네요
2.0,(주)디에이테크놀로지,2022. 09,3점,"""대기업 기생 1차 하청업체로 단일 item에 특화되어 기업 매출 기복이 심함.""",연구개발직 분야에서는 현재 고도화된 기술을 많이 습득 가능하며 향후 개인 커리어에 많은 도움이 됨.,"임직원이 동일한 노동강도 분포가 부족함.
개인 위주의 pjt처리 능력을 요구 함.",다체로운 산업군 매출 item에 매진하여 기업의 다변화 필요 함.
2.0,(주)디에이테크놀로지,2022. 09,2점,"""설계는 잡부다...그냥 이 말 한마디로 정리가 됩니다.""","차량 유류비 지원, 주차장 넓고, 건물 깨끗한편, 에어컨과 히터는 잘 틈","야간근무/휴일근무 많음, 밥이 맛없음, 설계부서는 설계 외 잡일이 너무 많음, 부서간 일 떠넘기기 심함, 과/차/부장급의 인원의 비율이 높음, 그나마 있는 복지도 점점 줄어듬(여름휴가 개인 연차), 이 작은 회사에서 정치질 심함 그래서 조직도 자주 바뀜, 짤라야 될 사람이 많은 것 같은데 왜 안짜르는지 모르겠음, 제조부 텃세가 너무 심함(우리가 퇴근 안하는데 설계가 퇴근해?)",제발 직원들이 하는 얘기에 귀 기울어 주시길...
2.0,(주)디에이테크놀로지,2022. 09,3점,"""이차전지 장비 업체라 회사가 당장 망하지는 않겠지만 이대로가다가는
큰일 날 수 있겠다는 생각이 드네요""","하위 직위는 연차 사용 시 눈치 볼 필요없이 사용 가능
물론 상위 직위는 눈치가 보임","많은 인원이 퇴직하고 퇴직 인원 대비 모집이 되지 않으니 항상 인원 부족에 시달림
회사에서는 개선 의지가 그다지 없어 보임","잦은 조직도 변경으로 회사가 어수선합니다.
안정화가 필요합니다."
2.0,(주)디에이테크놀로지,2022. 09,5점,"""내가 추천하는 기업중 하나.
모든 점에서 평균 이상인 곳.""","연차를 눈치 안보고 쓸 수 있다.
퇴근 시간이 정시 보장이다.","회사 위치가 대중 교통 이용이 힘들긴 하다.
최근 적자.",너무 잘해 주셔도 독이 됩니다. 거리두기가 해제된 이시점에 단합대회 하시는건 어떨까요
2.0,(주)디에이테크놀로지,2022. 09,1점,"""규모에 비해 체계가 없으며 실무자의 의견보다 임원진의 한마디에 회사의 방향이 결정되고
입으로 일하는 직원들이 더 고평가 받는 이상한 회사""",코스닥 상장사이며 월급이 밀리지 않고 제때 나오며 구내식당이 맛은 없지만 존재한다,"회사의 비전이 없으며 주먹구구식 일처리를 반복한다
영업부터 설계 전장 제조 제어까지 남 탓하기 바쁘다
어느 부서의 잘못인지 실무자들은 서로 다 알고 있으나 항상 임원진의 커버로 인하며
계속 같은 일이 반복되며 개선할 생각이 전혀 없는 회사
진급은 실력보다 라인을 잘 타야 되며 팀장, 부서장의 평가는 중요하지 않으며
어느 임원의 결정에 의해서 진급 및 연봉이 확정됨","자기 의견만 내세우지 말고 실무자들의 의견을 좀 더 청취하고 받아들여 주길 바라며
고일대로 고인 임원진들은 자기 욕심만 부리지 말고 회사의 성장을 위한 결정을 내려주길"
2.0,(주)디에이테크놀로지,2022. 09,5점,"""매년 적자보는 LG에너지솔루션 하청 2차 전지 회사""","2차 전지 회사라 앞으로 성장 가능성이 있으며 , 중소기업치고 출장비가 높다.",연봉 인상폭이 적고 야근이 많으며 복리 후생이 좋지 않다.,직원들의 불만사항을 들어 주었으면 한다.
2.0,(주)디에이테크놀로지,2022. 09,5점,"""대기업 과의 거래 및 현재 ~미래 지속적인 성장업종이 2차 전지의 설비 제작사로서
발전 가능성이 무궁무진 함을 가추고 있는 회사""",지속적인 먹거리가 준비되어 있어 입사시 안정성 및 미래가 보장 되어 있는 업종(업체),"균형있는 조직구성이 필요(조직내 직급 구성)
업무 별 근무 시간에 대한 관리가 필요(정규 시간외의 추가 근무 발생)","업무력 향상을 위해 필요한 부분은 휴식도 중요 하지만 이 외의 활동 또한 중요 하다고 봅니다.
이 외의 활동 : 야유회/동아리 지원/Festival 등"
2.0,(주)디에이테크놀로지,2022. 09,5점,"""확실한 고객사와의 거래를 통한 기본적인 매출의 안정감""",유사 규모의 타 업체에 비해 급여 및 복리가 좋은편입니다.,"부서간 소통이 조금 소홀함, 서로 소통 할 수 있는 기회가 많이 필요","즐겁고 재미있는 회사가 되도록 부탁 드립니다.
일이 힘든건 견디지만, 사람으로 인해 지치는 건 방법이 없습니다."
2.0,(주)디에이테크놀로지,2022. 08,5점,"""코스닥 상장된 검증된 기업
창업 22년차 안정된 2차전지 장비 제조사
LG에너지솔루션 1차밴더 및 해외 수출 전문 기업""","연봉은 알아서 판단
복리후생은 매년 종합건강검진(MRI.CT, 내시경 등) 무료 및 가족 검진비 할인 / 자녀학자금 / 출퇴근비 또는 주유비 / 아파트 기숙사 / 장기근속 포상 / 경조사는 급여의 최대100% / 명절은 상품권10 / 연차휴가(다 못쓰면 현금줌) / 콘도 및 펜션 / 중식대 현금 지급 / 사내식당 운영 / 체육(족구)대회 시 1,000만원이상(22년초 아이패드, 로봇청소기, 상품권 등) 경품 추첨 등","대중 교통 부족(지하철역 도보 불가) / 주변 편의점, 커피전문점, 식당 없음 (동네 슈퍼1, 안가는 식당1) / 회사 주변 축사 및 논밭 / 근무강도 및 분위기는 개인별 업무 능력 각 팀별 분위기(문화) 차이 있음","많은 직원들과의 소통의 시간이 부족함
- 회사 경영 환경에 대한 이해의 시간 / 전달의 시간이 부족함"
2.0,(주)디에이테크놀로지,2022. 08,1점,"""그냥 모든게 별로인 회사임. 정상적인 사고방식을 가진 사람을 찾기 어려움""","주유비 지원, 구내식당 이거 빼고 장점이라 말할게 없음","회사를 이끌어가는 위치에 있는 팀수장들의 역량이 많이 떨어짐.내가 경험한 회사중 최악이었음.
빨리 접고 퇴사를 한게 신의한수라고 생각할 정도",경영진 부터 바뀌지않으면 회사의 미래가 더 어두워보임.그러나 사람이 쉽게 바뀌지 않음.
2.0,(주)디에이테크놀로지,2022. 08,1점,"""퇴사 후 돌아보니, 태어나 제일 잘한 일이었다.""","1. 주차 공간 많음
2. 주유비 일부 지원
3. 세차 무료
4. 중식 석식 제공(맛있음)
5. 상장사","1. 야근 (워라밸 절대X)
2. 페이퍼 잡무 많음
3. 비효율적인 결재시스템(전자결재와 페이퍼 결재를 둘 다 한다구요?)
4. 설계 말고도 정말 다양한 일을 할 수 있다. (상상을 초월)","일하고 싶은 환경 조성이 필요합니다.
낮은 급여에 높은 근무 강도는 비합리적입니다."
2.0,(주)디에이테크놀로지,2022. 08,1점,"""엔지니어가 우대받지 못하며 정치가 있는 주먹구구식 중소기업""",모르겠어요 장점이 없음 주차장 넓음? 30자 채울게 없네요 ㅋㅋ,"연차도 눈치보이고 사장도 바지사장에 사람들이 정말 자주바뀜 퇴사자도 입사자도 많음 회사 위치가 안좋음 주먹구구식, 뭐로 돈 버는지 잘 모르겠음 기술력이 없는 것 같음",직원들의 말을 잘 들어줬으면 좋겠습니다
2.0,(주)디에이테크놀로지,2022. 07,1점,"""저녁 없는 삶을 좋아한다면 이곳으로..강력하게 추천.""","확실한것만 적겠습니다.
밥이나온다. 유류지원 약 8만원 정도 나온다.
같이일하는 동료들이 좋다.","우선 재무구조가 엉망, 체계 x LG 협력사였는데 지금은 아님
출근 8시반 퇴근 8시반-9시 야근이 기본, 다른부서 퇴근하는데도 아무도 퇴근안한다..
필자는 칼퇴하는 주의였음에도 눈치보고 7시 정도에 퇴근했었음.
그래서 팀장님께 불려갔었음 제일 큰 퇴사 이유
성과급 x 상여금 x 휴가비 x 여름휴가 x
마지막 한마디 : 워라밸 중요하지 않다. 열정페이 원한다. 그렇다면 무조건 추천",내부적인 시스템 점검 및 근로계약서 사항 지켜 주세요.
2.0,(주)디에이테크놀로지,2022. 06,2점,"""속한 업계 자체는 성장가능성이 없지 않으나 전체적으로 중국 사업 수주 초반 대비 하향세""","내부 시설은 신축사옥이라 괜찮음. 자기 계발용 교육 수강비용도 제공이 됨
족구대회 같은 부서간 단합 이벤트도 종종 갖는편","밤늦게까지 불켜가며 일하는 것 대비 급여가 낮음
직원이 불만이 있어도 딱히 해결을 못하는 탓에 인원이 자주 퇴사하고 물갈이됨
그다지 일에 희망이 느껴지지는 않음",합리적인 의견청취와 대우 그리고 비전 제시가 있었으면 좋겠습니다
2.0,(주)디에이테크놀로지,2022. 04,1점,"""최악의 워라벨을 가지고 있으며, 장점이라곤 월급이 꼬박꼬박 나오는 것 뿐입니다/""","연차를 윗사람 눈치보고안써도 되며, 밥은 꼬박꼬박 잘 나옵니다.",많은 업무량을 가지고 있음에도 불구하고 다른 프로젝트들이 계속 들어옵니다.,작은 연봉으로 너무 사원들의 피를 빨아먹는것 같습니다.
2.0,(주)디에이테크놀로지,2022. 04,1점,"""사람이 수시로 바뀌어서 뒤숭숭 합니다. 금방금방 그만두는데는 이유가 다 있습니다.""",제가 있엇을때는 식당이따로 있어서 밥먹기는 좋아요 따로 건물이 있어서 좋았습니다. 그거말고는 장점이없는거같아요.,"수시로 사람바뀌고, 연봉이 다달라서 밝히는순간 퇴사, 너무 구석에있어서 차로 왔다갔다하기 힘듬, 지금은 이전했다고 들음",사람들이 왜 나가는지 이유에 대해서 알면 더 발전할수있것같습니다
2.0,(주)디에이테크놀로지,2022. 03,1점,"""많은 이들이 등돌린 회사. 쓰래기만 남은 회사. 이제 끝을 가고 있다.""",연차 자유. 월급 따박따박 말고는 없음. 도저히 생각이 나지 않음,문제가 터지면 정치질부터 시작해서 남탓만 하다가 끝남 문제의 해결 방안은 모색도 안함,분명 눈과 귀를 가리고 지냈던 과거를 후회할 날이 곧 올 것이다
2.0,(주)디에이테크놀로지,2022. 03,2점,"""설계자가 개발 업무 보다 프로젝트 전반에 걸쳐서 이것저것 전부 일일이 챙겨야 하는 업무 환경""","1.연차 사용 자유로움
2. 전반 적으로 늦게까지 근무 하는 분위기는 아님","1. 하계휴가 없음(연차 사용)
2. 부서간에 업무 떠넘기기
3. 개인의 역량을 고려 없는 업무 분배
4. 기업 업력이나 규모에 비해 체계가 없음
5. 신입은 설계 업무에 능력 향상을 기대하기 어려움
(설계외의 일을 많이 함, 그래서 2~3년 정도 되면 스스로 배운게 없다고 생각되어 퇴사함)","개발 프로젝트를 수행을 함에 있어 문제 없이 넘어가기 어렵지만
그래도 직면한 문제를 해결 할 수 있는 역량이 되는 직원과 인력을 배치하여 업무를 수행 할 수있게 해주시기를 바랍니다."
