총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.7,원일특강(주),2022. 07,5점,"""직원분들 모두 친절하시고 회사 규모가 커서 좋습니다""",일단 밥이 너무 맛있고 직원분들도 유쾌하시고 회사 내 복지가 좋습니다,회사내에 기숙사가 있긴하나 출퇴근 할 땐 교통이 너무 불편합니다 자차가 있어야 할듯 합니다..,저는 제 성격상 성격이 너무 낙관적이라 바라는 건 딱히 없습니다
2.7,원일특강(주),2022. 04,3점,"""스팋 서비스 센터. 한국에서는 수위를 다툴 만큼 크다.""",인원대비 매출이 크고 거래선이 안정적이었다. 세로운 시도도 있었다.,"정체된 문화, 형식적인 개선, 약자에 대한 배려 부족.","솔선수범, 말보다 행동, 스스로 책임지는 자세."
2.7,원일특강(주),2021. 01,3점,"""중견기업으로 회사가 작지않아서 괜찮은것 같습니다 또 하는일에 업무파트도 다양합니다""","아침 점심 저녁제공
자녀들 학비지원
경조사 지원등등 복지혜택
출퇴근 기름값 지원","연봉이 노동에비해 작은편이고
상사들이 옛날마인드 이신분들이많고
중견기업인데 동네 구멍가게처럼 운영하는 방식이있음
그런부분들을 좀 스스로 깨우쳐 파악하고
더욱 더 성장하는 기업이 됬으면 좋겠습니다","중견기업인만큼
대기업 마인드를 따라가면 좋겠음"
2.7,원일특강(주),2016. 11,1점,"""매출액과 설립년차 대비해 어이없는 시스템과 강압적인 근무환경""",특수강 유통으로 지금까지 회사를 영위 해왔으므로 단기적으로는 분명히 배울것은 있는 회사임,"사장과 임원라인이 회사내에 다수포진, 생산공정상 안전이 굉장히 중요함을 인식 하면서도 안전에 대한 의식이 희박,",직원을 군대처럼 쪼아내서 매출과 회사의 안녕을 유지하는것 이아닌 임원의 의식변화가 분명히 필요함. 자기들은 변화될 의지가 없으면서 직원들이 변화되기를 원함
2.7,원일특강(주),2016. 05,2점,"""국내의 철강제조 기업(포스코, 세아, 두산중공업, 현대제철) 및 일본 철강 제조기업의 판매대리점, 특수강 유통에서는 한국 최대 규모, 시화공단에 위치한 본사와 부산에 위치한 지사, 두 군데 사업장이 있다. 2014년 기준 직원 120명에 매출 약 2350억으로 직원수에 비해 매출이 상당히 높은 편에 속한다.""","30년의 역사를 가진 회사답게 체계적으로 관리되고 있으며, ERP 시스템에 자본과 인력을 투자한 결과 전산으로 회사의 생산 및 출하활동 대부분을 관리할 수 있다. 철강업계 최고라는 자부심을 가진 직원들도 있(었)다. 외부 브랜드 이미지나 주식시장에서의 평가도 좋은 편이다.","미래가 없다 - 한국의 철강유통시장 자체가 최악의 상황이다.
입으로만 변화한다 - 카리스마 타입 전문경영인인 사장은 무의미한 줄 알면서도 '변화하지 않으면 죽는다'를 부르짖으며 직원들을 다그치고 있다. 권위적으로 억누르며 변화하자고 말할 뿐, 정말로 변화하기 위해 필요한 리스크는 피하려고 한다. 직원들은 자발성이나 자긍심을 잃은지 오래이며, 쇼맨십과 군기잡는 문화로 병들어가고 있다.

승진은 매우 어렵다 - 임원은 주기적으로 포스코, 세아, 두산 등에서 낙하산을 타고 내려오는 경향이 있으므로 차근차근 승진해서 임원이 될 거라는 기대는 안 하는 게 좋다.

야근은? - 최고경영자께서 주기적으로 직원들의 출퇴근 시간 등을 체크하여 불순분자를 걸러내고 계심. 일이 없더라도 야근하는 모습을 보이지 않으면 신상에 좋지 않음.",최고경영자께서 항상 강하고 카리스마적인 모습에 집착하지 않고 솔직하게 대화를 나누고 다른 사람들의 의견을 받아들였다면 상황은 달라질 수도 있었음. 상황을 해결할 열쇠는 모두 손 안에 있었는데 망설이다가 타이밍을 놓치시는 게 안타까움. 부하 직원들에게 못되게 구는 군기반장을 좋아하는 건 경영자 자질 부족이심.
2.7,원일특강(주),2016. 01,2점,"""(주)신라 자회사. 철강에 대해 전반적인 일을.배울 수 있음.""",국내 주요 자동차 회사의.거래처 특수강은 정말.좋은.대우 및 일을.배울 수 있다고 생각 함.,상사들의 보수적인 태도 수직 문화가.자리잡고 있음. 글로벌 시대에 맞춰 따라가기에.역부족이라 생각함. 몇몇직원들의 말안되는 태도....,각부서 별로 너무 큰 차이가 있음. 정말 좋은 부서가 있는 반면에 정말.참기 힘든 부서도 존재함. 옛 경영 방법 및 마인드도 배울점이 있으나 너무 옛날 방식으로 각 직원을 대하면 글로벌 기업으로 성장하기 힘들듯
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
2.0,(주)레이언스,2022. 08,2점,"""모회사의 납품을 기반으로 성장을 도모하고 있으나 전반적으로 아직 경영능력이 부족한 회사""","동탄의 사옥과 식당, 헬스장, 어린이집 등 복지 시설이 좋다",법인도 하나의 공동체로서의 연대감과 소속감이 필요한데.. 그런 사내 문화나 분위기가 전혀 조성되어있지 못하고 그럴 생각이 없는듯..,기업이 성장함에 따라 임직원이 상호간 문화를 만들어 내야 하는데 직원들을 단순이 월급만가져갈 수 있는 구조로만 두는 상황 소속감을 더 가질 수 있도록 회사 내부 직원들에게도 홍보 및 기타 비젼을 제시해 주세요
2.0,(주)레이언스,2022. 08,3점,"""직원에 말은 잘 들어 주지 않습니다 더 많은 발전이 필요합니다""",의료기기 업무를 많이 배울 수는 있습니다 하지만 쉽지 않습니다,"직원의 의견을 들어 주지 않습니다
좀 더 귀 기울여 주셨으면 좋겠습니다","좀 더 최신에 마인드를 가졌으면 좋겠습니다
트렌드에 맞춰 가야 할 것 같습니다"
2.0,(주)레이언스,2022. 08,2점,"""비흡연자는 다닐만 하나 흡연자는 외출이 점심시간 뿐이라 엄청 빡세다.""",바텍 계열사로 바텍과 같이 사용하므로 점심이 좋다. 개인적으로 식대는 비용을 조금 내지만 그만한 가치가 있다. 한달에 한번 하는 뷔폐도 장점이다. 맛있었다.,레이언스는 기업 규모대비 설비 운영비용이 너무 저렴하다. 모르겠다. 설비보전은 처음이라 다들 회사들이 그러나 모르겠으나 굉장이 짜며. 한달에 개조 개선안을 내야 한다. 한달 분기 반기 년 별로 개조개선을 해야 한다.,개조 개선은 필요 하다. 다만 달에 하나는 과하다. 5년 다닌다 치자 60개다. 그런데 돈은 쓸꺼냐?
2.0,(주)레이언스,2022. 07,5점,"""연구소가 대우받으며, 대부분의 부서가 워라밸이 좋음.""","연차 눈치안보고 쓰며, 업무 자유도가 높음. 본인이 하고싶은 업무를 할 수 있음.","회사 규모에비해 내부 불필요한 시스템이 많으며, 개선하려는 의지가 전혀없음","KPI를 정했으면 그대로 업무를 했으면 좋겠는데, 너무 중구난방으로 업무가 들어옴."
2.0,(주)레이언스,2022. 07,1점,"""필요할때는 자르고 사람없고 사람이안구해지니까 자른사람한테 연락해서 다시 뽑는회사""","연차 눈치없이써도상관없음.
돈은 그나마 좀 주는듯
월급안밀림","너무많아서 그냥 단점을 쓸수가없음..
기업대표에게 잘보이기위해 아래사람들을 매우 힘들게 함","진짜 좀 제발 아랫직원을 챙기고 신경써주세요
진급을위해 똥꼬빨지말고"
2.0,(주)레이언스,2022. 06,4점,"""연봉이 나쁘지 않은 편이며, 사내문화가 잘 형성되어있고 밥 잘나오고 다양한 이벤트를 많이함. 심심하진 않음.""","활발한 사내문화 형성을 위해 여러 이벤트를 많이 진행함.
아침, 점심, 저녁 회사에서 해결 가능하고 점심엔 샐러드 식단도 있어 식단하기 좋음.
밀키트도 판매하고 저녁 도시락도 저렴한 가격에 제공해줌.
사내카페, 헬스장 있음.",뭐 하나 하려면 기안 작성해야하고 이리저리 기록 남겨야 해서 귀찮음.,대외 이미지만 챙기려 하지 말고 사업 투자좀 잘 해주길 바람.
