총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,(주)엠에스오토텍,2022. 09,3점,"""막연히 놀고있다면 알바느낌으로 단닐만 합니다.""",주간연속2교대여서 퇴근후에도 개인시간이 있는거 말고는 딱히 없습니다.,"정규직전환은 거의없고 계약직들 돌려쓰기만 합니다.
계약직2년씩 시켜먹고 버리시는데 안그러셨으면 좋겠습니다.",계약직2년씩 쓰고 버리지말고 정규직전환 해주셨으면 합니다.
2.6,(주)엠에스오토텍,2022. 09,1점,"""중요하지 않은 것에 높은 가중치를 부여. Resource를 과잉소모하여 정작 중요한 것을 놓쳐버리고 아무도 관심없는 성과로 뭔가 해낸건 있다고 착각하는 곳""","월급 정해진 날짜에 나옵니다.
출장비는 챙겨줍니다.
도전은 합니다.","시스템이 회사를 굴러가게 만든다고 생각해 직원들의 필요성과 부가가치성을 낮게 평가하고 동기부여와 성과에 따른 보상을 아까워함. 정작 시스템은 불완전하며 불완전함을 메우고 있는 사람들이 떠나감. 덧붙여, 중요한 것에는 별 관심없고 중요하지 않은 것에 엄청난 열정이 있음","정말 가치있는 회사가 되려면 잘못된 점을 수용하고 개선해야 한다고 생각합니다. 정답이 있는데 왜 외면하고, 생각하려 하지도 않는걸까요? 열정있고 창의적으로 회사에 기여하려는 인재들이 많았는데 왜 그들이 이탈하게 내버려두는걸까요?"
2.6,(주)엠에스오토텍,2022. 06,2점,"""경주에서는 현장직이 다닐만하나 사무직은 별로인곳""",연차를 윗사람 눈치안보고 쓸수있음 식당이 외부식당에서 온곳이라 밥은먹을만함,"노조우선회사라 사무직 일하기 힘듬
현장지원이 업무에 방해될정도로 있음","직원들 불만을 해결할려는 노력이필요
안되면 관리직으로 때우지 마세요"
2.6,(주)엠에스오토텍,2022. 06,1점,"""최악의 회사 사무직보다 노조!
꿈에서라도 만나지 말아요""","월급은 밀리지 않는다, 점심 저녁 제공, 자동차와 동일한 휴가 말고는 장점이 없습니다","장점 제외 모든 것이 단점인 회사입니다.
사무직이 사무 업무와 현장 업무를
야근, 특근은 내 친구
사무직보다 현장직","바뀌지 않으면 존속이 없을 것입니다
직원의 의견에 귀 담아 보세요"
2.6,(주)엠에스오토텍,2022. 06,2점,"""퇴사자는 계속 늘고 있는데 인원 충원은 없다 보니 혼자서 다른 사람의 업무까지 맡다보니 과부하로 지쳐서 그만두는 악순환이 계속 됨.""","경주 인근에는 제조업이 많지 않아서 임금이 약한펀은 아님. 조, 중, 석식 제공.","허리 역할을 해야 하는 대리급들이 많이 퇴사하다보니 피라미드 구조가 아닌 다이아몬드 형태가 됨. 차, 부장급은 믾은데 실무진이 없음. 가동률이 낮아서 관리사원들이 생산작업을 함, 생산하느라 본인 업무를 못하니 야근과 특근을 해야 하고, 그러다보니 지쳐서 퇴사하는 악순환이 이어짐.","옛날에는 생산기술이 좋다는 얘기도 있고, 핫스탬핑 같은 기술로 인정도 받았는데 어쩌다 이렇게 된건지.. 각성해서 옛날의 영광을 찾아 주세요."
2.6,(주)엠에스오토텍,2022. 04,2점,"""군산공장 인수후 도박하는 회사 , 사무직 복지 없는 회사""","워라벨 정도…? 그이외에는 특별할게 없음. 연봉 업계 중하위, 복지 없음","너무 잦은 사무직 현장지원 (주 2-3회 기본, 노조 파업시 매일)
그룹사내 각기 다른 성과금 (엠에스는 없지용)",제발 현장지원이라도 없애주세요…..성과금도 현장직만 주지말고 사무직도 주세요 제발…
2.6,(주)엠에스오토텍,2022. 04,2점,"""경력쌓기 좋으나 오래 다닐 회사는 아닌거 같다 회사가 직원들을 너무 불안하게 한다""",다양항 사업추진으로 다양한 업무를 경험 할 수 있다 그래서 경력에 도움이 되는 업무를 많이 할 수 있다,"연봉인상이 거의 없고 연봉을 올려주지 않으려고 애쓰는게 보인다 성과금도 현장만 주고 사무직은 항상 회사가 어렵다는 이유로 성과금이 없다.

매년 권고사직에 사람을 너무 쉽게 자른다",사업이 조금만 어려워지면 인재들을 자르는데 이건 좀 너무 한거 아닌가요 ? 그리고 현장과 사무직 성과금 차별 두는건 좀 아니라고 생각합니다.
2.6,(주)엠에스오토텍,2022. 04,2점,"""회사가 어떻게 돌아가는지 잘 모르겠음
이것저것 일은 많이 하는데 뚜렷한 성과가 없음""","수평적인 사무실 분위기
연차를 눈치안보고 사용할수 있음
야근 거의 없음
워라밸보장","별다른 복지가 없음
낮은 연봉인상률
성과금없음
사무직보다는 현장직이 우대받는 느낌","신규 사업 추진에 적극적인 투자 의지를 보여줬으면...
합리적인 복지를 보상해줬으면 좋겠습니다."
2.6,(주)엠에스오토텍,2022. 03,2점,"""해가 바껴도 나아질거라는 기대감이 전혀 없음""",주먹구구식으로 일은 추진하기에 일단 해야하니 정신없이 몇년 일하다보니 나도모르게 업무력이 쌓이긴함,"장점을 찾을수없는게 단점
다들 남의일에 왜그리 관심많은지...
신기하게 사원대리급을 정리해고하는 회사",적극적인 개선이 필요한 시기라봅니다 이대로면 이 회사의 미래가있을지 잘모르겠습니다.
2.6,(주)엠에스오토텍,2022. 01,3점,"""소문만 무성하고 사실 별 볼닐 없는 회사 주식으로 직원들 탈엠에스 하는 회사""",소문 잘만들어서 주식으로 떡상하는 회사 테슬라이후 완성차업체도잔했으나 지금은...,소문은 잘만드는데 실행이 안되는 회사 개발 능략 외주화 할려다 아이템 다 뺐긴 회사,적당히 절약하고 적당히 고객이랑 타협이 필요하다 고객 무시하고 고객이 될려다 말아먹습니다
