총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.0,(주)모베이스전자,2022. 09,3점,"""회사가 크며 구내식당이 있음 옥상에 카페도 있던걸로 기억함 흡연장""",돈을 많이 줬었음 가끔 식당 이벤트도 했던걸로 기억함 회사가 좋음,돈은 많이 주지만 그만큼 일을 많이 시켰던거같음 회사 내 텃세도 심했던 것 같고 사람마다 차이가 있지만 오래 다닐수 있는 사람만 오래 다녔음,바라는점은 없음 앞으로 두번다시 가지않을곳이니까
2.0,(주)모베이스전자,2022. 09,1점,"""진짜 솔직하게 잡플래닛 평가 무시하지 마세요 괜히 2.0 아닙니다. 솔직히 이거보다 더 적어야 합니다.""",아침 점심 저녁줍니다. 진짜 이거 말고 적을게 없습니다.,들어오자마자 알 수 있습니다. 너무 고인물(문제자만 남음) 입사한지 얼마안된 사람들만 있는팀(고인물도 떠남) 내가 가는팀은 아니겠지 하고 잡플래닛 평 무시하고 들어갔다간 몇달만에 퇴사하게 될겁니다. 무슨 업무하려하면 담당자가 다 퇴사했다고 서로 미루고 미루니 결국 개판될수밖에..,이미 이 회사는 내부적으로 썩어서 고칠수도 없습니다. 경영진은 관심도 없겠지만
2.0,(주)모베이스전자,2022. 09,2점,"""갈수록 무너지고 있는 회사.
오너가 바뀌면서 더욱 퇴보하였음.""","1.워라밸은 부바부이나 대부분 잘 지켜짐.
2.직원들이 괜찮음.","1.수직적 구조.
2.업계 최하위 급여.
3.능력없고 무책임한 경영진.
4.정치질하는 책임이상 관리자들.
5.돈타령하는 오너.","1.회사에 진정 이익이 되는 것이 무엇인지 생각바람.
2.직원을 소모품으로 여기는 마인드는 고쳐야한다."
2.0,(주)모베이스전자,2022. 09,2점,"""어디가나 비슷하겠지만 직원을 소모품으로 생각하며 어느 한두명의 사람으로써 회사가 망해간다는 생각뿐""",휴가가 다른데에 비해 많은 편이며 삼시세끼 나와서 좋은것뿐,사무직보다 생산직이 갑인 회사라는 생각이 모든 비노조 사람들은 알것이다 노조로 인해 점점 망해간다는 느낌이 큽니다,어짜피 다들 월급쟁이긴하지만 너무 밑에 사람 소모품취급은 하지말아주세요
2.0,(주)모베이스전자,2022. 09,3점,"""아이템이 다양해서 경력 쌓기에는 좋은 회사. 배울게 있는 회사.""",연구소 분위기는 자유로운 편. 자기 할일만 하면 터치 없음.,동종업계 대비 연봉이 낮음. 성과급이 없음. 퇴사자가 많음.,"성과급, 연봉 상승 등 직원에 대한 대우를 더 해줬으면 함."
2.0,(주)모베이스전자,2022. 09,2점,"""연구소가 사무직 보다 대접
생각보다 능력 있는곳이나 아이템 및 고개 문제로
수익성 내기 어려움""","일배우기 좋으며 사람이 좋은 편이다.
쉬는날이 상대적으로 많다.","원가절감에 혈안이라 다들 스트레스가 어마어마하다.
그걸 버티기 어려울듯.","군대문화
불필요한 업무지시 자제
변화하려는 태도 필요합니다."
2.0,(주)모베이스전자,2022. 09,1점,"""해외영업 신입으로 입사하면 진짜 반죽는다 생각하고 입사해야됨. 자동차 치고 사람들은 괜찮지만 진짜 왜 나 입사하기번에 줄줄이 퇴사한지 알꺼같음.""",장점? 다른 1차사 치고 사내분위기가 좋음. 이건 어디까지다 다른 1차사와의 비교이니깐 좋은거지 절대적 평균으로 비교하면 결코 별로임.,"1. 인수인계 부재
-인수인계없이 그냥 메일주면서 해당 일 처리하라고함. 근데 인수인계가 없는데 일을 어떻게 하노?

2. 주먹구구식 일처리
-인수인계 없이 그냥 냅다 메일포워딩해주면서 이거 하라고함. 알아서 전임자 메일 5천개 쌓여있는거 하나하나 일일히 찾아보면서 일쳐내야됨.

3. 연봉
상여금 800%는 연봉에 포함되어있음. 인센없음. 그냥 회사에서 월급말고 나오는거 없음. 진짜 이런회사를 왜다님?

4. 체계가 없음
어딜가자 체계가 없다지만 여기는 그냥 전무후무한 존재임. 굳이 꼭 입사해서 엥 진짜 체계가 없나? 확인할 필요없음.

5. 이상한 사람있음
같은팀에 무슨 이상한걸로 딴지걸고 진짜 저급하게 말하고 성희롱하거나 친하지도 않는데 친해질라고 저급한 농담섞어말하면서 개념상실한 사람있음. 그냥 말한마디 해보면 사람수준이 딱 보임. 같이 근무하기 너무싫음

6. 팀장능력부족
팀장이 좀 별로임. 사람은 좋은거같은데 팀장이란 직책을 가지기엔 부족한거같음. 팀을 리드하는법을 모르고 신입을 굴리는 방법조차 모름. 저러니 줄줄히 퇴사하지싶음.",없음 진짜 후회많이되고 다시는 자동차업계에 발들일 생각이 없어짐. 바라는건 그렇게만행동하면 언젠간 망한다는것만 알아두셈.
2.0,(주)모베이스전자,2022. 09,2점,"""빡쎄게 일하는걸 배워보고자 하는분께는 강추!!
여전히 기업내 꼰대문화가 많이 남아있어 최근 MZ세대들의 트렌드를 전혀 반영하지 못하고 또한 절대 바뀔수 없는 기업문화""","사람들이 좋아서 버티는 사람이 많은것
일부 합리적인 사람들이 있으나 이런 사람들이 못버티고 탈출하는 시기","매번 같은 문제가 터지는데 전혀 고칠 생각을 하지 않음
경영진이 어떤 생각을 하는지 알수가 없음",매번 결품으로 인하여 운송비가 어마어마하게 들어가는데도 불구하고 시스템을 전혀 고칠 생각도 없고 그에대한 돈을 지불할 생각도 없는건지요?? 왜 매번 직원들이 협력사에 가서 개고생을 해야 합니까?!!
2.0,(주)모베이스전자,2022. 09,3점,"""이쪽 자동차 부품 업계가 다 그렇지만 군대의 연장선 같고, 개인의 역량 증진에는 신경쓰지 않는 기업입니다. 그렇지만 중소기업보다는 복지와 휴가는 훨씬 많아요. 그래도 현기차 1차사라 나쁘지 않습니다.""","여름휴가 주말포함 9일, 설,추석 연휴 타 회사들보다 이틀 더 쉼, 노동절 챙기고 창립기념일 등 쉼, 출퇴근 제약 없음(일 다하면)","과장 이상급 연봉 동결상태, 회사 경영상태 안좋음, 돈과 연결된 기획/재경/자재/구매실 비추",회장 배만 불리는 경영만 하지말고 실질적으로 회사를 살릴 계획을 보여주세요.
2.0,(주)모베이스전자,2022. 09,2점,"""신입사원은 괜찮지만, 경력직은 비추. 될데로 되라는 식으로 바뀌고 있음.""","신입사원들이 자동차 프로세스 익히기 좋음, 초봉은 나쁘지 않음.위치도 본사 수원, 연구소 평촌역 가까움.","담당 업무별 급여차이가 나며, 이로 인한 차별 당하는 느낌이 많음. 일하는 사람들은 열심히 하는데 안하는 사람은 계속 안함.",일 안하는 사람좀 일시키자. 업무 파악좀 하고 업무 분장좀 잘 해서 일의 퀄리티를 좀 높여야지 아니면 다나간다.
