총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.0,(주)메타바이오메드,2022. 09,1점,"""오래된 지방의 중소 제조기업 그 자체 정치질 잘하고 일 편하게 다니고 싶은 사람에게 추천""","연차 사용 자유
점심 제공
그 외에는 딱히 장잠이 없다","회사 내 분위기가 어수선함
고인물파티
실무자 없음
체계없음",경영진이 문제이고 바뀌지 않는 한 변화가 될 수 없는 기업이다
3.0,(주)메타바이오메드,2022. 09,3점,"""워라밸은 최고이나 과연 계속 다녀도 괜찮을까?라는 느낌이드는 회사""","왠만하면 정시 칼퇴근, 연차사용 매우 자유로움, 업무 별로 안힘듬, 직원들도 대부분 친철하심, 복지도 괜찮음, 빠른 인원 충원 등
스트레스 안 받고 편하게 다니긴 좋음","낮은 임금(일한 만큼 받는거 같긴함?)으로 퇴사자가 잦음, 회사의 전망이 별로 좋지는 않은거 같음(신제품 개발x, 잦은 고객사 컴플레인),경영진의 이해할 수 없는 운영(소통이 잘 되지 않는거 같음)","직원들에게 돈을 너무 아낀다, 성과를 냈으면 그만한 보상이 있어야하는데 너무 인색하고, 직원들의 의견도 잘 귀담아들어주셨으면 좋겠습니다."
3.0,(주)메타바이오메드,2022. 08,2점,"""연봉 생각안하고 워라벨을 중시하면 다니기 좋음 복지는 그저 그런편 진급해도 연봉 인상율 동일함""",연차를 윗사람 눈치안보고 쓸수있고 종치면 바로 퇴근이라 워라벨 좋음,연봉이 너무 적음 바이오 업계에서는 거의 최하위 수준으로 생각,공장 증축보다는 사람을 먼저 생각하며 연봉 좀 더 늘려줬으면 좋겠음
3.0,(주)메타바이오메드,2022. 08,4점,"""워라벨을 중요시 여긴다면 정말 좋은회사이다. 모두 칼퇴함""",워라벨이좋고 직원분들이 다들 좋으시다. 회사분위기가 나쁜편은아님,연봉이 높지않고 출근시간이 매우 빠르다. 기숙사에서 회사가멀다.,직원들의 불만을 듣지만말고 해결해줬음 좋겠다. 권위적인 체계가 없어졌음 좋겠다.
3.0,(주)메타바이오메드,2022. 08,3점,"""생각없이 무난하게 다니기 좋은곳이면 여기가 최고인 기업""",아침 점심 제공 워라벨 야근강요 없음 칼퇴보장 주말휴무,적은급여 돈에 대한 부담있으면 이게 단점 업무안하고 농땡이 치는 몇몇 올드들,시급도 올라가고 사람구하기 힘든시기니 급여쪽 상승을 더더욱 진지하게 생각하시길
3.0,(주)메타바이오메드,2022. 07,4점,"""첫 회사로 굉장히 만족하며 다닐 수 있는 회사""","- 연차 자유롭게 사용 가능
- 칼퇴
- 자기 계발 비용 지원
- 사람들 순하고 착함
- 복지 Good","- 연봉 낮음 (거의 모든 직원들이 말하는 부분)
- 인원 부족으로 힘들어 하는 팀이 있음",급여 부분에 있어서 직원들을 만족시켜주면 최고의 회사로 생각된다.
3.0,(주)메타바이오메드,2022. 07,2점,"""연봉은 적으나 어느정도 워라밸할수있는 기업""","성과상여금이 나옴, 워라밸 균형을 이루고 체계적으로
업무시스템이 이뤄져있음, 투자에적극적","연봉이 높은편은아님, 출근시간이 빠르다, 서울에서 멀어 고급인력수급어려움","연봉상승, 이직자를 줄일수있는 방안마련시급,출근버스 다방면 운행"
3.0,(주)메타바이오메드,2022. 06,2점,"""최저시급+@. 성과급 없음. 급무강도 중.""",장점 딱히 없음. 출근 8시 퇴근 5시?? 그나마 이야기할 수 있는 정도?,급여. 최저시급+ 100원??. 부서마다 근무강도가 다르긴하나 주어진 업무도 다름. 즉 일 잘한다는 모습만 보이면 그 친구에게 몰빵침.,고생한 직원들에게 금전적인 보상을 해주었으면 함.
3.0,(주)메타바이오메드,2022. 06,3점,"""규모가 있는 기업임에도 받쳐줘야하는 제도나 시스템이 마련되지않아 아쉬운곳""",상장사이고 규모가 있는편이다보니 근무한거 자체만으로도 경력이 될수 있는곳 팀바이팀 인거 같지만 팀 잘만나면 사람도 좋고 어느정도 일을 배울수 있다,"10년전과 직원수를 비롯해 모든것이 변화했지만 시스템이라던지 업무 프로세스는 10년전과 동일함 일을위한 일이 많음 즉 노가다 업무가 대부분 경영진자체가 이런부분을 개선할 의지가 부족하고 고여있는 느낌이 강함
동종업계중에 급여가 가장 짬 연봉테이블을 다 갈아엎어야함",연봉을 개선해서 인재로 구성원을 채웠으면 함 세습경영 타파하고 변화를 꾀해야함
3.0,(주)메타바이오메드,2022. 06,3점,"""생산이 생산에 집중 못하게 위에서 방해하는 느낌?""",생각보다 쿨한 공정 사람들이 많고 업무보기도 나쁘지않음 그리고 쉬는시간을 칼 같이 쉬어야한다는게 있어서 쉬는시간은 참 잘 지킴,썩은 고인물들이 너무 답이 없다 그 사람들이 기업을 망치는중 향후 10년 뒤쯤에는 매우 나아질 전망으로 보인다,오래 다닌 사람들이 좀 빠져줘야함 그리고 상여급에서도 항상 어느 최소치는 주겠다가 좀 정해져있었으면...
