총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.0,(주)아즈텍더블유비이,2022. 01,1점,"""디자인을 처음부터 배우기 위한 사람은 다녀보시길...
승진은 꿈에도 꾸지 말길...""","장점.. 강남에 위치... 옷을 싸게 살수 있음...
그외 장점은 없습니다..","승진이 정해진 근속년수에 안됨.. 사장 마음대로 임..
연봉 인상???이 뭐죠??",젊은사람을 소중히 여기고 잘 키워보길... 언젠간 후휘할겁니다...
2.0,(주)아즈텍더블유비이,2021. 07,3점,"""부산기업으로 관련업계에서 안정적인 지위가 있음""",지하철과 가깝고 네임밸류가 있는편 이름말하면 아는 사람은 다 아는정도,전망이 어둡고 성숙기 내지는 쇠퇴기 산업이라는 생각이 들때가 있음,적극적인투자와 인재 양성 복지에 저 투자를 했으면합니다.
2.0,(주)아즈텍더블유비이,2021. 06,3점,"""오래된 기업 그리고 원단 취급하는 기업이라 좋은 원단 많이 볼 수 있습니다""",말했듯이 원단 개발이나 취급하는 것을 볼 수 있음 디자인하면서 키워가고 있음,본사가 부산이고 업무 환경이 그냥 보통인 정도인 것 같다,디자인쪽은 한 사람에게 할 일이 너무 많이 치우쳐 있어 힘든 듯합니다
2.0,(주)아즈텍더블유비이,2021. 06,1점,"""회사식당 메뉴는 걍 채소밭, 대략 365일중 360일이 야근, 업무과중""","옷살때 직원가 할인해서 시중가보다 싸게 살수있음, 이 회사에서 이것저것 별별 업무를 다 경험하게되지만 정작 숙련도나 전문성을 얻긴 힘듬",과중된 업무를 시키지만 시간내에 완벽하게 업무처리하는걸 바람,"기본적인 직원 처우개선, 퇴근시간 및 점심시간 보장"
2.0,(주)아즈텍더블유비이,2021. 05,3점,"""부서별로 명확하게 구별 되어진 곳이었다고 할 수 있다.""",업무문담이 확실하여 전문성을 제대로 키울 수 있었던 것 같다,기본적인 직무 외에 해당 하지 업무도 해야 하는 것이 있어서 곤란했다(다른 부서의 업무를 했다는 것은 아님),직원들의 복지에 조금 더 힘써주시기를 바라겠습니다...
2.0,(주)아즈텍더블유비이,2021. 03,3점,"""나름 남성복 시장에서 인지도 있으나 고인물이 많다.""","나름 회사 규모도 있고 FM빡새게 일을 배울수 있습니다.
회사내 복지 시스템은 엉망이지만 체계는 잘 잡혀있는게 장점입니다.","고인물들이 너무 많고 구닥다리 방식이 많습니다.
안되면 되게 하라는 신념이 머무 강하고
프로모션쪽은 오래 버티는 사람은 거이 없다고 보시면 됩니다.",빠른 변화에 발맞쳐 유동성 있게 변화하고 시도했으면 합니다. 너무 답답해요
2.0,(주)아즈텍더블유비이,2021. 02,5점,"""국내 최대 규모의 방모회사
오래된 회사""","안정적인 기업으로
재무적으로 탄탄
일할수 있는 시스템이 가추어져 있음","역피라미드 구조의 인원배치
일할수 있는 시스템이 많은만큼
자유도가 없이 메뉴얼에 맞춰 일을 해야함","좀 더 젊은 회사가 되길 바랍니다
직원과 회사가 구시대 적입니다"
2.0,(주)아즈텍더블유비이,2021. 01,3점,"""평화로웠던 옥상이 있는 강남구 소재지의 기업""",다함께 잘 어울릴 수 있는 분위기였고 욕심만 있다면 열심히해서 더 나은 위치로 갈 수 있는 곳,패션기업 특성상 많은 야근이 있었고 고위 간부에 계신분이 힘들었음,직원들에게 쓴소리도 좋지만 칭찬을 많이 해주시면 갈등이 적어지지않을까 싶음
2.0,(주)아즈텍더블유비이,2021. 01,1점,"""재입대 하는게 나을 정도의 회사 주식상장 회사중에 최하위권 기업임""",지하철 역에서 가깝다 말고 없음 도저히 없음 그나마 거래처가 탄탄하다는것,60년대 지어진 건물 그대로 사용 아무리 공장이라지만 위생상태 최악이고 휴게실도 없어서 박스 깔고 앉아서 쉼 화장실도 재래식 화장실,젊은 사람들이 왜 그만두는지 뻔히 알면서도 외노자 쓰면 된다는 마인드가 너무 느껴집니다
2.0,(주)아즈텍더블유비이,2020. 11,3점,"""딱 지킬것은 최소한으로 지키지만 굉장히 수직적이고 강압적인 사내분위기""","상장된 회사라 쉽게 망하지않음, 급여도 한번도 미뤄진적없음, 늘 그렇듯 좋은분들도 한두분씩 계심,","출근 8시 퇴근 7시..?, 후배가 후배를 부림, 별다른 복지 없음",사내 분위기를 좀더 유연하게 바꾸고 너무 시스템에 얽매이지 마시길..
2.0,(주)아즈텍더블유비이,2020. 10,5점,"""상장회사고 나름 크고 좋았어요 밥도 주고요 괜춘한듯""",우선. 연차도 있고 기본은 다 잘챙겨주는거 같아요 밥도 주고 월급도 짜지않고 적당히 줍니다 좋아요,흠 빠른 출근시간? 늦게 자는 날엔 그냥 ㅠㅠ 넘 힘들고 그리고 집이랑 멀어서 그게 좀 아쉬웠어요 ㅠㅠㅠ시간이 너무 오래걸리니깐,괜찮았어요 좋운 경영감사합니다 집이 좀 멀어서 힘들었을 뿐 다 좋았어요
2.0,(주)아즈텍더블유비이,2020. 10,1점,"""밑바닥부터 배우실려면 가세요 대신 후회할거에요 차라리 아르바이트가 더 좋을지도""",역이랑 가까운점 하나는 괜찮았습니다. 그거 외엔 봐줄게 없습니다,"전형적인 역피라미드식 구조, 일의 체계가 안잡혀 있습니다",퇴사율이 높다는것을 지원자들에게 찾지말고 내부에사 혁신하십시오
