총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.6,(주)비디아이,2022. 03,1점,"""두서없이 일해 정신을 차릴 수 없는 곳으로 체계적이지 못함""",다양한 업무를 동시에 진행하기에 관련 업무 스킬은 늘어남,"불필요한 사람들이 많은 가족회사.
문제 많은 꼭대기와 그의 친위대들이 일을 산으로 몰고감","제발 옆 사람 말을 들어주세요.
다 생각있고 회사에 애정 가지고 있는 사람들입니다."
1.6,(주)비디아이,2022. 03,2점,"""힘듬 일당백이어야함 혼자서 설계구매시운전 업체관리 모든걸 해야함""",erp가 없어서 출장시 구두보고 하면됨 출장가면 숙소부터 밥까지 모든걸 회사에서 줌 장점이자 단점이 되는게 출장가면 남는게 없음 점심은 자유롭게 식당을 고를수 았음,"연봉인상이 없고 가끔 급여 밀림언젠가는 주지만 직장인 한테 급여가 밀리면 한달 살기가 힘들어짐
급여인상은 거의 없고 밑에 직원 말을 안들음",매년 적정한 급여인상과 사람이 귀한줄 알아야 한다고 생각합니다 뽑으면 되지 라는 마인드보다 오합지졸 다섯명보다 일당백 한명이 나은 만큼 일을 하는만큼 챙겨주면 클수 있는 회사라고 상각합니다
1.6,(주)비디아이,2022. 03,2점,"""업무 난이도와 보상체계가 하향평준화된 기업""","불필요한 야근 없고, 연차에 대한 불필요한 간섭이 없음.
출퇴근 시간을 여유롭게 조절가능.",부서간 업무 단절이 심함. 직원이 퇴사율이 높고 업무인수인계가 체계적이지 못함.,합리적인 보상체계의 구축이 필요. 기타 직원역량을 키우기 위한 의지 및 투자 필요
1.6,(주)비디아이,2022. 03,2점,"""위에 임원만 가득한 별로인 회사며 기본적인 조직구성 및 대우가 아예 없음 있을수록 손해인 회사""",장점이라고 생각할수 있는게 없음. 그나마 장점인게 사람들이 그나마 좋아서 같이 일하는데는 편하나 위 에 임원진들이 아주 개판임,조직적으로 구성이 문제가 많으며 인재에 대한 육성 및 관리가 너무 없음,회사를 위해 일하는 사람들에 대한 처우 개선과 사고방식을 바꿔야함
1.6,(주)비디아이,2022. 03,1점,"""겉으로 상장 회사이긴 하지만 내부적으론 경영,체계,복지 등 매우 부족한 회사""","1. 근태 관리가 없어 편하게 출퇴근 할 수 있음.
2. 밥표를 자유롭게 이용할 수 있어서 저녁 해결 가능.(구내 식당 맛집)","1. 오너 패밀리가 많음.
2. 밑에 직원들보다 임원수가 더 많음.
3. 체계가 없음.",무리한 사업 확장으로 인해 회사가 어려움에 직면했으며 그 피해는 모두 직원들이 받고 있음. 경영진들은 반성바라며 정상화 하기 위해 노력하는 모습을 보이기를...
2.8,(주)클라우드에어,2022. 08,1점,"""전장용LED 조명으로 현기차 3차 밴더쯤 된다고 보면 된다. 기업 오너가 자주 바뀌고 사업이 자주 바뀌는 미스터리한 회사.""",기존에 고인물들이 3시세끼 먹으며 칼퇴하기 좋다. 그 외에는 없다.,"한두가지가 아님. 횡령부터 해서 다단계, 파벌, 없는 게 없다. 전장용 LED 사업으로 겨우 먹고살고 있는 회사고 성장 가능성은 제로다. 사주가 기업 엠앤에이 전문이라고 들은 것같은데 주력 사업에 투자 안하고 주식으로 먹고사는 듯. 사주가 여러번 바뀌어 직원들은 애사심 같은 것은 전혀 없음.",바라는 게 뭐가 있겠습니까. 경영진이 누군지도 얼굴도 모르는데.
2.8,(주)클라우드에어,2022. 02,2점,"""언제까지 사업할지.....궁금하네요
신기하게도 사명 바꿔가며 운영중""","눈치안보고 연차사용
널널합니다
업력이 오래됨
다음 사명은 무엇?","회사주인이 바뀌고 힘들수도
잘모르겠다
진심...
다나갔음?","적극적인 투자
회사매각
캐시카우말고 다른..
복지가좋아져야,"
2.8,(주)클라우드에어,2021. 12,5점,"""직원 개개인의 회사생활, 가정사 등에도 관심을 가져주고 생각해주는 회사""","직원 만족도가 높은 회사, 복지포인트, 학자금(유치원) 등등 중소기업이지만 복지수준이 다소 높은편",인사고과나 실적평가가 너무 평균적으로 이루어짐. 급여가 작지는 않으나 많지도 않음. 평균보다 조금 높은 수준,"신규 사업, 아이템 발굴등 회사 규모를 성장시킬 수 있는 방향이 필요하다고 생각함."
2.8,(주)클라우드에어,2021. 07,2점,"""LED 사관학교, 작지만 LED 관련된 모든것을 배우고 경험 할 수 있다.
나중에 그만 두고 보니 나름 프로세스도 나쁘지 않다고 생각 한다.""","말그대로 LED 사관학교. 본인이 노력만 한다면 LED에 관한 모든것을 배울수 있다.
근무 환경 자유롭고 퇴근시간 잘 지켜지고 괜찮은 동료들이었다.
망할일은 없다.","아무래도 중소기업이라 큰 복지는 없다(소소한 복지는 있다)
사업 아이템이 한정적이라 매출도 한정적이다.","쉽지 않겠지만 신규 아이템도 필요 할거고 직원들 복지도 좀만더 신경쓰면 중소기업중엔
꽤 괜찮은 회사로 기억 될거 같네요"
2.8,(주)클라우드에어,2021. 05,3점,"""개인 시간이 많은 회사, 시간적 여유 빼고는 딱히 내세울게 없음.""",상대적으로 야근이 없으며 시간적 여유가 많은 편. 본인의 의지에 따라 회사를 다니면서 개인적인 투자가 가능함.,"매년 떨어지는 매출, 실적, 비젼. 회사에 대한 투자가 낮은 편이며 이렇다할 복지도 없음.",복지에 더 많은 신경 써주시기 바랍니다.
2.8,(주)클라우드에어,2021. 01,3점,"""정말 그냥 그냥 다니는 회사입니다. 장점이 무엇인지 모르겠네요.""",장점은 워라벨이 정말 좋습니다. 직원들이 뭐하는지 크게 터치가없습니다. 회사가 어떻게 돌아가는건지 모르겠습니다.,"연봉이 아주 적고, 회사 비전이 전혀보이지 않습니다.
최근 몇년사이에 회사명만 두세번 변경했는데, 무슨회사인지 모르겠습니다.",제발 이상한 사업 넓히지 말고 선택과 집중을 하시길바랍니다.
2.8,(주)클라우드에어,2020. 10,1점,"""연봉과 복지 모두 좋지 않습니다.중소기업이라고해도 심함""",유일한 장점은 회사내에 공장이 있어서 식당이 있다는거 말고는 없습니다.,연봉 인상도 거의 없고 인센티브는 기대하기도 힘듬 딱히 장점을 찾기 힘들 정도로 단점이 많음,회사 경영 및 실적에는 전혀 과님이 없음...
2.8,(주)클라우드에어,2020. 05,3점,"""말그대로 무난한 회사
처음 일배우기에는 좋았던 회사""","전체적으로 강압적이지 않고 무난한 기업 문화
관심만 있다면 많은것을 배울수 있는 곳","현재만 있는 곳
미래에 대한 불분명함, 나아갈 의지 없는 회사 정책들",미래에 대한 투자는 분명히 필요합니다. 사람든이 기계든 기술이든
2.8,(주)클라우드에어,2019. 11,3점,"""지금 생각해보면 좋지도 나쁘지도 않은거 같음
청소 아주머니가 착하심""","주차장 있고, 식당있고, 사무실 깨끗한편, 교통 괜찮음","주말근무가 없다고 하였으나 주말근무 있었음.
딱히 단점은 없는거같으나. 경비처리시 개인 돈 사용하고
월급때 받아야 하는 번거로움 있었음","딱히 바라는거보다 사장을 볼수있는게 1주에 1번?
그정도 였던거 같았음. 결재도 그때?
대표이사가 주주로 변경되는거 같아서 그런지
크게 관여는 안하는거 같음"
2.8,(주)클라우드에어,2019. 07,4점,"""실력있으면 정말 좋은회사입니다 정말 괜찮은 회사입니다""","역량을 극대화할수있는 회사입니다
개인시간도 많이 주어지고 같은 계열의 업종에서는 복지는 나쁘지 않은 편입니다",연봉이 생각보다 낮았던것이 아쉽습니다. 연봉이 타업종에 비해 상당히 보수적으로 책정되어있는것,직원들의 복지향상에 신경을 더 써주세요!!!!!
2.8,(주)클라우드에어,2017. 03,4점,"""정말 분위기 좋은 회사입니다.
일단 사람들이 매우 괜찮아서 협업하는데 어려움이 없었습니다.""","현대/기아가 주 고객이며, 중소기업 규모로 매년 흑자 기업으로 꾸준합니다.
쉽게 망할것 같지 않아요..
그리고 배울점이 많습니다.","중소기업으로 많은 업무량, 물론 업무마다 다릅니다.
그리고 동종업계에 비하면 급여가 조금 낮습니다.","직원들에게 급여좀 인상해주세요.
그리고 복지좀 신경써주셧으면.."
2.8,(주)클라우드에어,2016. 04,3점,"""현대,기아차 부품 협력업체
LED 제조 업체, 조명제품 개발""","LED 생산 90%이사 자동차 적용
자동차 거래 업체이지만, 자동차 문화와는 차이가 있음","사업의 다각화가 필요 함
경영진의 자주 바뀌어 회사 경영 방향 자주 바뀜
수동적인 업무 진행","오너 경영 필요
LED외 사업의 다각화 및 투자 필요"
2.8,(주)클라우드에어,경기,3점,"""제조 회사 경력 및 첫 직장으로써 추천 할만함""",업무 강도가 과하지 않으며 사내 문화가 편안함,급여 수준 및 복지 수준 문제가 있음,회사의 방향에 대한 설정이 애매 모호 하다
날 괴롭힌 삭제된 댓글,(주)클라우드에어,경기,,,,,
날 괴롭힌 삭제된 댓글,(주)클라우드에어,경기,,,,,
3.0,동국알앤에스(주),2022. 06,3점,"""자기 업무 맡은 바 열심히 한다면 인정받는 기업입니다.""",연차 눈치보지 않고 쓸수 있음. 재무상태 안정적입니다.,"역피라미드 구조의 조직, 다소 보수적인 기업문화, 인원 부족","조직구조 변경 필요. 직무순환 필요, 임금상승 필요"
3.0,동국알앤에스(주),2022. 06,1점,"""화사는 좋음.
각 부서간 사람들 좋음
내화물 압종이 단점""","연차 눈치안보고 씀
회사 사람들 다 괜찮음
교육비 나옴","영업직 한명 개또라이임
회사를 망치는 주범이며 조심해야함
고인물이 많아 회사문제를 등한시함","신규 사업시 적극적 자세가 필요함
직원들 목소리에 귀를 귀울여야함"
3.0,동국알앤에스(주),2022. 04,5점,"""경남권 중견기업중 급여수준이 양호한편이고 업태특성상 안정적입니다""","1.연봉이 준수하고 워라벨이 좋은편입니다
2.신입직원의 경우 역량을 쌓을수있습니다",철강회사 모태다보니 보수적이고 옛날마인드를 갖고있는 직원이 일부있습니딘,기존사업에는 성장의 한계가 있어보이니 신사업에 주력해주셨음 합니다
3.0,동국알앤에스(주),2022. 03,3점,"""사람들은 진짜 좋음. 업종 자체가 시장이 작고 발전이 없는 느낌이다""",직원들이 너무 좋고 빠른 퇴근하는분위기 ..........나머지는 뭐 딱히 없다 밥 잘나오고 월급 잘나오는 정도 크게 안바라고 다니기 좋음,중견기업 치고는 작다 복지가 별로다...........위치가 너무 시골에 있어서 가기가 힘듬 . 주변에 커피한잔 사먹을 카페도 안보임 바다와 산 그리고 공장..,직원들 잡을려면 복지를 늘리고 신사업을 확실히 해야할듯.....................
3.0,동국알앤에스(주),2021. 09,2점,"""근무했을 당시 군대문화가 만연해있었고 보수적인 분위기가 심했음""",자회사에 납품하는 회사라 수익 안정성은 있었음 보수적인 분위기에 잘 적응하는 사람이라면 나쁘지 않을수도,안정성만 있다보니 도전의식이나 새로운 변화는 없음 회사 조직이 너무 보수적이고 딱딱함,새로운 시도나 혁신이 필요할 것이라 생각되고 보수적인 조직문화도 변화가 필요할 것으로 보임
3.0,동국알앤에스(주),2021. 07,4점,"""잘되면 내탓 잘 못하면 전부다 니탓 이상한 분위기를 느낄 수 있다""","연차를 윗사람 눈치안보고 자유롭게 쓸수 있음 , 최근에 들어 워라밸가능하다,
육아휴직도 가능하다 단 돌아온사람이 없다..",모든 사람들이 책임은 니탓이라는 분위기라 새로운 걸 받아들이기 힘듬,문제가 발생하면 서로 책임 떠밀기 하듯 애기하는게 다반사여서 막상 진행되는게 많이없음.
3.0,동국알앤에스(주),2021. 04,3점,"""본사는 부산 생산,연구소는 시골에 위치한 직장생활하기에는 무난한 회사""",급여도 부산에서는 평균이고 동료들도 괜찮고 직장생활하기에는 무난한회사,본사말곤 회사가 시골에 위치해있으며 직원수가 적어 소문이 쉽게돈다,현재에 만족하는게 아니라 신사업에 투자해서 회사가 발전해나갔으면 좋겠습니다
3.0,동국알앤에스(주),2021. 02,3점,"""부서에따라서 업무강도가 차이가 나지만 대체적으로 낮은직급은 강도가 강한편 입니다만 직급이 올라갈수록 널널합니다.
복지는 좋은편이며 선배들도 좋습니다.""",안정적인 중견기업입니다. 연차와 휴가 편하게 사용가능하며 대체적으로 복지가 좋은편 입니다.,"문서작업이 많습니다.
음주문화가 있습니다.
자기밖에 모르는 최상급자들이 책임전가를 가끔 합니다.",제발 말도안되는 서류작업과 보신주의를 타파하고 인재들이 빠져나가지 않는 회사를 만들어 주세요.
