총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,(주)아이센스,2022. 10,3점,"""기업 전반적으로 안정적이지만 개인의 성장에는 한계가 있다고 느껴짐.""",안정적인 사업군과 계속되는 성장세가 장점임. 복지나 인사제도 등 여러 측면에서 개선을 위해 노력하고 있음.,부서별 업무강도나 분위기가 매우 상이함. 야근하는 부서는 매일 야근함.,연구인력에만 관심과 지원을 아끼지 않는 것이 아니라 지원인력에도 힘을 실어줄 필요가 있음. 좋은 인력이 빠져나가지 않게 하기 위한 고민이 필요함.
2.9,(주)아이센스,2022. 09,3점,"""편하게 다닐 수 있는 일하기 좋은 곳""",연차를 윗사람에 신경 안쓰고 쓸 수 있다고 생각합니다 그리고 눈치 보지 않고 자유롭게 대화가 가능하다,급여가 정말 정말 정말 적다고 생각하고 그만두는 사람들이 많은 것 같다,생산직 직원들의 급여를 좀 더 상향 시켜줬으면 좋겠습니다
2.9,(주)아이센스,2022. 09,4점,"""업무별 프로세스를 강조하지만 자율성이 충분히 확보되는 좋은 회사입니다.""",사업이 안정적이며 급여 및 복지 또한 지속적으로 향상되고 있습니다.,"심사대응 업무가 많아 본연의 업무에 지장을 줍니다.
추가적으로 교육도 넘 많습니다",너무 프로세스를 강조하다보니 주객이 바뀐것 같습니다. 일의 깊이에 접근할수 있는 방법을 찾아야 할듯 합니다.
2.9,(주)아이센스,2022. 09,4점,"""탄탄하고 일하기 좋은 회사 다만 너무 혈당에 집중된 매출은 개선이 필요함""","안정적인 매출 확보
지속적인 복리후생 프로그램 업그레이드
개선되는 근무 환경","혈당 비즈니스에만 매출 집중
사내정치
적극적인 새로운 비즈니스가 없음
맨파워 부족","새로운 비즈니즈를 위한 맨파워 확보 필요해 보임
연구소의 자질이 부족함"
2.9,(주)아이센스,2022. 08,4점,"""기존사업이 튼튼하며, 신규사업이 지향하는 시장규모가 커 회사 미래가 밝다""","팀마다 다르긴하나, 워라벨이 어느정도 보장된다. 단, 대리급보다 차,과장급이 많은 회사로 고인물 느낌도 있다",회사규모가 크지않아 기업내부 시스템이 아직 덜 잡혀있다. 지속 개선되고있으나 개선 담당자들은 힘듬,돈 잘버는 사업부에 대한 인센티브가 약하다. 차별화가 필요하다
2.9,(주)아이센스,2022. 08,1점,"""중식이 제공되고 연차가 보장되며 월급 밀리지 않는 편. 그 외 없음""",중식 제공 연차 보장 월급 제때 나오는 것? 이 외 없음,"지인채용이 만연하고 심지어 배우자가 입사한 사례도 존재
마녀사냥으로 인해 능력있는 직원의 퇴사가 해마다 반복됨
직원의 퇴사는 걱정하면서 퇴사하는 이유에는 귀를 기울이지 않음","퇴사율이 높은 팀은 내부 이야기에 관심을 가져보길 바람
특정 인원들의 이야기만 듣는 관리자로 인해 왜곡된 여론이 형성되어 있음"
2.9,(주)아이센스,2022. 08,4점,"""급여 밀리지않고 꼬박꼬박 잘챙겨주는 회사""","자유로운 분위기가 가장 좋고 점심도 잘나오는편임
회식강요는 딱히 안함.","송도 끝 인천대입구역쪽이라 교통편이 그렇게 좋지는 않음.
역이랑 살짝멈",출퇴근용 버스나 교통편을 마련해주셨으면 함
2.9,(주)아이센스,2022. 08,3점,"""나름 시설도 좋고 생산업무에 대해 여러가지가 있다""",여러가지 복지포인트 및 자유로운 연차덕분에 편하게 일할 수 있다,다소 낮은 연봉과 단순 반복적 인 일로 인한 것에 대해 실증이 날 수도 있다 그리고 몇 일 동안만 일하고 도망 가는 경우도 있다,직원들의 불만을 제대로 들어줬으면 좋겠습니다
2.9,(주)아이센스,2022. 08,4점,"""연구개발에 아끼지 않는 투자를 하는 회사. 눈치 안보고 연구개발 활동이 가능함.""","업계에서는 나름 인지도가 높은 회사. 아직까지는 혈당센서의 비중이 가장 크고 혈당으로 먹고사는 회사이지만 지속적인 투자 및 개발로 아이템을 확장해 나가고 있으며, 곧? 출시될 CGMS에 대한 기대가 안밖으로 매우 큼, 연차 자유 롭고 야근 강요 없고 본인의 업무만 충실히 하면 크게 문제없이 다니기 좋은 회사","비 효율적인 회의, 젊고 열정있는 사람들은 몇년 다니다 퇴사하고, 일을 못하는지 안하는지 모르겠는 고인물들은 나갈 생각이 없어보임. 최근 코로나로 인한 몇몇 진단업계의 급 성장 및 확장으로 인력을 많이 뺏김. 인력난이 심함. 최근에 이로인해 상여금 인상 및 연봉을 좀더 올려 줬지만 연봉이 너무 낮음.. 상여는 허무할 정도로 낮음...",지속적인 개발 투자에는 항상 감사드리며 직원들을 생각해주시는 마음은 잘 알고있습니다. 하루빨리 혈당을 제외한 다른 아이템들의 공격적인 영업을 통한 매출 증가와 cgms출시를 통해 다른회사 못지않은 연봉과 상여가 지급된다면 직원들의 사기를 증진시키고 애사심을 키울 수있을것 같습니다.
2.9,(주)아이센스,2022. 07,3점,"""공무원처럼 다닐 수 있는 회사
착한 회사
하지만 미래가 안보이는 회사""","안정적으로 다닐 수 있는 회사
사람들 좋은 편
워라밸 괜찮은 편","고인물들은 능력이 없으나 돈을 많이 받고
능력있는 젊은 사람들만 일을 해서 대리쯤 줄줄이 퇴사한다","재택근무 및 자율출퇴근 시행
인센티브 인상
점심시간 연장"
