총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.1,대한과학(주),2022. 08,1점,"""개콘이 왜 망한지 알거같네요. 이유도 모르고 해결하는 방법 조차 모르는 주먹구구식 기업입니다. 인생에 제일 후회되고 제 자신이 원망스러울 정도에요.""","자율복, 유니폼 지급, 회식 많이 없음, 전자레인지 있음, 냉장냉동고 있음, 야근식대제공","가끔 어이가없는 연봉체계와 직급체계, 업무량은 일하는 사람만 많아지는 시스템, 아무리 일을 열심히해도 알아주는 사람 없고 결론적으로 회장 눈에 들어와야 직급과 연봉이 떡상함","신입에서 3년차까지 직원들이 왜 나가는지 귀를 기울여주세요.
고인물들만 살아남는데 다 이유있습니다."
2.1,대한과학(주),2022. 08,3점,"""월급빼고 다 좋은. 워라벨! 칼퇴보장 기숙사 1인실""","칼퇴근 보장
어쩌다 야근시 야근비 지급
기숙사1인실
모든 사람들이 착함","강원도에서 원주 급여가 대체적으로 많이 적음
외진곳으로 자차나 통근버스못타면 출퇴근 어려움",직원들 월급을 동일직종대비 조금이라도 올려주시면 좋을것 같습니다.
2.1,대한과학(주),2022. 08,2점,"""늙었지만 노련한 마부가 몰고있는 안정적인 마차, 호시탐탐 기회를 노리는 보조석""","욕심이 없다면 정년까지 다닐 수 있고 정말 많고 다양한 업무를 해볼 수 있는 회사.
낡은 경영방식이지만 그 회장님의 선택이 이 회사를 이만큼 키워왔기에, 대단하다는 생각이 듬. 크게 흥하지도 않지만 망할리도 없는 회사",고이다못해 썩은물들이 다 망치고있는 회사. 그 분들은 승진욕도 없고 열심히 회사업무를 하지도 않는 그냥 월급 루팡 자리보존 똥덩어리들,일 열심히 하는사람을 더 챙겨주세요 고이다못해 썩은물들을 쳐내주세요
2.1,대한과학(주),2022. 07,1점,"""""가족회사, 지인회사""
장점보다 단점이 너무 많은 회사.""","야근 시에 식사 비용을 제공. 배고프지 않고 든든하게 밤에 일을 할 수 있음.
나중에 이직할 때 여기서 배운 끈기와 노력, 버팀은 인생의 큰 도움이 될 것 같음
그 외 장점이 없습니다.","출근은 항상 빠르게. 매우 잦은 야근. 야근비 없음.
연차는 빨리 쓰라고 지시하는데 연차 사용에 눈치를 많이 봐야하는 모순
신입 및 부하직원의 너무나도 많은 일량. 그러기에 나타나는 잦은 퇴사.
경영진이나 임원급, 팀장들 대부분이 신입 및 부하직원을 소모품 취급하는 느낌이 있음
그렇기에 또다시 생기는 고인물.
그 외 단점이 너무나도 많습니다...","망하지는 않겠죠.
신입사원하고 부하직원들에게 신경 많이 써주세요.
오래가는 직원이 많아야 더더욱 발전이 있다고 봅니다."
2.1,대한과학(주),2022. 07,2점,"""어디든 그렇겠지만 부서별 근무강도 천지차이, 고인물들만 남아 신입들은 소모품처럼 매해 바뀌며 나아지지 않음.""",연차의 사용 이라던지 기타 등등 크게 터치하거나 본인 업무에 지장 가지 않는 선에서 자유도가 어느정도 있는 편.,"그 나이에 아직도 은퇴하지 않고 실무에 영향력 행사 하고있는 회장의 독단적, 비효율적, 시대착오적 경영방식이 회사와 직원들의 발전에 악영향을 많이 끼침","신규 사업이라면서 저질러 놓고 해결하는 방식, 돈은 돈대로 시간은 시간대로 낭비하지 마세요"
2.1,대한과학(주),2022. 05,2점,"""최소한 배울수 있는게 있어야하는데 전혀 배울게 없던 회사""",여러 브랜드를 경험해볼수 있다. 경쟁력 있는 회사에서 일해본 경력은 추후 이직할때 도움이 많이 되었다.,단점 너무 많음.. 회사 이름부터 굉장히 보수적이고 사수부터 팀원까지 다 보수적임,합리적인 보수가 이뤄졌으면 좋겠고 근로자의 일반적인 희생을 강조하는건 굉장히 불합리한 구조라고 생각합니다.
2.1,대한과학(주),2022. 01,3점,"""평범하게 생활할 수 있는 회사 성장을 원하면 맞지 않음""",전자레인지있음 탕비실있음 점심제공 맑은 공기 월급은 제 날짜에 나옴,"연봉, 회장의 말 한마디로 운영되는 기업문화 단 이 부분은 상항에 따라 다를 수는 있음",바래봤자 소용 없을 것 같고 잘 운영하겠죠 파이팅 하세요
2.1,대한과학(주),2021. 12,2점,"""화이팅이 필요한 기업입니다. 유지는 할수 있어도 발전하기엔 뭔가 2% 부족한 아쉬운 기업입니다.""","안정적입니다. 꾸준히 매출오르고, 적은 인원으로 많은 돈을 벌수 있는 구조입니다.
그리고 칼퇴가 가능하며, 야근비 가 없어서, 야근을 안해도 됩니다. 오늘 못하면 내일 오전에 처리하면 됩니다.","편애하는 부서가 확연하게 들어납니다. 그리고 일하는 사람만 엄청 일하고 있어서, 어쩌면 그게 이회사에서 유일한 버팀목일수도 있다고 생각합니다.",신규 사업 추진에 적극적인 투자 의지를 보여줬으면 좋겠습니다. 직원들의 불만을 듣지만 말고 해결책을 마련했으면 좋겠습니다. 합리적인 복지 그리고 보상체계를 확실히 만들어주셨으면 합니다.
2.1,대한과학(주),2021. 11,2점,"""가족단위회사라 가족들끼 똘똘 뭉쳐 다른 직원들은 성장하기 어려움. 경영진 마인드가 현시대의 젊은층 마이드를 이해하려고 하지도 않음""","구내식당, 통근버스는 운영중에있음 명절 보너스도 나오기는 함",연봉이 작고 근로년수가 길지는 않음. 특히 연봉계약은 하지만 그리 높게 오르지 않음.,젊은 층들의 마인드를 이해하고 과거의 경험에 너무 고집부리지 않았으면 함
2.1,대한과학(주),2021. 08,2점,"""대표이사의 권력이 너무나도 큽니다.
대표이사가 곧 법인 회사""","같이 일하는 사람들은 정말 좋아요.
그게 다일뿐입니다.","짠 보수, 올라가지 않는 임금, 대표의 말 한마디에 회사가 좌지우지 됨","임금체계에 대해 다시한번 생각해주세요.
여러사람이 해야 할 업무가 한사람에게 너무 집중되어 있어요."
2.1,대한과학(주),2021. 07,2점,"""가족회사의 끝판임. 어떻게 회사가 돌아가는지 의문이고 고인물만 남음.""","유관직종 업무커리어쌓기는 적합한것 같음.
어학비 지원 있음.","점심식대없음.
출장지원비없음.
야근어마어마함.
체계가 없음.","좀 체계적인 프로세스가 갖추어져야 할 것 같습니다.
업무이던, 신규 입사자에 대한 교육이건, 모든분야가요."
2.1,대한과학(주),2021. 07,4점,"""수동적인 사람이 근무하면 안되는 곳, 능동적으로 열심히 하면 결국은 인정 받고 대우해 주는 회사,""","해당 업계에서 국내기업으로는 최초로 실현한 기술이나, 영업활동이 많은회사, 종합카다로그의 확립. 국내의 실험기자재 분야에서 높은 인지도와 대리점 체계가 잘 잡혀 있음.
절대 월급이 밀리는 경우 없이 탄탄한 자본력을 갖고 있음","모든 회사가 그러하듯 본인이 있는곳이 만족해 하며 다니는 인원이 있는 반면, 불만이 많은 이원도 상종해 가면서 일해야 하는곳. 보고체계가 상당히 보수적인 회사.","특별히 바라는 것은 없습니다.
지금처럼 회사가 잘 운영 되기를 바랍니다."
2.1,대한과학(주),2021. 07,1점,"""전형적으로 근무하기에 무난한 코스닥상장 중소기업""",워라밸을 지킬 수 있다....망하지 않을 산업이다...,노후화된 건물도 있고 엘베없는 건물도 있다. 사람이 부서바이부서인데 사람들은 대체로 둥글둥글한편. 팀 분위기가 좋다고하지만 다들 오래 근무해온 사람들이 많아서 여초 남초부서 할 것 없이 전형적인 중소기업,"공정하고 많은 사업을 하고잇어 발전적인 기업 같은데.. 경영자를 중심으로 하는 가족경영
그 밑에 임원 부장들은 다 회장말만 믿고 따르는 것 같아요"
2.1,대한과학(주),2021. 06,3점,"""실험실 기자재 유통 업체
본사는 서울에 공장은 원주에 위치""","월급은 잘 나옴
급여 수준은 평균(?)
복지는 별거 없음",사업체가 여러 곳에 있어 업무 진행을 위한 의사 소통에 시간이 걸리는 경우가 있음,기존 사업 유지도 좋지만 성장을 위해서는 신규 사업을 개발할 필요가 있어보임
2.1,대한과학(주),2021. 06,4점,"""원주권에서는 나름 규모가 큰 회사이며, 거주지가 강원도에 있는 사람에겐 출퇴근도 나쁘지 않은 회사""","복잡이 자유롭게, 기숙사가 운영되어 타지에서 왔거나, 출퇴근거리가 먼경우 이용가능함.","연봉이 낮은편이며, 회사가 시골에 있어서, 주변에 아무것도 없음,
편의시설을 이용하려면 기업도시까지 가야하는데, 자차가 없으면 힘듬",직원 복지에 조금 더 신경을 써주시면 좋겠습니다.
2.1,대한과학(주),2021. 04,2점,"""가족회사 입니다 중소기업이 뭐 그렇듯 높은자리에 있으신 분들이나 오너들의 친인척들인 분들이 많습니다 눈치보기 바쁘고 복지가 없습니다""","장점을 굳이 생각을 해보자면 지하철역에서 회사가 가깝다, 편의점이 가깝다 정도 입니다 추석,설날 떡값 나옵니다 그외에는 딱히 장점이라고 할만한게 없습니다 정말 이게 다입니다",휴가도 제대로 쓰기 힘들고 남은 연차 그해에 소진 못하면 그냥 따로 보상도 받지 못합니다 연차 써도 눈치 안보고 마음껏 쓰라고 하는 선임 만나시길 바라겠습니다 그외에 이기적으로 자기껀 자기가 나서서 챙겨야 합니다 근데 생각하보니 챙길게 없을것 같지만..,"고생하는 직원들을 위해 복지 에 신경써주세요 직원이 있어야 회사가 존재합니다, 직원을 위해 제발 노력하십쇼"
2.1,대한과학(주),2021. 04,3점,"""공장 시설이 좋고 원주에선 그나마 탄탄한 기업중 하나 월급은 잘나옴""",구내식당이 있고 기숙사이용가능 비교적 좋은 환경이다 연차사용,고인물이 많고 텃새가좀 있음 가족경영회사로 문제해결이 되지않음,전문경영인에게 넘기고 이제는 노욕을 버려야 할때임을 깨달아야
2.1,대한과학(주),2021. 03,1점,"""워라벨은 괜찮은편, 전형적인 가족회사, 업무를 비효율적으로 진행 함.""","점심 제공, 저녁은 제공하지만 야근 심하지 않음, 사람들은 괜찮은 편","전형적인 가족 회사로 라인을 잘 타야 승진이 보장됨, 업무의 비효율성","합리적인 복지, 일부직원에게만 성과를 몰아주지 않았으면 좋겠네요"
2.1,대한과학(주),2021. 03,3점,"""요즘 코로나 이슈로 떠오르고 있어 전망이 밝은 기업입니다""",연차를 눈치 안보고 쓸수있고 월급이 밀리지 않으며 기숙사 사용이 가능함,위치가 오지에 있어 교통이 불편하고 식사가 제한적입니다,수주가 늘은 만큼 신입 직원을 활발하게 뽑았으면 좋겠습니다
2.1,대한과학(주),2021. 03,2점,"""주말보장과 칼퇴근만 보고 다니는 회사.""",연차사용 자유로움. 주말근무 및 야근 거의 없음. 업무강도가 약함.,"급여가 너무 적고 연봉에 퇴직금 포함. 중식지급도 안됨.
회사가 너무 외진곳에 있어 대중교통으로 출퇴근 불가함. 셔틀버스 있지만 노선이 한정적.
업무의 효율성이 낮고, 누구하나 책임지려 하지 않음.","오너가 좀더 진취적으로 행동 하였으면 좋겠다.
말 들어보면 직원을 너무 소모품으로 생각하며, 직원처우 개선에 대한 생각이 전혀 없어보인다."
2.1,대한과학(주),2021. 03,3점,"""경영진이 엔지니어에 대한 인식이 부족하여 커뮤니케이션의 문제로
힘든부분이 있습니다.""","연차 사용이 자유로우며 업무 진행도 어느정도 자유로운 편입니다.
성과급도 주기적으로 나오며 사람들도 좋습니다.","팀간 소통이 잘 안됩니다. 경영진과 실무진간의 소통도 많이 부족합니다.
조직이 점점 후퇴하는 느낌입니다.
업무들이 주먹구구식으로 진행되는 부분이 너무 많습니다.",내실을 먼저 다지고 조직의 체계를 갖추어 나갔으면 합니다.
2.1,대한과학(주),2021. 01,1점,"""코스닥 상장업체로 탄탄하지만 내실은 부족한 회사입니다.""","연차 쓰는데 자유로운 점, 상여가 꾸준히 나오는 점이 장점","오너일가의 독단적 경영, 근시안적 사고 그 외 등등이 단점",직원들의 의견에 귀기울여 주시면 좋겠습니다. 가볍게 여기지 말구요.
2.1,대한과학(주),2021. 01,1점,"""건물이 너무 오래되었어요. 큰 단점입니다""",잘 모르겠습니다. 장점이 있나요? 외부에서 보기에는 큰 회사같아 보인다? 정도,연봉도 짜고 근무환경도 별로고.. 흠 단점아 너무 많아요.,규모가 큰 만큼 직원들 복자 등에도 투자좀 많이 하시길 바랍니다.
2.1,대한과학(주),2020. 12,3점,"""새로운 문화가 전혀 닿지 않은 대부분의 기업중 하나이며 윗사람들 위주의 경영""",비교적 연차를 자유롭게 사용 가능하고 눈치안조는 스타일은 편한 회사,"전형적인 꼰대 문화 존재 , 아래사람들을 이해하려는 마음이 전혀 없음",사업도 사업이지만 직원들간의 커뮤니케이션을 더 발전 시키면 좋을것
