총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.3,(주)알티캐스트,2022. 09,3점,"""워라벨 매우 좋은 회사라고 생각함. 부바부 야근 스트레스 있갰지만 나는 아님.""","연차 사용 미보고. 그냥 결재없이 사용. 자잘한 복지가 있으나 와닿을 정도로 많이 주지 않음.(연500만 포인트정도 주면 모를까)
출퇴근 자유.재택 일주일에 두번 가능",윗분들의 스킬과 업무.. 팀의 존재 이유. 목적성이 다분히 부족하다. 의견을 내고 결정하기에 너무 많은 사공들이 존재한다. 추진력을 가지고 업무를 할수없다.,임직원이 모두 같은 목적과 비전을 공유하고 나아갈수 있게 생각을 공유하고 미래 먹거리에댜한 비전 공유를 가지고 새로운 시더를 해나아가길 바래봅니다.
3.3,(주)알티캐스트,2022. 09,3점,"""회사는 엄청 좋앟는데 부서가 완전 별로였음""","사무실 위치 좋음, 복지도 좋음
배울 수 있는 업무가 있었음","부서 사람들이 별로임
정해진 출퇴근 시간이 없는게 나와 안맞았음
연봉이 잘 안오름","자기 개인적인 일 시키지 마세요
지금 생각하면 왜해줬나 싶음"
3.3,(주)알티캐스트,2022. 08,4점,"""예전에 정말 좋은곳이였으나 지금은 약간?애매한 회사가 되었다.""",좋은 복지를 가지고 있었고 직원을 편하게 해주는 문롸가 있다. 업무의 자유도가있고 모빌리티쪽은 새로운 기회도 많다.,너무 많은 회사를 인수해서 정리가 안되다 보니 돈은 많이 썼는데 만든게 없다. 하나씩 차근차근 만들어가며 일을 벌이면 좋을것을...,욕심만 너무 내지말고 겸손하게 하나씩 일을 벌이도록 합시다.
3.3,(주)알티캐스트,2022. 08,3점,"""미래먹거리가 부족했지만 다닐만한 회사""","개발자 중심 문화로 의견 반영이 잘됨
출퇴근 빡빡하지 않음
서초구 위치","복지 적음
일 하는 사람만 함
신규채용이 적어 발전이 정체됨","복지 증진 필요
미래를 생각한 인사 관리가필요함"
3.3,(주)알티캐스트,2022. 08,3점,"""미디어관련 솔루션 개발 경험 가능하다. KT 프로젝트를 주로 함""",연차제도가 바뀌어서 상사 눈치 안보고 휴가 사용 가능하다.,야근/주말 수당이 없어져서 안좋음. 연차가 많이 남아도 돈으로 주지 않음,합리적인 복지 및 보상 체계를 마련해주었으면 좋겠습니다.
3.3,(주)알티캐스트,2022. 08,4점,"""워라밸 좋음. 부바부지만 개발자라면 대부분 만족하는것이 보임
성장하는 느낌이 들지 않음""","워라밸 좋습니다. 유연근무제. 휴가등 눈치 보지 않음
자기 할일만 잘하면 불필요한 터치가 없음","플랫폼인듯 SI인듯
플랫폼 사용하는 회사가 늘어나면 새로운 요구사항에 맞춰 갑자기 업무 늘어남","합리적인 보상체계, 축소된 복지 부활. 회사의 투명한 비젼 및 성과 공유 요청"
3.3,(주)알티캐스트,2022. 06,4점,"""개발자가 대우받으며 일할수 있는 조직이었으나 최근에는 어떤지 모르겠습니다.""",직원들은 서로 형동생 하면서 좋게 지냈습니다. 출근시간이 자유로운 편이었습니다. 기술력이 매우 뛰어났습니다.,시장의 변화로 많이 어려워진것으로 알고 있습니다. 근무량이 매우 많았습니다. 조직이 커지면서 정치도 조금씩 생겨났습니다.,새롭게 변화를 모색하고 있는것으로 들었습니다. 새로운 사업이 잘될수 있도록 해주세요.
3.3,(주)알티캐스트,2022. 06,2점,"""이리저리 다 팔고, 남은건....
그래도 뒤에 모회사가 있으니 마지막 기회가 있지 않을까??""","최근 좀 줄긴 했지만.... 그래도 나름 복지 괜찮음.
사고 안치면 오래 다님.
일 잘 안해도 버틸 수 있음.","일 보다는 다들 자기 생각만.
팀웍이 없음.
열심히 일하고 싶어도 딴지 거는 사람들이 있음..","최근 사세 쪼그라들었는데..
제발 잘해주세요."
3.3,(주)알티캐스트,2022. 04,3점,"""무난하게 다닐 수 있는 회사, 적당한 규모와 체계 안에서 여러 프로젝트를 경험해 볼 수 있음.""","본인 업무에만 충실하면 얼마든지 자유롭게 다닐 수 있음.
프로젝트 진행 방식과 협업 방식을 익힐 수 있음 (PM, PL, QA)","개발자로서 근무하며 아쉬운 점은 프로젝트 개발 직후 문서 작업이 꽤 많은 편,
프로젝트 수행 기간에는 야근 빈도 많았음",사업 수주 및 추진에 여유를 갖고 팀 별로 내실을 다졌으면 좋겠음 (팀 내 개발 역량 강화)
3.3,(주)알티캐스트,2022. 04,4점,"""존중받는 분위기에서 편하게 일할 수 있었다.""","같은 학교 출신이 많아서 분위기가 좋았음
평등한 분위기로 직급 체제를 엄격히 따지지 않음
서로 존중하고 사생활 침해하지 않는 분위기임","비즈니스 모델 자체의 한계가..
특정 회사에 의존해야 하므로 발전의 한계가 보임","비즈니스 모델 수입 다변화 필요
다양한 고객 확보 수입 다변화 방안을 마련할 필요가 있어 보임"
