총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.7,(주)엘오티베큠,2022. 09,1점,"""진공 펌프 조립 업무 하면서 당분간 주야 2교대로 아무 생각 없이 돈 벌기는 좋은 회사 하지만 주말 특근은 당연시 하는 중이고 사람들은 피곤에 쩌드는중""","기숙사, 사내 카페, 기계적인 회사, 명절 상여금 등 성과급도 꾸준히 주는중이며 삼성 핵심 고객사이며 태양광 매출도 장난 아님 회사에 유보율 매우 높아 당분간은 망할 일은 없을 듯","기계적인 조립 업무, 늘어나는 물량으로 2교대로 전환 후 전부 일에 지쳐 힘들어 하는게 보인다. 주말 특근이 당연시 하고 계속 늘어난다. 주말 특근 통근버스가 없다. 생산 업무 하다 허리나 손목등 골병 들기 딱 좋다. 퇴사율이 매우 높다.",복지나 보상은 개선해 나가고 있는데 중견기업에 맞는 처우를 더 많이 개선해주고 늘려줘야한다. 현장 생산 업무 하느라 전부 죽어나가고 시도 때도 없는 주말 특근. 무지성으로 직원 계속 뽑고 나가고 반복중 아직도 경영진들 정신 못차린듯. 회사는 중견기업에 들어가는데 실상은 중소기업급인걸 깨달았으면 좋겠다.
2.7,(주)엘오티베큠,2022. 09,4점,"""회사가 전체적으로 깨끗하나 업무는 빡세보인다""",회사의 복지가 전체적으로 마음에 들고 한줄평에도 말했던것처럼 회사가 크고 깨끗하다,최근에 업무량이 많아 진것같고 그업무량때매 업무의 강도도 엄청 빡세졌다,"복지도 만족하지만 업무량의 강도를 줄여줬으면 하는 바람이 정말크다.
우리도 사람인지라 쉬고싶은마음이 크다"
2.7,(주)엘오티베큠,2022. 08,3점,"""나름 국내 유일한 반도체설비 PUMP회사 이며 비전은 조금 있어보인다""",연차같은거 사용 눈치 안보고 쓸수있으며 다른 사람들이랑 겹치지만 않으면 되고 야근 수당이나 주말 수당같은 것들 잘챙겨주며 식비랑 복지비 같은것도 최대한 다 챙겨줘서 섭섭한 느낌 같은것들을 받지않게 해주고 일과중에 나름 개인시간이 많다,너무 영업직들이 고객사 비위 맞춰주기 바빠서 하지 않아도 될일들을 자꾸 만들어오고 불합리한 일들이 가끔 생기는데 그냥 을의 입장이라 이악물고 해야되는데 위에다가 건의하면 들어주질않는다 지들 진급하기 바빠서 실적만 쌓을라고 이상한일만 발주받아온다,제발 머리빈것처럼 이상한 행동들하는 사람들은 좀 내쳤으면 좋겠는데 왜 전부 품에 안고가는지 모르겠다 행실이 안좋고 평이 안좋으면 그만한 이유가있다 제발 보내주자 이제
2.7,(주)엘오티베큠,2022. 08,1점,"""이 글을 보고 있는 당신 지금 당장 이력서를 취소하세요""",회사 외관이 신축이라 깔끔하고 사내카페 있어서 나름 괜찮음,넘치는 야근 과 꼰대많고 의견 존중 없이 강요만 있고 임직원들을 위해 해주는건 없지만 희생만 바라는 회사,회사 운영함에 있어 직원들 좀 생각해줬으면 합니다 파트 취급하면서 갈아끼면 된다 생각하지말고
2.7,(주)엘오티베큠,2022. 08,3점,"""나름 다녀본 회사중에 좋다고 생각. 국내 유일이라는 타이틀이 강점으로 평가됨 . 나름 선진화된 경영방식""","중견기업에 걸맞는 복지, 시설, 급여라고 생각됨 부바부겠지만 급여에 걸맞는 워라벨이라고 생각 , 회사에서 벌어들이는 수익에 비례해서 임직원들에게 나누어주는거 같은 기분이 듬","고인물들이 많은거 같다 모래시계형 구조, 대리 직급 이상부터는 꽤 나 힘들것 같다
더 이상 회사 규모가 커지지 않으면 진급체계에 무리가 올듯",앞으로 이대로 쭉 회사에서 벌어들이는 것을 임직원에게 돌려주는 경영방식이 맘에 드는만큼 계속 이대로만 경영해주셨으면 좋겠습니다.
2.7,(주)엘오티베큠,2022. 08,4점,"""기업 분위기 좋고 야근 잘 없음. 사람들 친절하고 복지도 좋아서 매우 만족""",복지좋고 사내에 카페있고 건물도 신식. 회사도 성장세라 분위기도 좋고 전반적으로 급여나 복지나 괜찮음,다른 반도체 기업에 비해 살짝 적은 기본급이 아쉬움. 그래도 회사가 성장 중인걸 감안하면 이해가 감.,경영진 마인드도 좋고 회사도 좋고 발전 가능성도 좋아서 성장이 기대되는 회사라 생각함.
2.7,(주)엘오티베큠,2022. 08,4점,"""지어진지 얼마되지 않아 사옥이 정말 깨끗하고 기숙사가 아파트라 좋은데 4인실이라는점..""","사무직사람들이 대체로 친절하고 입사하자마자 연차 9개줌
들어온지 3개월안돼도 명절보너스 다나옴 성과금은 케바케인것 같은데 그래도 주는게 어디임...",생산의경우 중량물이 많다 허리조심 팔목조심 근골격계질환 수시로 걸릴듯... 솔직히 초봉은 나쁘지 않으나 근무강도에 비하면 좀 짠거 같음 주먹구구식도 있고 퇴사자 많은이유가 그런이유고 쉬는공간도 부족하고 통근도...,밥좀 맛있게 나왔으면 해요... 쉬는공간도 1층에 더 만들어주셨으면 하구요 복지까지는 바라지 않지만 연봉을 더 올려야 할듯 싶습니다 생산뿐아니라 사무직도 늦게까지 고생해서 기운없는거 보니 씁쓸 하더군여
2.7,(주)엘오티베큠,2022. 07,4점,"""아직은 국내 펌프 1등이라 경쟁력이 있을 수 있지만 미래에는 어떻게 될지 모르겠다..""","생각없이 다니기 좋습니다
업무가 빡셀 때는 빡세고 한가할 땐 아무것도 안해요",연봉도 낮고 반도체 특성 상 연장근로를 하게 됩니다..,"실적은 나날이 올라가는데 보너스는 아직 적은 것 같습니다
조금 더 신경써주시면 좋겠습니다"
2.7,(주)엘오티베큠,2022. 07,3점,"""복지같은 부분은 회사 다니면서 걱정할게 없었지만 사내 시설이 다소 부족한거같았어요""",자기계발 비용 지원해주는게 의외로 크게 다가와서 좋았습니다,사내 시설 구비가 좀 덜 되어있는거같다는 느낌이 들었습니다,사내 시설을 더 확장해주시면 좋겠고 그 외엔 딱히 없습니다
2.7,(주)엘오티베큠,2022. 07,1점,"""여기 오시려고 잡플 보시는 분들 진짜 여긴 아니에요
원수가 간다해도 뜯어말리고싶은 회사.""","장점 그나마 사옥이 있는 점 이거 하나?
월급이 안말리는 점?","능력없는 연구소 팀장들이 회사 다망치는 중..
실력도 없으면서 있는 척 기술도 없으면서 있는 척 ㅋㅋ
원수도 들어온다면 뜯어말리고 싶습니다.
그리고 에어컨 좀 제발 틀어라...ㅋㅋㅋ 전기세 그것좀 아낀다고 부자되니???ㅋㅋㅋ",기술력있는척좀 그만하세요...ㅋㅋㅋㅋ 연구소 팀장 싹다 물가리좀 하시고...
