총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.5,(주)연우,2022. 10,3점,"""좋지도 나쁘지도 그렇다고 두번하고 싶지는 않은 회사""",집에서 거리가 멀지않습니다. 그래서 출퇴근이 어렵지 않아 괜찮아요,단순업무다보니 시간이 너무 안가서 지루합니다 어느 생산직이든 똑같아요,아르바이트생이라 딱히 바라는 점은 없습니다
2.5,(주)연우,2022. 09,3점,"""개발자는 모든걸 다한다 사소한것 하나하나
부바부로 퇴근이 ....""","연차를 눈치안봐도 사용가능하다
월급이 밀리지 않는다
그 외는... 없음","고인물이 너무 많아 진급은 정말 힘들다
실적평가가 공평하지 않아 중간계층 소멸중","변화의 바람이 불때입니다
잘한 사람은 연봉을 더 주고 자리에 앉아 계신분들 퇴사 권유..."
2.5,(주)연우,2022. 09,2점,"""서구에 위치한 중견기업. 고인물들이 많고, 나이 드신 분들이 많다. 텃세가 진짜 어마무시하다.""","인천 사는 사람이면 그런대로 다닐만 합니다. 중석식 제공해주고 야간시 야식과 부식을 줍니다. 복지가 조금 있긴 한데 체감하긴 어렵습니다. 장점이라고 하기엔 애매하지만 최근 일이 줄어 정시퇴근하고 주말 쉬는게 가능해졌습니다.
연차 있고 여름 휴가 있습니다. 연차를 사용하는 여름휴가 말고 공장 자체가 쉬는 진짜 여름휴가가 있습니다.","식당밥이 랜덤이긴 한데 전체적으로 맛이 없습니다. 부바부가 굉장히 심합니다. 모든 생산공장이 그렇지만 연우의 경우 편한 부서는 자리 자체가 안 나옴,
앞서 언급하듯이 초반에 있는 냉대 탓에 힘들어 하는 사람들이 많습니다. 일이 힘들면 사람간의 정으로라도 다니겠는데 그것조차 없으니 버티지 못하고 나가버리는 사람들이 많음. 이래놓고 애들이 근성이 없다고 씹어대는데 옆에서 듣고 있지면 한숨만 나옴.
위나 중간이나 아래나 과거 꼰대감성을 가진 사람들이 많음. 사무실도 만만치 않다는데 현장은 몸도 힘든데 분위기까지 이러니 심신이 마모되는 기분임.","다른 엄한거 할 생각에 공장 내부 분위기나 내실부터 다졌으면 좋겠다. 젊은 피 수혈이 필요하다. 장기근속자가 많은 기업인 것은 아는데, 고인 탓에 내부 분위기가 안 좋은 쪽으로 고착화 된 상태. 새로운 직원들은 그 분위기 견디지 못하고 런하는 상황입니다."
2.5,(주)연우,2022. 09,2점,"""연봉직으로 입사 할 경우 8시간 근무라 나쁘지 않음
월급도 그럭저럭.""",업계 1위 상여금도 있고 그냥저냥 집에서 가까우면 다니기 좊은 회사,회사 인수 당하고 일이 많이 줄어 듬 그래서 잔업이 많이 없어짐,꼰대 같은 마인드는 없어져야함 신입이 왜 빨리 그만두는지 알았으면 좋겠습니다.
2.5,(주)연우,2022. 07,1점,"""부바부이지만 칼퇴 가능하고 꼰대 많음""","연장근무가 없다면 칼퇴는 가능합니다 통근버스 있습니다 용기업계 1위 제조사 타이틀, 구내식당","출근시간 한참 전에 출근해야함, 쉬는시간 점심시간 제 시간보다 못 쉼, 연봉이 회사 규모에 비해 적다. 연장근무",합리적인 복지와 보상체계를 개선해야하고 직원들 처우에 더 신경써주면 퇴사자를 막을 수 있을 것
2.5,(주)연우,2022. 07,2점,"""근무 형태가 어렵지않고 여러가지 생산직 일을 돌아가면서 할수 있어서 지루하진 않다""",쉬는시간이 정확하게 지켜져서 눈치볼 일 없고 화장실 출입도 자유로운편,생산직이라서 위험한 일도 많음..다들 고수들이신데 초짜라서 실수하면 약간 눈치줌 ㅜㅜ,첨엔 품질관리직 이라구 해서 들어왔는데 완전 공순이였음..
2.5,(주)연우,2022. 07,1점,"""젊은사람들끼리는 의기투합하고 좋으나 대단하신 윗분들이 다 망치는 회사. 특히 영업에 새로오신 윗분은 정말 어마어마""",그나마 젊은 층에는 괜찮은 사람들이 많음. 다들 의기투합.,전부 다 단점입니다. 그냥 윗사람들 정말 하나같이 다 별로입니다,제발 직접 뽑았다고 그냥 봐주지 말고 똑바로 좀 보세요. 벌써 몇명이 나갔습까. 진짜 팀원 전체 나가봐야 정신차리지;
2.5,(주)연우,2022. 07,3점,"""보람차게 일할수 있는곳. 사장님이 굉장히 좋으시고 얼마나 기업을 애정하는지 느껴져서 일꾼으로써도 자부심이 생기는 곳.""",굉장히 안정적이고 밥이 맛있는 곳. 연차쓸때 눈치가 안보여서 좋다.,쉬는 시간과 점심시간이 너무 짧다는게 단점. 10분의 쉬는시간이라지만 실제로 쉴수 잇는 시간은 3분도 안됨.,식당 메뉴중에 부침개도 추가해주세요ㅠㅠ 비오는날 부침개가 나오면 너무 좋을듯
2.5,(주)연우,2022. 06,3점,"""여러가지 배우기엔 좋은 회사. 다만 연봉이 아쉬움.""",프로세스 내에서 여러가지 배우기에 좋음. 중소기업에서 이정도로 탄탄한 회사 찾기 어려움,고객의 니즈에 발빨리 따라가다보니 힘듬. 연봉이 뒷받침이 안되는 부분은 아쉬움. 업무강도 힘듬,복지나 직원들의 역량 개발 등 신경을 써주면 더 좋은 회사가 될 것으로 생각됩니다.
2.5,(주)연우,2022. 05,2점,"""돔황챠~콜마인수? 좋아질거란 꿈은 깨시길, 관리자급 지극히 본인 위주, 회사 망하길 바라는듯""",직원들은 몇몇 폐쇄적이고 방어적인 사람들 빼고 괜찮음 밥 나오는데 사람들은 맛없다고는 함 그래도 밥나오니까 식대 세이브?? 본인이 잘하면 일을 많이 주고 기회도 좀 있는편 장점이자 단점인데 영업 품질 납기 생산 구분없아 터지면 영업이 나서야 하는데 그래서 배우고 핸들링 능력은 올릴수 있음,"- 관리자급 아무것도 모름 진짜로 방향제시 전혀 없음 사원-대리급 개고생 보고하면 검토도 안하고 나중에 문제 생기면 담당자 책임
- 하려고 하는건 많은데 내실이나 다지길
- 신입들 많아져서 검토도 뭐도 없고 적자품목 까보면 엄청 나오고있음 ㅎㅎ나중에 볼만할듯
- 이제 그냥 자회사임. 콜마가 좋은 임원에 기업문화 좋은 기업이라면 잡플래닛 평점 2.6일까? 연우랑 0.1차이나네 ㅋㅋㅋㅋㅋㅋ 콜마가 와서 뭔가 바꿔주고 좋아질거란 희망회로 꿈깨시길.",기술 영업 전략 영업 바라지만 말고 능력있는 사람들 골라서 처우해줘요 쓸데없이 해외파라고 능력도 없는 애들 직급 달아주지 말고
2.5,(주)연우,2022. 05,3점,"""규모가 크지만 코로나로인한 타격이 너무심하며 한번 무너지니 운영실력이없는게들통남""",연차가 크게제한적이지는 않으며 자유로운분위기에서 일할수있음,다른 제조업처럼 초반 텃세가있는편 적응하고살아남자 화이팅,서로 각자업무에 불똥떨어진듯일하기보단 윈윈해서 성장하는회사가되었으면
2.5,(주)연우,2022. 04,3점,"""중견기업 중에 대기업 같은 중견이 있고
중소기업 같은 중견기업이 있는데

아직은 중소기업 같은 중견으로 보였음.""","해외영업 부서에서는 다양한 경험 가능 (영업, 전시회 참가 등)",계약한 근무시간에 야근 +1시간이 기본 포함되어 있음.,"야근 수당 등 기본적인건 지켜줬으면 좋겠음
사옥 주변에 도살장이 있어서 냄새남"
2.5,(주)연우,2022. 04,3점,"""글로벌 제품경쟁력이 있음. 국내외 거래처가 잘 확보돼있음.""",혁신적인 제품 개발. 다양한 제품 라인업을 갖추고있습니다.,"장기근속자가 많지 않고 이직율이 높다.
판매가 안되거나 부진한 제품에 대한 정리가 안돼 기회비용이 크다.","직원들 장기 근속이 가능한 회사의 분위기 전환, 복지개선"
