총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.7,원일특강(주),2022. 07,5점,"""직원분들 모두 친절하시고 회사 규모가 커서 좋습니다""",일단 밥이 너무 맛있고 직원분들도 유쾌하시고 회사 내 복지가 좋습니다,회사내에 기숙사가 있긴하나 출퇴근 할 땐 교통이 너무 불편합니다 자차가 있어야 할듯 합니다..,저는 제 성격상 성격이 너무 낙관적이라 바라는 건 딱히 없습니다
2.7,원일특강(주),2022. 04,3점,"""스팋 서비스 센터. 한국에서는 수위를 다툴 만큼 크다.""",인원대비 매출이 크고 거래선이 안정적이었다. 세로운 시도도 있었다.,"정체된 문화, 형식적인 개선, 약자에 대한 배려 부족.","솔선수범, 말보다 행동, 스스로 책임지는 자세."
2.7,원일특강(주),2021. 01,3점,"""중견기업으로 회사가 작지않아서 괜찮은것 같습니다 또 하는일에 업무파트도 다양합니다""","아침 점심 저녁제공
자녀들 학비지원
경조사 지원등등 복지혜택
출퇴근 기름값 지원","연봉이 노동에비해 작은편이고
상사들이 옛날마인드 이신분들이많고
중견기업인데 동네 구멍가게처럼 운영하는 방식이있음
그런부분들을 좀 스스로 깨우쳐 파악하고
더욱 더 성장하는 기업이 됬으면 좋겠습니다","중견기업인만큼
대기업 마인드를 따라가면 좋겠음"
2.7,원일특강(주),2016. 11,1점,"""매출액과 설립년차 대비해 어이없는 시스템과 강압적인 근무환경""",특수강 유통으로 지금까지 회사를 영위 해왔으므로 단기적으로는 분명히 배울것은 있는 회사임,"사장과 임원라인이 회사내에 다수포진, 생산공정상 안전이 굉장히 중요함을 인식 하면서도 안전에 대한 의식이 희박,",직원을 군대처럼 쪼아내서 매출과 회사의 안녕을 유지하는것 이아닌 임원의 의식변화가 분명히 필요함. 자기들은 변화될 의지가 없으면서 직원들이 변화되기를 원함
2.7,원일특강(주),2016. 05,2점,"""국내의 철강제조 기업(포스코, 세아, 두산중공업, 현대제철) 및 일본 철강 제조기업의 판매대리점, 특수강 유통에서는 한국 최대 규모, 시화공단에 위치한 본사와 부산에 위치한 지사, 두 군데 사업장이 있다. 2014년 기준 직원 120명에 매출 약 2350억으로 직원수에 비해 매출이 상당히 높은 편에 속한다.""","30년의 역사를 가진 회사답게 체계적으로 관리되고 있으며, ERP 시스템에 자본과 인력을 투자한 결과 전산으로 회사의 생산 및 출하활동 대부분을 관리할 수 있다. 철강업계 최고라는 자부심을 가진 직원들도 있(었)다. 외부 브랜드 이미지나 주식시장에서의 평가도 좋은 편이다.","미래가 없다 - 한국의 철강유통시장 자체가 최악의 상황이다.
입으로만 변화한다 - 카리스마 타입 전문경영인인 사장은 무의미한 줄 알면서도 '변화하지 않으면 죽는다'를 부르짖으며 직원들을 다그치고 있다. 권위적으로 억누르며 변화하자고 말할 뿐, 정말로 변화하기 위해 필요한 리스크는 피하려고 한다. 직원들은 자발성이나 자긍심을 잃은지 오래이며, 쇼맨십과 군기잡는 문화로 병들어가고 있다.

승진은 매우 어렵다 - 임원은 주기적으로 포스코, 세아, 두산 등에서 낙하산을 타고 내려오는 경향이 있으므로 차근차근 승진해서 임원이 될 거라는 기대는 안 하는 게 좋다.

야근은? - 최고경영자께서 주기적으로 직원들의 출퇴근 시간 등을 체크하여 불순분자를 걸러내고 계심. 일이 없더라도 야근하는 모습을 보이지 않으면 신상에 좋지 않음.",최고경영자께서 항상 강하고 카리스마적인 모습에 집착하지 않고 솔직하게 대화를 나누고 다른 사람들의 의견을 받아들였다면 상황은 달라질 수도 있었음. 상황을 해결할 열쇠는 모두 손 안에 있었는데 망설이다가 타이밍을 놓치시는 게 안타까움. 부하 직원들에게 못되게 구는 군기반장을 좋아하는 건 경영자 자질 부족이심.
2.7,원일특강(주),2016. 01,2점,"""(주)신라 자회사. 철강에 대해 전반적인 일을.배울 수 있음.""",국내 주요 자동차 회사의.거래처 특수강은 정말.좋은.대우 및 일을.배울 수 있다고 생각 함.,상사들의 보수적인 태도 수직 문화가.자리잡고 있음. 글로벌 시대에 맞춰 따라가기에.역부족이라 생각함. 몇몇직원들의 말안되는 태도....,각부서 별로 너무 큰 차이가 있음. 정말 좋은 부서가 있는 반면에 정말.참기 힘든 부서도 존재함. 옛 경영 방법 및 마인드도 배울점이 있으나 너무 옛날 방식으로 각 직원을 대하면 글로벌 기업으로 성장하기 힘들듯
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
날 괴롭힌 삭제된 댓글,원일특강(주),경기,,,,,
