총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.8,(주)와이지-원,2022. 09,1점,"""뭔가 이상한곳.. 규모는 작진 않은데 속은 소기업인곳...직원들한테 돈쓰는걸 아까워 하는곳""",건물이 신사옥인거 외에는 없어보입니다... 정말 없어요 아무리 생각해봐도..,"펜, 테이프 하나 구매하는데도 임원급 결재 승인 받는거
뭐만 하면 기안 결재 올린다고 생각하면 됨. (화장실 가는거 빼고)
취합 보고 취합 보고 취합 보고 하다가 시간 다감. 회의도 많아서 회의 하다가 시간 다 가는경우도 허다함..
이 시대에 8 - 18시 근무는 뭔지.. 문제는 임원진이 나름 노력을 하려고 하지만 안바뀌고 있다는점.
매달 1회 임원급에 보고하고 샤우팅 먹는거. 뭐 어쩌라는건지..",바라는건 너무 많아서 생략 하겠습니다. 고쳐야 할부분이 한두군데가 아니네요.
1.8,(주)와이지-원,2022. 09,1점,"""직원을 소모품으로 아는 회사.
누군가에게 추천하거나, 리뷰쓸 가치도 없다""",월급은 제날짜에 잘 나옴. 그외에 무언가를 바란다면 아마 매우 힘든어질것,"너무 많아서 셀수 없음. 워라벨 보장 안됨.
연차사용 눈치봄. 급여낮음등등",혼자 잘먹고 잘 살궁리 말고 직원들 복지도 좀 생각하길
1.8,(주)와이지-원,2022. 09,1점,"""기본적인 평가도 못 받을 만큼 꼰대가 넘쳐나는 회사. 면접을 봤던 것 자체가 후회될 정도임.""",겉으로 보이는 것처럼 사옥의 시설은 나쁘지 않은 편. 연봉도 절대 낮은 편에 속하지 않음.,꼰대 문화가 기업 깊은 곳까지 박혀있어 어느정도 자율적인 것을 생각했다면 X......,상급자 마인드 개선만 되더라도 이 정도까지 인식이 나쁘진 않았을 것 같은데...
1.8,(주)와이지-원,2022. 09,1점,"""최악의 기업 사람을 사람 취급을 안하고 도구 취급을 한다""",점심을 준다 사내 카페에서 싸게 커피를 마실수 있다 그외 없음,사람취급을 안해주고 잘잘못을 따짐 정치가 있음 월급 외 딴 복지 없음 쓸때 없는 미팅 많음,직원들에게만 모든 잘못을 떠넘기지 말고 자기자신도 돌아보시길
1.8,(주)와이지-원,2022. 09,1점,"""줄어들지 않는 업무와 반복적인 매너리즘만 남는 전형적인 제조업의 현실""",특별한 장점보다 급여가 밀리지 않으며 1년 365일 일을 계속할수있음,단순보고 및 주말근무 그리고 연차 사용 제한적이며 보수적인 분위기,신입사원 및 저연차 직원들에 대한 복지가 필요합니다. 입퇴사가 반복적인 이유를 파악하여 개선이 필요
1.8,(주)와이지-원,2022. 09,1점,"""1년 내내 위기라고 직원들에게 가스라이팅 일삼는 회사
복지도 없고 미래도 없음""",본사 한정 밥이 맛있다. 건물이 깨끗하다. 송도 트리플 스트릿과 붙어있다,"고일대로 고인 중간관리자. 계속 나아는 실무급 인원들.
소리만 지르는 회장과 이러한 사태를 파악 못하는 임원들",지금 회사 상황이 어떤지 제대로 직시하기를. 아부떠는 탐관오리들에 둘러 쌓여서 앞도 제대로 못보는 모습이 안타까움.
1.8,(주)와이지-원,2022. 09,1점,"""다시생각해보길
육체적 정신적으로 고통스러움
폭언은 일상""","한시간 연장근무로 인해 급여가 중소기업에서 좀 잘쳐주는 정도 나옴
월급 안밀림
신사옥 깨끗함
재입사 쉬움","복지는 아예 없음. 명절에 참치세트가 크나큰 복지라고 생각함
명절에 출장보내고 특근수당없음
박리다매 직원관리
자격없는 관리자","이대로 유지해주세요
사원들이 나가면 책임은 팀장이 갖게 해주세요"
1.8,(주)와이지-원,2022. 09,2점,"""지원하면 일할수 있는곳 경력쌓기 좋은곳 네이버로 검색하면 대기업이지만 실상은 중견인곳""","출퇴근 버스 아주 굿, 쉬는시간에 간식거리 줬었는데 굉장히 좋았습니다. 무자격증이나 학력없을 때 경력 쌓기 좋아요
아무 생각없이 일할수있다 직장상사가 좋습니다(부바부)","연차 윗사람 눈치 조금 봐야함, 정시 퇴근 일찍 출근, 월급이 월급제가 아닌 시간제임
많이 일하면 엄청 많이 받는데(개인적인 생활이 없이 일한다면..)조금 하면 진짜 진짜 조금 나옴(최저보다 조금 높긴함)",직원들에게 복지 수준을 늘려주고 많이 버는 만큼 상여금을 줬으면 좋겠습니다
1.8,(주)와이지-원,2022. 09,3점,"""규모는 대기업이지만 경영진은 빼박 중소기업 마인드""","아침 점심 저녁이 다 나와서 좋음.
지역공장 마다 다르지만 근무했던 곳은 아침에 누룽지탕도 줬음
수요일은 가정의날이라서 일찍퇴근 주말 근무 없음","연봉 협상의 개념없음. 표면적으로는 경영진이 직원들을 많이 챙겨주려고 하는 모습을 보이지만 실상은 그렇지가 않음.
기업자체는 대기업 수준이지만 경영진은 중소기업수준임",회사 임원급은 회장 입맛에 맞는 사람을 쓸수는 있지만 노조위원장을 그렇게 쓴다는 것에 이해 불가
1.8,(주)와이지-원,2022. 08,1점,"""기업은 튼튼하고 잘나가지만 정작 일하는 사람들은 매우 힘들다.""","회사가 튼튼하고 업계에서 나름 유명한지라 부모님이나 장인에게 당당히 회사 이름을 댈 수 있다. 식당 밥이 맛있다. 취업하기가 무척 쉽다. 재취업도 가능하다.
경력 애매하고 딱히 쌓은 것 없이 살아온 사람들의 최후의 보루. 튼튼해서 망할 일 없고, 인력이 항상 부족해 특히 모난 행동만 하지 않으면 잘리지 않는다.","대외적인 이미지는 좋지만 직원들의 삶은 고달프다. 회사부터가 외부에 투자는 많이 하지만 직원에게 투자하지 않는다. 급여는 적고 작업은 고달프다. 이걸 버티고 다니는 직원들도 있지만, 버티지 못하고 나가는 직원이 더 많기에 남은 사람들은 과도한 엄무에 시달린다.
기본 주6일에 명절과 공휴일에도 일을 해야만 한다. 이렇게 일하면 돈이라도 많이 벌어야 하는데 워낙에 짜게 주니 돈도 많이 못 번다. 한해 300명이 입사하면 300명이 나간다.
농담이 아니라 팩트다. 재밌는건 이렇게 해도 어떻게든 이득을 보니 경영방침이 바뀌질 않고 유지되니 앞으로도 바뀌지 않을 가능성이 크다. 회사 미래는 몰라도 직원들 미래는 어둡다.","사실 이게 의미가 있나 싶다. 어차피 바뀌지 않을 사람들이고, 회사는 잘 나가니 쭉 비슷할 거다."
