총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.5,에이비엘생명보험(주),2022. 09,5점,"""직원들의 의견을 존중해주며 의견을 자유롭게 제시할 수 있는 문화""","연차를 윗사람 눈치보지 않고 쓸 수 있음, 의견을 자유롭게 이야기할 수 있음, 나름의 워라벨을 지킬 수 있음","연봉 인상률이 적고 PS가 적음, 기업 안정성이 부족함",리더의 마인드가 좀 더 개방적이면 좋을 것 같다.
3.5,에이비엘생명보험(주),2022. 08,2점,"""외국자본 회사라 불안한 경영방침으로 고용안정을 해치는 사내 분위기""",오래된 회사라 회사 체계가 비교적 안정적이고 업무 분위기가 수평적인 편임,자본 불안정으로 고용에 대한 불안감이 항상 있고 동종업계대비 판매상품 경쟁력이 떨어져 직원들 사기가 매우 낮음,신규사업추진에 적극적인 의지를 표명하여 임직원의 고용에 대한 안정을 지원하기 바람
3.5,에이비엘생명보험(주),2022. 08,3점,"""다른 보험사랑 비슷한 분위기로 실적에 대한 걱정은 크게없었음""","편안한 분위기의 근무환경이었음, 나눠주는 판촉물 또한 나쁘지않았음",실적에대한 압박감이 알게모르게 조금있었음 다른 사람과 비교,복지나 휴가에 대한 자유성부분에서 개편되었으면 하는 부분이있음
3.5,에이비엘생명보험(주),2022. 07,3점,"""순간에 오는 기회들을 놓쳤을때 어떻게 되는지 보여주는 회사""",모든 구성원 대부분이 날 서있지는 않다. 물어보면 대답은 해준다.,결국 로열티는 연봉에서 나온다고 생각하는데 동업사대비 연봉이 너무 적다.,잘할수 있는것이 무엇인지 직원들이 보람을 느낄수 있는 방법은 무엇인지 알았으면 합니다.
3.5,에이비엘생명보험(주),2022. 06,3점,"""부바부 사바사
편한사람은 한없이 편하게 회사다닐수있고
일이 몰리는 사람은 극한으로 일하는 회사""",연차에 대해 크게 눈치주지않음.피씨 오프제로 인해 야근이 많지는 않은 편.,"일이 너무 많음.
업계대비 연봉이 아주아주 작음.
회사의 성장가능성이...?","업계대비 연봉이나 복지를 맞춰줬으면...
그래야 일 잘하는 분들이 붙어있지요..."
3.5,에이비엘생명보험(주),2022. 05,5점,"""업무 역량을 충분히 쌓을 수 있고 워라밸이 좋아서 회사 다니면서 즐거운 회사 생활을 할 수 있었다""","일단 워라밸 보장 자기 개발 시간이 많음 워라밸이 잘 되어 있다보니 많은 사람들이 여유로움, 대기업으로 복지 혜택이 많음",금융 업계다 보니 보안이 확실해서 인터넷 사용이 용이하지 않음 이거 말고는 딱히 없는거 같음,더욱 다양한 복지 혜택 개발과 좀 더 개방적인 회사가 되었음 합니다
3.5,에이비엘생명보험(주),2022. 04,2점,"""고연차에게는 좋고
저연차에게는 힘든곳""","자유로운분위기인 편
사람들은 좋음
당시 독일계 기업이라 다양한 경험 해볼수있었음","윗연차분들 적체, 일 안하시는편
저연차가 갈려나감
저연차급여 낮은편",업무효율화와 노조 개혁이 필요한듯합니다.
3.5,에이비엘생명보험(주),2022. 04,4점,"""안정적인 회사 워라벨가능
본인업무 완료후 칼퇴근가능""","연차 눈치안보고 사용가능
워라벨가능
휴가 자유롭게쓰기가능","연봉상승,승진기회가 낮음
상대적으로 낮은연봉으로 젊은직원의 퇴사자 많음","합리적인 보상체계마련필요
회사의 비젼제시 필요"
3.5,에이비엘생명보험(주),2022. 04,3점,"""영업조직으로써 대우는 좋지만 근무거주지는 불안
일한만큼 대우""","워라벨이 좋음. 자유로운 연차사용 수평 문화조직
노조가 있어 고용안정","노조가있어 조직이 노령화. 다부분 차장 부장임
중간 대리 사원 없음","영업에 더 집중하길,.. 보험회사인데 영업에는 관심이적다"
3.5,에이비엘생명보험(주),2022. 03,4점,"""워라밸 및 기업문화 우수함
국내사와 외국계 기업의 제도 및 프로세스가 적절히 혼합된 회사""","워라밸 및 기업문화 우수함

국내사와 외국계 기업의 제도 및 프로세스가 적절히 혼합된 회사","역 피라미드의 인력구조. 중국 주주의 불안한 경영환경.
고직급에 한해 업계대비 낮은 보상수준",선택과 집중을 통한 위기 극복 능력. 인재 이탈을 방지하기 위한 노력
3.5,에이비엘생명보험(주),2022. 02,3점,"""위촉직이라서 무얼해도 상관 안한다. 자유도가 높은 만큼 기본급도 없음.""",계약하는대로 돈을 몰아서 준다. 윈래 계약 달성시 1년으로 나눠서 주는데 몰아주는 시스템이라 살만하다. (연봉을 몇개월로 나눠 줌),"계약자기 계약을 깨면 회사는 손해 1도 없이 설계사가 다 물어줘야한다. 지역 단위 보조금 명목 나오는데 지점장이 이뻐한사람 서폿 해주는데로 들어간다 경품 같은 것들도 ( 이 항목도 따로 있음, 현물이나 금액으로)지점장 총애 하거나 일부 빼돌림.",노조가 없는 이유를 알겠다 거창하게 노동 운동이 아니라 자기 계약 지인계약은 빚더미에 앉는 꼴. 기본급이라도 나오면 좋겠다
3.5,에이비엘생명보험(주),2022. 02,4점,"""직원들이 모두 좋아 일하면서 행복함을 느낄 수 있는 회사""",기업이 직원들에게 신경을 많이 써주려고 하는게 느껴지는 곳,너무 옛날 스타일에 갇힌 업무스타일이 남아있어 일하는데 불편함과 의문점이 많았음,고리타분한 업무처리방식에서 벗어나 최신식을 많이 넣었으먼 좋겠음
3.5,에이비엘생명보험(주),2022. 02,3점,"""외국계회사로 넘어간 뒤로 장단점이 있음. 향후 먹튀논란이 있는 기업임.""","기업의 안정성을 추구하며, 과거와 같은 영업마인드에서 대리점 위주의 영업방식으로 바뀜.",기존 연금가입자에 대한 연금지급이 기업의 재정에 부담이 되고 있음. 기존 생보사의 공통된 문제임.,성장성 있는 비젼을 제시해 주었으면 함. 먹튀논란에 휩싸이지 않게 적극적인 영업전략으로 미래가 기대되는 외국계회사가 되었으면 함.
