총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.1,한네트(주),2022. 07,2점,"""무난하게 다닐 수있으나 연봉은 글쎄?""","저녁식사제공
워라밸 웬만하면 가능
월급이 밀린적없음","연봉 조정폭이 매우 낮음 진급해도 티가안남
연차사용 눈치 보임
연차미사용시 수당없음",연봉 조정폭을 좀더 높게 조정해주었으면함
2.1,한네트(주),2022. 05,3점,"""공무원같은 회사입니다 안정적이지만 발전없는 그런 회사입니다.""",전체적으로 편안한 분위기이며 연차사용 눈치 안봐도 돼요,엘레베이터가 없어 계속 걸어다녀야 합니다. 퇴사때까지 적응 못함,복지를 없애려 하지 마시고 계속 늘려나가려고 노력해주세요
2.1,한네트(주),2022. 04,2점,"""아무 욕심 없는 사람이라면 추천하나
발전하고 싶의 사람에겐 비추""","첫 직장으로서 기초를 다지기에는 나쁘지 않음
강요하는 회식 문화가 없음","비효율적인 작업이 많음
고인물이 굉장히 절대다수를 차지함","신규사업 발굴 노력을 가해야 할것이며
거의 없지만 그나마 있었던 복지를 줄이는 것은 너무하다 생각됨"
2.1,한네트(주),2022. 04,1점,"""개발자 대우없는 아주 안좋은 회사, 상장만 되어있지 실속은 아무것도 없음""","장점이 없는게 장점인거 같기도... 유지보수 쪽이라 사람들이 서로에게 관심이 없어 조용히 회사다니고 싶은 사람들에게 추천한다. 연차는 법적기준에 맞춰 제공함, 월급은 밀리지 않음","연봉이 다른 개발회사에 비해 무척낮음, 개발자로서 성장 도태됨, 야근강도 심함, 중간 관리자가 없어 조직제도가 개판, 하향산업으로 미래안보임",신규 사업에 대해서 고민해보시길 바람
2.1,한네트(주),2022. 01,2점,"""Cd van에선 유명한업계지만 현실적으로 사양산업.. 급여짬 사람들은 좋은정도""",수평적인 분위기로 사람들은 좋았고 개인 도서구입비 및 차량제공정도 나쁘지않았음,Cd van사 자체가 사양산업이라 현실적으로 미래에 대한 고민을 안할수 없음 현재는 어떨지 모르겠음..,"신규사업에 적극적으로 나서야 할때인것 같습니다.
직원들 불안함은 점점 더 커져가고 있을겁니다.."
2.1,한네트(주),2021. 10,3점,"""회사가 다 그렇듯이 자기하기 나름이지만 기존 팀장을 뛰어나도 넘을수 없다""","자기 압무에 열중할수 있다. 단, 본인이 얼마나 열심히 하느냐에 따라 끌려다닐지...주도할지는 본인 몫이다",열심히 해도 성과는 다 같이 나눠야 하고 독식은 극히 드물다. 성과에 대한 보상이 좀 작다.,모든것을 직원들과 공유하여 좀더 성장할수 있는 환경과 여건이 많들어 졌으면...
2.1,한네트(주),2021. 10,3점,"""오래된 회사로 급여가 밀릴 일은 없으나 신사업을 꼭 성공시켜야할 것 같음""",공덕이라는 지리적 위치 급여 안정성 같이 일하는 동료가 선함 정리해고의 위험성이 적음,오래된 기업인 만큼 회사 시설이 노후되었고 보수적인 부분이 꽤 있음 지금 당장은 급여에 대한 걱정이 없지만 앞으로 나아가서의 사업이 조금 걱정 됨,요즘 시대에 맞게 조금 보수적인 부분만 관심을 가져주시고 새로운 사업만 잘 정착해서 나아가면 좋을 것 같고 여유가 된다면 사옥도 좀..
2.1,한네트(주),2021. 08,1점,"""같이 일하는 사람들이 좋아서 일하는데 사람 스트레스는 덜함""","점심시간이 1시간 30분이라 여유있는 점심시간을 보낼 수 있음
그러나 그만큼 퇴근시간이 30분 늦음
건물에 엘레베이터가 없어서 오르락 내리락 운동을 할 수 있음","기본적으로 늦은 퇴근시간이지만 눈치보다가 퇴근시간이 더 늦어짐
연차 쓰기 눈치 보임",바라는 것 없음 바란다고 바뀔 거 같지 않음
2.1,한네트(주),2021. 08,1점,"""만족한다면 그럭저럭 안정적으로 다닐수있음""",구내식당 있음 부서에 따라 분위기가 다르다 상여가 있음,"출근시간 여덟시반에 퇴근이 삼십분 늦다
다소 수직적이고 딱딱한 분위기
업무방식이 올드함","머무르지 말고 발전해야 한다
개선의 여지가 없다면 결국 고인물들만 남는다"
2.1,한네트(주),2021. 07,1점,"""이사가 사람이 새벽 2시까지 근무
모회사 사장이 쓴 책 구매하고 경비 청구하라는 이사""","위치가 좋다
뛰어난 사람 없어서 좋음
개발부서가면 30년된 할배들이 개발에 있고
영업부서로 가면 성희롱 하는 차장이 있음
경영지원으로 가면 수작업 증빙에 미친다","사옥에 엘베 없고,
회계사랑이라는 erp사용
자금부서에서는 도난 사건이 항상 있고
경영지원은 3명이서 일을 다한다","한네트 사업 접고 로지스틱인가 거기나 집중 하시길
아님 걍 한국빌딩들이나 관리하시길"
