총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.0,(주)제닉,2022. 09,3점,"""모두가 열심히 하면 다시 예전의 명성을 찾을 수 있지 않을까요?""","밥이 맛있다.
칼퇴 가능하며 워라벨 최고!
초봉이 높다","열심히 하는 사람들은 열심히 하는데 노는 사람들 또한 많음
명절 상여금이 없다..... 회사제품을 떨이 처리하듯이 준다..","모두가 다 열심히 하게끔 으쌰으쌰 해주셨으면 좋겠습니다.
회사 제품도 좋고 명성도 좋은데 왜 성장하는데 노력을 안하시는지 모르겠어요
하고 있을 수도 있지만..."
2.0,(주)제닉,2022. 09,2점,"""편하게 다닐 수 있는 회사! 비전 없음
월루 임원들 많이 모이는 회사""","연차 자유럽게 쓸 수 있음
칼퇴 보장
밥 잘 나옴
같이 일파는 동료들 다 친절하고 좋음","무능한 팀장으로 인해 실무자 엄청 힘들게 함
방향성 없음
체계 안 잡힘
하루종일 쓸데 없이 회의…","실무자 말을 잘 들었으면 좋겠음…
실제 근무 상황 일도 파악 안 되고 윗사람들 다 문제인거 알아줬으면.."
2.0,(주)제닉,2022. 08,3점,"""그냥 저냥 다닐만합니다
엄청 추천하지는 않음..""","주5일에 주말에 쉰다는게 유일해보이는 장점..?
밥도 먹을만합니다","적은 임금, 성과급 없고 호봉제의 경우잔업없을경우 급여가 처참함","급여 올려줬으면 좋겠네요...
명절에 떡값이라도"
2.0,(주)제닉,2022. 08,2점,"""마스크 팩 제품에 대한 전문적인 지식 및 경험을 원한다면 추천""","연차 사용에 눈치보지 않고 자유로움, 식당이 있어 점심이 제공 됨, 대부분 괜찮은 사람들.","매출이 줄어서인지 공장 가동률이 예전같지 않아서 강제 휴무 등이 늘어나고 있었음 , 지금은 바뀌었을지 모르나, 화장품 OEM/ODM이 이 회사의 근간인데, 이에 대한 경력이 전혀 없는 경영진이 운영하고 있었음.",회사가 점 점 쪼그라들고 있는 듯한데... 전문가 투입으로 옛 제닉의 명성을 찾아주세요.
2.0,(주)제닉,2022. 07,3점,"""일하는 사람만 일하고 일안하는 사람은 편한곳""","연차를 눈치 안보고 쓸수 있음, 식비가 들지 않음 칼퇴가능함","일안하는 사람들이 너무 많아서 일하는 사람만 일하게 됨
무능력한 사람 천지라 제대로 일처리가 안됨",직원들의 불만을 들어주고 월급만 축내는 사람들은 내보냈으면 좋겠음
2.0,(주)제닉,2022. 07,3점,"""중소기업치고 꽤 좋은 복지들이 있음.""",솔브레인 계열사로 보는 혜택들이 꽤 있습니다. 계열사 혜택으로 이 회사는 중소기업이지만 좋은 복지들이 있습니다. 업무 by 업무지만 대부분 워라밸 지킬 수 있어서 좋습니다.,경영진 교체가 잦아서 조직개편이 자주 되는 점이 단점인 것 같네요. 연봉이 좀 적은 점은 중소기업이라 어쩔 수 없는 단점이고 전공과 상관없는 업무 배정 가능성이 있다는 점.,자사 브랜드의 적극적인 마켓팅이 필요할 것으로 생각함. 회사의 성장 가능성을 더 높였으면 좋겠음...
2.0,(주)제닉,2022. 06,1점,"""임원이 임원역할을 못하고 그냥 알지도 못하면서 아는것 같이 얘길하고 지시하여 직원들의 사기를 저하시키는 회사""",밥이 맛있고 회사 건물이 좋고 주변 환경이 좋다.더 적으려니 없다.,단순 보고를 위한 자료작성이 많고 임원이 아는게 없고 직원들 단합이 전혀없어서 각개전투.,"직원들을 믿고 일을 진행하면 잘 될거 같은 회사
임원들은 그냥 있으면 좋을거 같다"
2.0,(주)제닉,2022. 04,2점,"""배울 점이 있긴 하나..앞은 여전히 불투명해 보인다. 현상유지가 과연 언제까지 가능할것인지""","모기업이 손절하지 않는 한 크게 흔들일 일은 없을듯
밥이 맛잇다
원히트원더긴 해도 그 나름의 노하우가 남아잇어 배울 점이 곳곳에 존재","원히트원더 조차도 10년이 넘엇는데 여전히 그때에서 크게 달라진 점이 없다
인재는 물론 일반적인 직장인에게도 장기근속을 할만한 이유가 전혀 보이지 않는다.",기존 사업의 현상유지가 목적이라치더라도 이제는 수단과 방법에 노선변경이 필요해보입니다
2.0,(주)제닉,2022. 03,2점,"""대표가 자주 바뀌고 , 사업성이 점점 나락으로 가는 회사""","모기업 솔브레인으덕분에 근무환경이 좋음
점심 제공_ 식당이 있어 편함
8시~5시 칼퇴로 저녁시간 보장","대표가 자주 바뀜. 그때마다 분위기가 어수선하다.
유관부서끼리 사이가 좋지 않아 서로 못잡아먹어 안달.
점점 줄어드는 매출. 개선의지없음.","매출 향상을 위한 전략이 필요함
아부 잘하는 직원말고 일 잘하는 직원을 알아봐주시길."
2.0,(주)제닉,2022. 03,3점,"""편하게 다닐만한 회사로 기억되지만 발전이 없고 점점 퇴보하는 느낌""","사식이 맛있음
자유로운 연차 사용
8 to 5 정시 퇴근 워라벨","그냥 저냥 기계처럼 일했었다
아무 생각 없이 앉아서 일하고 싶은 사람은 추천",글쎄요.. 사업계획을 좀 더 고심하셔야.. 내부 구조를 바꿀 게 아닌 것 같습니다
2.0,(주)제닉,2022. 02,3점,"""한때는 마스크팩 넘버원 회사였고 하이드로겔 마스크팩에 대해 지부심이 있는 회사""",화장품 OEMODM 영업은 연봉제외하고 하는 업무는 어느 회사가도 비슷할것으로 예상됨,개인마다 다르겠지만 화장품 OEMODM영업직군 스트레스 많이 받음,부서간 화합이 잘 되도록 경영진들이 잘 이끌어줬음 좋겠습니다
2.0,(주)제닉,2022. 02,1점,"""다양한 정치기술을 배울수 있는회사. 회사에 산으로 가다 못해 하늘까지 올라갈 기세!!""",일하지 않아도 꼬박꼬박 급여가 들어오는회사. 회사업무보다는 개인적인 일을하면서 바쁜척 해야 인정받는회사.,"일하는순간 나만 바보가 되는 이상한문화. 팀장에 능력보다는
목소리크면 다 해결되는 회사.",고인물들 내려보내시는게 앞으로 더욱 나아갈수 있는 길입니다
