총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.9,한국경제티브이(주),2022. 08,3점,"""정규직은 편하고 파견직만 노나는 회사!
사바사바해야만 살아남을 수 있음""",식권이 나와서 편함. 휴가 써도 눈치는 딱히 안보임. 팀마다 다르지만 업무가 빡세거나 그렇진 않음,제대로 된 직원을 뽑으셔야 회사가 성장합니다. 실제 업무 보조는 파견직이 대부분 다하는 상황. 좀 깨닫고 정규직을 위해 사람을 뽑아주시길.,고인물을 정리하셔야 됩니다. 언제까지고 치고빠지는 파견직으로 굴러가긴 힘들어요.
2.9,한국경제티브이(주),2022. 08,2점,"""일은 정말 편한곳
다소 정제된 분위기""","긴 점심시간과 본인 일만 하면 정말 편한곳
일도 편하고 회사도 쾌적함
칼퇴근 가능","일이 편하니 몸이 편해져 정신적으로 너무 스트레스 받는곳
사람끼리 정치질이 너무 쉬움",뭔가 건의를 하면 알아보는 시늉이라도 해주시길 일 크게 만들려다 나옴
2.9,한국경제티브이(주),2022. 08,2점,"""언론사라는 점을 간과하면 안된다 보수적인 문화가 지배적인 편""",워라밸이 지켜지고 연차 눈치 안보고 쓸 수 있다는 점이 장점임,단순 보고가 정말 많은 편 업무 보고도 잦게 있음 그리고 보수적인 문화가 많음,경영진에게 바라는 점은 많으나 지켜지지 않을 것임 상당히 상명하달식의 구조임
2.9,한국경제티브이(주),2022. 08,3점,"""워라벨은 극상입니다.
이외에는 너무 고인물이라 짜도짜도 계속 나옴""","연차 마음대로 사용 가능합니다.
칼퇴는 정확하게 보장합니다.
경영팀의 힘이 셉니다.","단순 페이퍼 보고 형식이 너무 많습니다.
평균나이 30 후반 ~ 40대로 임직원의 나이대가 너무 높습니다.
구시대적 방식에 하다못해 비품류도 너무 노후화 되었습니다.","최근에 이사를 진행했습니다.
이에따라 직원 복지 증진과 정규직이 아닌 고용직에 대한
인식 개선이 필요합니다."
2.9,한국경제티브이(주),2022. 05,3점,"""경력에 대한 욕심이 있다면 추천하며 위치 좋고 열심히 하면 기회가 열리는 곳""","수평적 문화, 위치 사람들 좋음, 복지 나름 좋음 관리자들","보수적이며 변화에 민감하지 않고 트렌드에 약함, 여성직원","다 좋은데요. 직원들 의견을 반영, 복지, 그리고 워크앤 라이프 발란스"
2.9,한국경제티브이(주),2022. 05,5점,"""다양한경험치 다양한 사람을 만나보는것이 가능하다
단, 부바부가 심하다""",연차 눈치안보고쓸수있음 회사분위기 이정도면 나쁘지않으면 물론 부바부,"월급이짜다 주식시장이안좋으면 성과급이 없다
임원진이 소통을 하지 않는다
부서장급도 소통 코스프레만 한 뿐","사업구조상 근시안적인 태도를 보일수밖에? 없겠지만
매출매출 미래먹거리를 잡으려면 지금과 같은 직원들쪼는방식으로는 모두가 남아나지않을듯"
2.9,한국경제티브이(주),2022. 05,3점,"""그냥 무난하게 다니다가 퇴사가능한 회사 위치 너무 않좋음""",연차자유롭게 사용가능 식권 줌 칼퇴가능 상사 눈치 안보고 자기 일만 처리하면 괜츈,너무 윗선에서 처리하려고만하는 것이 단점이고 정규직을 너무 안뽑고 있는 선에서 부려먹음,"정규직좀 많이 뽑아주세요, 그리고 부서별로 차별해서 대우하지말아주세요"
2.9,한국경제티브이(주),2022. 04,5점,"""경력도 쌓고 편하게 일 할 수 있는곳 많이 배우고 알아가고 싶은분들 지원하세요!""","눈치안보고 연차 사용할 수 있음
같이 일하시는 분들이 잘 챙겨주시고 신경 많이 써주심
점심 식권도 줘서 점심비 따로 들지않고 커피도 식권으로 사먹을 수 있어서 아주 좋음","지하철에서 내려서 너무 멈...버스도 없음.. 그게 제일 힘들었음 지하철에서 내려서 한 15분20분은 걸어야함
그게 제일 큰 단점",복지는 나쁘지않았다고 생각하는데 좀 더 좋아지면 좋겠다라는 생각합니다^^
2.9,한국경제티브이(주),2022. 04,4점,"""공기업과 대기업 사이. 언론사의 장점과 기업의 장점을 두루 갖춤""",상사분들 나이가 좀 많은 편..기업 자체의 고령화(?)로 젊은 직원들의 경쟁이 치열하지 않다. 또 젊은 사원들을 예뻐해줌. 대신 승진의 한계도 있음. 공기업처럼 편한 분위기와 대기업의 자류로운 업무처리 방식은 큰 장점.,큰 단점은 없는 회사인 듯. 어떤 시점에 승진과 연봉의 한계..로 젊은 사원들이 번아웃이나 무기력증을 느낄 수 있으나.. 다른 직장을 다니다보면 이곳이 천국이었음을 깨닫는다.,젊은 직원의 정규직 비율을 늘리고 계약직 기간의 기간과 성과를 인정해주길.. 또 젊은 사원들의 승진과 연봉 기회도 열어두어야 한다
2.9,한국경제티브이(주),2022. 04,1점,"""미래 성장성 제로에 연봉은 짜다 워 라벨은 있지만 회사 사정 안 좋으니 그것도 위태로움""",8시 출근 5시 퇴근 늦어도 5시반에는 퇴근하는 것 같음,무능력해도 상관없이 위에서 하라는 대로 하면 됨 그래서 의욕이 있는 사람이 없음,내가 봤을 땐 지금이 가장 큰 회사의 위기 조만간 젊은 사람들은 다 나갈 듯
