총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,(주)현대이지웰,2022. 10,2점,"""꼰대문화 보수적 그자체
미래지향적인 기업이지만 내부가 극보수""","회사눈 분명 발전하고있다
상장사
대기업 인수로 대기업 직원경험","보수적 보수적 보수적 보수적
꼰대가 많다
물갈이가 필요",보수적인건 어쩔수 없다고 해도 특정 부서 위주로 흘러가는 분위기 를 고쳐야 할 것 같다
2.4,(주)현대이지웰,2022. 09,2점,"""복지회사이나 직원에 대한 복지는 부족한 편입니다.
꼰대들이 많고 보고서 작성과 회의가 많습니다.""","윗사람 눈치 안보고 연차 쓸 수 있음
사옥 충정로로 이전하여 사무실 깨끗하고 역이서 가까움
회사내에 커피머신기 있음
지하에 구내식당 있음","단순 보고를 위한 페이퍼 작성이 많고 불필요한 회의가 잦음
어드민 시스템이 너무 노후되어서 불편함
월급이 작음
꼰대가 많음","직원들의 사기를 돋궈줄 수 있는 다양한 복지가 있으면 좋겠다
신규 직원이 아닌 기존 직원들도 챙겨주면 좋겠다"
2.4,(주)현대이지웰,2022. 09,2점,"""악순환의 반복.. 요즘 기업 트렌드랑 너무 떨어진 느낌 아직 못 벗어난 중소""",피시오프제. 일이 많지 않는 이상 야근 안해도된다. 근데 하는 팀도 많이있음,미친연봉 연봉 너무 적음 상여 없음 포인트로 주는데 그거로 생색냄 포인트만 주면 문제가 됨 현금으로 줘야지.. 너무 짜다 진짜,재택근무가 필요한 상황엔 자유롭게 시켜주시고 개방적으로 직원들 좀 풀어주십쇼..
2.4,(주)현대이지웰,2022. 08,2점,"""업무강도 상당히 낮고, 현대라고 하기엔 좀 부족하고 중소기업 이지웰에 가까움""",사옥이전하고 충정로 역과 가까워짐 (사옥 이전전에는 사무실이나 여러사항이 중소기업스러웠음),"정규직이나 알바나 하는일은 똑같아요 복지는 별로 없습니다.
알바지원하실바에 다른 곳 가시거나 정규직으로 지원 하세요 업무강도는 낮음",알바가 하는일이나 정규직이 하는일이나 똑같네요 ㅎㅎ..
2.4,(주)현대이지웰,2022. 08,3점,"""복지몰 업계 1위이고 다양한 사업분야에서 경력 개발을 하기 좋을 수 있는 회사""",연차 외에 연차처럼 쓸 수 있는 휴가 4개 더 있음. 남성 육아휴직도 쓰려면 쓸 수 있음. 이것저것 기본적인 복지들이 있음. 현대백화점 임직원 할인카드 발급 가능. 월 1회 금요일 네시퇴근.,보수적인 분위기로 바뀜. 복장 규정 생겨서 반팔티셔츠 맨투맨 후드 못입음. 연봉이 뒤죽박죽이라 내부 불만이 많음. 경력직 자리를 대졸 신입으로 채움.,장기 프로젝트 투자도 필요하지만 사실 지금 당장 현직원에게 투자가 필요하다고 봅니다. 아무리 외부 업체에 큰돈 들여 투자한들 핵심인력 나가기 시작하면 그룹사 인력이나 대졸신입들로 대체해서 효율이 있을까요?
2.4,(주)현대이지웰,2022. 07,2점,"""사회초년생이라면 한번쯤 경험해볼 만한 회사입니다.""",딱 일하는 시간만큼만 일하고 털 수 있는 점은 좋습니다. 야근은 가끔 있습니다.,승진 체계가 명확하지 않고 일한 만큼의 보상이 따라오지 않는 곳,합리적인 복지 및 보상 체계를 마련해주었으면 합니다.
2.4,(주)현대이지웰,2022. 07,2점,"""회사는 아주 조용하고 정적이며 각자의 일을 하는 곳 그냥 별 생각 없이 다니기 좋지만 다니면서 행볻하진
않음""","사내에 카페가 있었고 구디에서 역이랑 가깝다는 점
대기업 계열사",윗 사람들이 너무 별로다. 자기의 주관적인 생각을 정답으로 판단하고 일하는데 영향을 너무 많이 준다,"고인물들을 없애고, 진짜 일하는 직원들이 어떤 마음을 가지구 있는지 들여다 보기를 바랍니다. 일 안하는 고인물들 덕분에 아랫사람만 불쌍하니까요"
2.4,(주)현대이지웰,2022. 06,1점,"""내부 중소 연봉 중소, 무시하는 말투의 상사 도망쳐...""","현대라는 타이틀?
구로역에서 가까움
카운터 직원이 친절","너무나도 짠 연봉.
오래돤 코드로 꾸역꾸역. 물경력될 수 있음
상대하기 골치아픈 고인물들...","다신 가고 가고싶지 않다
얼마나 잘났다고 사람 무시좀 하지마세요"
2.4,(주)현대이지웰,2022. 06,4점,"""이름앞에 현대 두글자 추가되었으나 내부는 중소 연봉도 중소""","워라밸은 나쁘지 않음(부바부)
년차 일년에 4개 더줌
마지막주 금욜 2시간 조기퇴근","연봉이 중소 사람마다 연봉 다 다름
진급 어려움
업무 물경력",알겠으니까 월급좀 올려주세요 그리고 복지좀 늘려주세요 !!
2.4,(주)현대이지웰,2022. 06,3점,"""겉으로보기엔 복지회사,하지만 복지는 바라면안됩니다.빛좋은 개살구?""","대기업,역에서 가까움 나름 휴게공간있음,해피프라이데이가있다","복지회사지만 복지가 터무니없이 적음,대기업인수후에 더 빡빡해진 회사분위기 꼰대많음",고인물갈아주시고 복지늘려주시길..사원들보는데서 나이많은 임원들 사무실에서 보고하러들어가서 큰소리내는건 아니잖아요 눈앞에서 직장내갑질
2.4,(주)현대이지웰,2022. 06,2점,"""딱히 장점이 있지도 단점이 있지도 않은 중간정도의 회사.""",작지만 복지 포인트가 있는점. 역에서 가깝고 비교적 연차사용이 자유로웠음.,"자잘한 운영 업무량이 많았고 다양한 부서에서 업무요청이 많아 정신없는편. 업무강도는 높지 않지만 양이 많음. 업무보다 봉사활동 , kpi를 위한 과제로 업무에 지장이 있었음.",연봉 인상률이 적은편이고 보수적인 경영진 때문에 업무진행이 더뎠음. 일한만큼 연봉도 챙겨주길 바람.
2.4,(주)현대이지웰,2022. 06,1점,"""능력없이 정치로 승부하는 무능력한 사람들이 판치는 회사""",역세권 구로디지털단지에서 가까움. 먹자골목에서 젊은 분위기가 느껴짐,낮은 연봉 복지 부족 이에 맞지 않은 방대한 업무량 등,연봉을 인상하고 복지를 확대하고 직원을 아끼기 바랍니다
2.4,(주)현대이지웰,2022. 05,3점,"""나름 직원들에게 신경을 많이 써주고 성장도 하지만 2%부족""","기업 규모 대비 인프라와 시스템이 잘 갖춰짐
복지가 나름 괜찮고 직원을 생각해주는 분위기
대체적으로 분위기가 밝은 수준","너무 자주 변하는 조직과 사람들
임원과 팀장, 직원간의 업무적 괴리감
바쁜사람은 바쁘고 노는 사람은 놈
보여주기식 업무진행 존재",소통을 한다고는 하고 있지만 회사 전체의 내재화 관점에서도 준비하고 실행해주세요
2.4,(주)현대이지웰,2022. 05,1점,"""임직원에 대한 존중과 규정없이 인사처리하는 그냥 그런 저런 회사.. 이지웰페어가 나음..""",부바부지만 좋은 사람은 많습니다. 그러나 그 좋은 사람들이 다 떠나가는 중,현대로 바뀌고 좋다는 사람도 있고 아니라는 사람도 있지만 단점이 더 많다고 보는데 일단 경력직을 하찮게 생각한다는 점?,신입을 많이 키워서 성장하겠다는 것에 대해 반대하는 건 아니지만 경력직 없이 신입만 있으면 그 신입은 누가 키우겠다는 건지 알아야 할듯
2.4,(주)현대이지웰,2022. 05,4점,"""부서바이부서겠지만 내가 속했던 부서는 편하고 좋았다. 어느정도 선만 지킨다면 회사생활 무난하게 하기에 좋을듯""","야근 식대 제공, 자기개발 추첨을 통해 1년에 2번 지원해주는 점은 좋게 생각한다. 복지포인트도 적긴하지만 있다는게 장점",단순 업무가 많다 서로서로 눈치를 많이 보고 야근이 잦다,충분히 좋지만. 직원들을 위한 복지를 더 늘려주셨으면 좋겠습니다.
2.4,(주)현대이지웰,2022. 05,3점,"""대기업 계열이 되다보니 복지가 점점 좋아지고 있고
새로 만들려고 하는것도 많아요""","대기업으로 전환되어 직무에 관한 여러 교육이 늘어났고
복지도 많아짐","연봉이 일정하지 않음
지금 들어오는 신입과 기존 이지웰직원이 연봉이 같음
고인물들이 아직도 많이 남아있음","보고서 작성은 아래 직원이 다합니다
상사는 그저 발표만…제발 평소에도 직원들이 업무를 어떻게 하는지 잘 봐주셨으면 해요"
