,종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
0,글로벌텍스프리,2022.02.03,2.8,1.0,"“코로나 강제휴직. 임금삭감 2년, 남은사람만 남음”","연차 다줌, 빨간날 다 쉼, 출퇴근시간 보장

그외는...","사내정치 심함
경영진 정치 직원 정치

회사가 어려우면 인건비를 건듬","다닐 수록 적자
시간을 낭비하는 느낌이 들었음
배달대행을 뛰는게 나을 것 같음"
1,글로벌텍스프리,2022.08.02,2.8,2.0,“나인투식스가 전부인 회사”,"야근없음, 역(명동역) 바로앞 위치, 업계 1위(장점이자 단점)","너무나 낮은 급여, 급여인상폭 역시 낮음, 외부환경(정치, 국제정서)등에 의한 매출 변동폭 심함, 코로나 기간중 엄청난 타격으로 직원 연봉삭감, 임원진 마인드 폐쇄적, NO 복지",
2,글로벌텍스프리,2022.05.28,2.8,3.0,“칼퇴는 보장된 회사”,"칼퇴가 보장되서 워라밸이 있는 삶
업무강도가 낮음
자유로운 연차","낮은 연봉
외국인에 의존하기에 높은 위험성
명절 보너스 10만원 그마저도 코로나 때는 안줌
일반 직원들은 휴직시키고 부서장들만 출근","낮은 연봉
경쟁업체들과의 치열한 영업경쟁
위험요소가 너무 많음"
3,글로벌텍스프리,2022.05.26,2.8,4.0,“텍스리펀1위 하지만 관광객유무에 회사가 좌지우지”,"팀마다 다르긴 하지만 전체적으로 분위기는 좋다
업무 자체는 타이트 하지 않고 자기 할일만 잘 하면 됨
야근없음 다같이 칼퇴","관광객 상대 업종이다 보니
코로나 등 외부 요인에 의해 회사가 금방 위험해짐
OT부족으로 부서간 업무 이해도가 낮아 협업시 서로 답답해함",
4,글로벌텍스프리,2022.04.24,2.8,4.0,“워라벨 보장”,"연령층이 젊고, 회사 분위기가 자유롭다.
강제 야근 문화는 없다.","사드, 코로나처럼 자체 해결이 불가한 힘든 요인이 발생할 수 있다.",
5,글로벌텍스프리,2022.03.16,2.8,3.0,“복지가 좋고 워라벨이 보장되긴한다”,"출퇴근 시간, 역과 가까움, 공휴일 보장, 연차수당 지급, 안마의자, 조용한 사내 분위기","여우짓하는 직원, 그 여우짓을 구별 못하는 경영진
만만한게 직원 급여
어처구니 없는 연봉 인상 시스템 등등",
6,글로벌텍스프리,2022.02.15,2.8,3.0,“출퇴근 시간은 무조건 보장”,"9to6 무조건 보장
영업직 한정 주말에도 가끔 전화오지만 워라벨 좋은편
자신의 성장성을 크게 중요시 여기지 않는다면 다닐만한 회사임","적은 연봉
코로나로 무한 휴직 지속
개인 성장성 부족
회사 성장성은 코로나가 끝나야 함",
7,글로벌텍스프리,2021.12.30,2.8,1.0,“능력 있는 사람 다 나감”,"워라벨
워라벨
워라벨
워라벨
연차 소진 가능
박봉이기 때문에 힘들게 안함","정치질
책임감 있는 사람은 다 나감
올해 능력있는 직원들 좋은 회사로 다 나감

직원 80% 임원",
8,글로벌텍스프리,2021.12.30,2.8,1.0,"“위기의 회사, 방어할일만 남았다.”","다양한 기회, 점유율 기반으로 클라이언트들이 다양하고, 리테일에서 큰 기업과 소통이 가능함","박봉, 사내정치가 복잡함, 승진에 대한 기준이 모호함

대외 충격에 취약함... 외교 전염병",
9,글로벌텍스프리,2021.12.20,2.8,3.0,“성장 동력을 잃어버린 회사”,"꼰대마인드 별로 없음
워라벨 보장
일만 잘하면 회사생활에 큰 지장 없음","낮은 급여
무능한 윗사람
발전 없는 사업방식
기타 등등","코로나 정기화로 회사 망하겠음
성장 동력을 잃어버린것 같음"
10,글로벌텍스프리,2021.12.17,2.8,3.0,“워라벨 가능”,"워라벨은 가능하고 좋음
학벌에 대한 차별이 없다
영업은 과장달면 법카 올 지급","워라벨만 좋다
영업팀만 대우가 좋다
다른팀은 뒷전이다.","급여 동결 삭감 업무는 증가
대우는 그저그렇고 식대도 주지않음."
11,글로벌텍스프리,2021.11.09,2.8,3.0,“앞이 안보이는 회사”,"업무 강도 낮음 , 칼퇴 무조건 보장, 연봉은 중소기업 중간이상","그 외 모든게 단점
경영진 수준 미달, 사내 문화 안 좋음, 인센 없음",
12,글로벌텍스프리,2021.05.18,2.8,2.0,“워라밸은 보장이되는 회사”,거의 모든 직원이 칼퇴하는 회사! 이유는 안타깝지만 일이 없어서 ㅠㅠ,높지않은 월급이나 복리후생. 심지어 이조차도 코로나 여파로 대폭 삭감되었다고 함. 이해 못할건 아니지만 기쁜일은 아님.,육아휴직하면 커리어단절 된다고 하는데 이 회사에 있는거 자체가 커리어 단절이더라 ㅎㅎ
13,글로벌텍스프리,2021.03.19,2.8,3.0,“워라벨이 보장되는 회사”,"워라밸이 보장되는 회사이며,
월급밀린 적 없음. 분위기 좋았음",일반 사무직의 경우 개인의 역량 발전의 한계가 있어보임. 단순 업무의 반복,"고용형태가 계약직이며, 단순 업무 반복이라 역량발전에 한계가 있어보여 퇴사 결심."
14,글로벌텍스프리,2021.03.08,2.8,4.0,“워라벨이 보장되고 복지가 좋다”,"업무가 많지 않아 개인적으로 저녁 시간을 보장 받을수 있는 워라벨이 좋은 회사
일하는 사람들이 좋음
직원 복지가 좋음",국내 텍스리펀드 1위 업체이나 시장 전체 파이가 작다.,"개인적인 사정으로 인해서 이직을 결심
이직하면서도 많이 아쉬움이 남는 회사"
