총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,(주)앤디포스,2022. 09,3점,"""개발자가 없어서 아쉬워요. 발전이 없어요, 회사 비전이 필요할 듯.""",복지가 나름 좋다. 회사가 깨끗하다. 간식을 준다. 밥도 준다.,위치가 별로다. 냄새가 난다. 회사가 발전이 없다.회사가 성장하지 못한다.,주제를 알면 좋을 듯 지방 중소 기업에 주변에 인프라 없는 곳에 뭐 그리 바라는지??
2.4,(주)앤디포스,2022. 08,5점,"""사람들도 괜찮고 좋은 회사입니다. 추천드립니다. 강추강추""",연차 등등 눈치없이 쓸수있고 사람들이 좋습니다. 하지만 일 강도는 좀 있습니다.,너무 관리직이랑 생산직이랑 연구소랑 분위기가 달라 동떨어진 느낌,생산팀에게 무리없이 대해주셨으면 좋겠습니다 간혹 무리하게 요구가 있습니다
2.4,(주)앤디포스,2022. 08,3점,"""환경 괜찮고 돈 빼면 괜찮은 회사 환경과 워라벨 중요시하는 사람 추천""","1. 환경 여름에 시원한편
2. 워라벨보장
3. 사람들 괜찮은편","1. 지원 많이감
2. 돈은 그냥그냥 함 상여금 없음 성과금은 있음
3. 팀장이 누구인지가 중요
4. 1호기 조심","아이템이 부족합니다
생산직열심히하는데 원급족 올려주세요"
2.4,(주)앤디포스,2022. 08,3점,"""회사의 사업 아이템은 휴대폰 모바일에 접목되어 있어서 미래적으로는 나쁘지는 않음
배울점도 충분함""","회사의 사업 아이템이 휴대폰 모바일 분야라서 미래지향적이며 매력있는 아이템임
휴가사용은 자유로운편","임원을 위한 회사
부서별 차이는있지만 업무량이 높은편임","실무자입장에서 바라보는 시각이 필요해보임
책임과 권한에 대해 명확했으면 함"
2.4,(주)앤디포스,2022. 08,3점,"""체계없고 잡을생각도 없는 옛날회사, 근무시간에 비해 연봉너무 적음""","경영성과급 별도, 복지포인트 있으나 복지느낌이 아니라 연봉협상?시에 포함해서 반영하기 때문에 연봉에 포함되는 느낌","체계없음, 앞으로도 이렇게 주먹구구식으로 할 예정인듯 보임, 1시간 필수 야근(8시-18시), 기업문화 수립에 대해 모두가 무지하고 필요성을 못느끼는 심각한 문제",그저 웃습니다. 딱 중소기업 마인드이고 거기에 자부심을 느끼는듯 보이는데 그러다가 좋은 사람들 다 나갑니다
2.4,(주)앤디포스,2022. 06,2점,"""필름, 테이프 제조, 판매하는 제조업체.""","특별한 경우 아니면 야근 거의 없음
월급 안밀리고 잘나옴. 명절, 휴가 때 돈이 나오고 (많지는 않아요) 운이 좋다면 상여가 나옴.","8시 출근, 6시 퇴근이라 칼퇴하더라도 1시간 야근하는 거랑 똑같음
말과 행동에서 악의가 느껴지는 분이 있음.. 직원들한테 그러는 것도 이해가 가지 않지만 면접 때까지 도대체 왜...? (잡플래닛 면접을 보면 이해가 갑니다)",일 시키는 것도 좋고 잘 못하면 뭐라 하는 것도 좋지만 말과 행동에 품격이 좀 있으면 좋겠습니다 잡플래닛 면접후기 보면 민망합니다
2.4,(주)앤디포스,2022. 05,1점,"""진급자 연봉인상률이 미친듯이 낮다 2퍼가뭐냐 2퍼가그게 인상이냐""",특별히없다 돈쓰는거로 쪼지않는다 정도 청담으로 이사했다정도,사무실 위치빼고 전부다 영업모르는 임원 누군지도모르는 임원 그리고 직원들 공장사람들 생산직들,쓰잘데없는짓하지말고 생산이나 조져라 헛짓거리말고 쓸데없는 바이오나발이고하지말고
2.4,(주)앤디포스,2022. 05,5점,"""동종업개 경쟁이 치열한 업종이지만
전국에서 손꼽히는 기술력을 가진 회사다.""","일한만큼 돈을 벌수 있고 기술직이라서
미래가 보장되는 장점이 있다.","일년 내내 퇴사자가 발생 하는 회사.
고인물이 너무 많아 퇴사자가 많다.",퇴사자들이 왜 퇴사하는지 귀늘 귀울여야 퇴사자가 그나마 안생길듯.
2.4,(주)앤디포스,2022. 05,1점,"""그럴싸해보이는 회사, 과연 내실은 과연??""","청담에 위치하여 강남과 가깝다는 장점
코스닥에 상장되어있고, 회사 자산이 많아 망하지는 않는다는 점","구체적인 업무체계가 전혀 없음
일 잘하면 잘하는 사람만 갉아먹히는 구조
공장(음성)과 본사(서울)의 직원들과의 괴리감
윗사람들끼리 다툼과 총괄사장 및 대표이사의 명확하지 않은 지시 때문에
부서간의 갈등과 실무자들의 스트레스가 굉장히 쌤
연봉이 낮은편.
윗사람들이 말을 격의 및 격식없이 막한다. 직원들에 대한 기본적인 존중이 없다.
점점 시장성이 좁아져가는 방수테이프라는 제품 이외 신규아이템 개발 및 신규사업 추진에 대한 임원들의 의지가 없다.",바라는 점 없어요. 이미 퇴사했기 때문에. 항상 행복하시길 바랍니다.
2.4,(주)앤디포스,2022. 04,3점,"""집이 가까우면 다니기 좋은 회사이며
위차가 외곽변두리라 출퇴근이 힘든회사일수 있음""",대기업 고객사에 따른 물량대응 제조업이라 항시 바쁘진않음,돈만 보고 다니기엔 거리가 너무 외곽이라 유류비가 많이나올수 있음,제조업 현장에서 필요한 것들을 잘대응 해주는거같음 지금처럼만 유지해주새요
