총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.1,다믈멀티미디어(주),2022. 07,3점,"""정체되어져있는 회사
미래의 준비는 되어 있지 않은 회사""","그냥 편히 다니듯 다니면 다닐 수 있는 곳
실적에 대한 부담도 앞날의 걱정도 내려놓고
하루하루 급여만 받아가기 좋은 곳","연령대가 높고 진취적인 사람이 없음
다들 회사에 애정이 없어보였음",애사심을 갖고 일하길 바라는 것 보단 애사심을 생기게끔 미래의 청사진을 그리고 회사의 직원들을 독려하는게...
3.1,다믈멀티미디어(주),2021. 11,5점,"""개발자 대우가 좋습니다 그리고 기술을 깊게 배울수있어요 직원복지도 좋은데 다른곳으로 팔리곤 나선 모르겠습니다""","연차 눈치안보임
자기할일만하면 터치없음
기술을 깊게배울수있음
사람들이좋음","엉뚱한데 투자하다 말아먹음
Sw가 사장된 기술이라 기술의 발전은 없음","다른곳으로 팔릴때 잘챙겨줘서 좋았습니다
오래 같이 일했으면 좋았겠는데 아쉽네요"
3.1,다믈멀티미디어(주),2021. 07,3점,"""고인물이많아 대체적으로 연령대가 높았던 편
신입 및 사원급은 없고 윗사람만 가득가득""",굳이 장점으로 뽑으라하면 30분 단위로 유연근무 했다는 거,"너무 많음
복지도 없고 연봉도 낮고 그냥 편하게 시간때우려는 사람들만 많은 회사","신규사업을 생각하고는 있으신건지
그저 있는것만 팔아가면 되는건지"
3.1,다믈멀티미디어(주),2021. 06,4점,"""개발자가 대우받으며 일할 분위기이지만 경영악화로 많은 인력이 이직함.""",개발자 대우 해주며. 기본적인 복지가 좋고 친근한 분위기,젊은 층이 많이 이탈하여 아쉬우며 새로운 투자가 줄어들음,새로운 사업에 대한 검토 및 지속적인 투자를 바랍니다.
3.1,다믈멀티미디어(주),2021. 01,5점,"""엔지니어로 일하기 좋습니다.
당시에는 개빌 인원이 회사 전체의 80%이상 이었습니다""","엔지니어가 일하기 좋은 환경 이었습니다.
펩리스 회사 이지만, 엔지니어 협업 분위기는 좋았다고 생각합니다.","당시에는 현재 팔리고 있는 상품에서의 횡전계가 많아서, 미래의 로드맵이 부족하다고 생각 했습니다",회사의 미래를 위해서 투자를 과감히 했으면 하고 바랍니다
3.1,다믈멀티미디어(주),2021. 01,2점,"""일은 적당한 편이나 직무 교육 등이 부족하다고 생각됨
경력직이 괜찮겠지만 신입은 좀 고려해보시길""","젊은층끼리 단합이 잘됨 중간이 부족함 수석급이 많음
문화는 나름 젊은 편임 수당이나 상여가 있음 부서마다 다르지만","야근이 좀 있음 그것도 부서마다 팀마다 다름
사수를 좋은 사람을 만나야함",좀 더 직원들을 배려해주는 문화가 필요해 보임
3.1,다믈멀티미디어(주),2020. 12,3점,"""신규 사업 및 개발 사업 지지부진으로 인한 새로운 먹거리 부족""","유연근무제에 따른 출퇴근 자유로움.
연차 자유롭게 사용가능","역삼각형 형태의 직급체계
제품라인업이 부족하고 개발 투자에 소극적임.",사업 추진에 적극적인 의지를 보여주었으면 함.
3.1,다믈멀티미디어(주),2020. 06,4점,"""능력자가 많은회사라 배울게 많은곳입니다. 분이기도 매우자유롭습니다""",자유로운 근무환경 개발연구 전문으로 배울게 많은회사입니다,타팀과의 업무교류가 잘되지않았으나 그 외는 나쁜게 없음,무리한 투자 무리한 진행이 없었으면 함 직원들좀 잘 봐주길
3.1,다믈멀티미디어(주),2020. 04,3점,"""회사가 유지되는게 신기할정도로 수동적인 문화와 생기없는 분위기를 느꼈음""",업무강도가 약해서 업무 스트레스가 없고 누구하나 일을 열심히하라고 눈치를 주지 않음,계속되는 적자와 뒷방늙은이들만 남아있는 회사로 미래의 발전가능성이 없음,새로운 제품개발없이 현존하는 제품으로는 회사가 살아가기 어려움
3.1,다믈멀티미디어(주),2019. 11,3점,"""열심히 본인의 IP를 개발하기 위해서, 전력투구했던 회사..
그러나, 상장하고 돈벌자 마음이 떠난 임원들...
지금은.. 어디 반도체와 상관없는 회사에 인수되어. 있다고 들었는데..""","IP를 자체 개발하기 위해서, 열시히 땀을 흘리고 전력투구했었고, 인력 구성이 양호했음.",회사에 딴생각을 하는 사람들이 너무 많았음. 열심히 하는 사람들이 갈수록 떠남.,무엇으로 어떤 모습으로 변신할지. 관심있게 보겠습니다.
3.1,다믈멀티미디어(주),2019. 08,1점,"""경영위기를 사유로 주식전체를 3자배정 양도하면서 반도체관련 모든 부서가 없어졌습니다. 남아있는 개발 인력들도 대부분 이직중에 있으며 기존 매출을 기반으로 사업을 이어가고 있습니다.""",사업장 위치를 서울로 이전하면서 몸집을 줄이고 새로운 출발을 준비하고 있습니다. 개발인력이 대부분 퇴사했기때문에 기존매출을 기반으로 상당기간 회사를 유지할 수 있을것으로 보입니다. 연차사용이 자유로웠던 부분이 장점임.,다년간의 적자발생으로 연봉상승이 이루어지지 않아서 연봉이 낮은편입니다. 주식매각으로 인해 개발부서가 없어졌으나 신규사업이 무엇인지 확인할 수 없으며 지분인수한 분의 사업방향도 확실히 제시되지 않았습니다.,"회사에 어려움이 발생시에는 지속하기 위해서 직원들에게 비전을 제시하면서 연봉동결을 요청하고, 어려움이 극복되었을때 다시 돌려줄 보상내용에 대한 내용을 확실히 해야 직원들의 사기저하를 막을 수 있을것입니다."
3.1,다믈멀티미디어(주),2019. 04,2점,"""반도체 관련 아이티 회사 mp3칩을 개발 중이며 ap칩도 있음""",기업의 장점은 자유로운 출퇴근 편한 복장이며 칩개발관련 일을 배울수있음,비합리적 인사 보수적인 업무 사장이 신임이 없으며 직원들에게,체계적인 업무 롤을 만들어야하며 주인의식을 먼저 기졌으면
3.1,다믈멀티미디어(주),2018. 05,3점,"""국내 전장용 Audio와 AP(Application Processor) 반도체 설계회사""",반도체 설계 분야에서 SoC내부의 IP 설계 분야에서 삼성 LSI와 협업을 진행했던 업체로 새로운 기능의 설계하는 회사로 엔지니어의 기본기를 배우기 좋은 회사,"현재직자들의 연령대가 높고 신규 인력의 채용이 많이 이루어 지지 않아서 중간계층이 없어서 업무가 편중되는 문제점이 있고, 전장용 반도체 분야의 트랜드를 따라가기에는 많이 개발 시기를 놓쳐서 기존에 설계된 반도체로 겨우 대처하는 것이 가장 큰 문제점",전장용 반도체 분야에서 승부하기 위해서는 조금 더 공격적인 자금 및 인력 투입을 통해서 Global 반도체 강자들과 승부할 수 있는 경쟁력을 갖추었으면 합니다.
3.1,다믈멀티미디어(주),2018. 02,3점,"""비교적 복지가 좋은편, 관리부서에서 직원들에 대해 복지를 해주려고 노력함""","도서구입비, 영어교육지원등 헬스비도 지원해줌
식사시간에 헬스장을 이용하시는분들이 많음
수당들이 조금씩 있음","수직적 상하관계가 좀 있음
비교적 직원연령대가 높아서 젊은 분들에게는 비추천
야근이 상대적으로 많음",신규사업 투자 및 젊은 직원들에게 더욱 복지나 투자가 있었으면하
3.1,다믈멀티미디어(주),2017. 02,3점,"""안철수와는 전혀 관계없는 안철수 테마주.
매너리즘에 빠진 일부 고연령 기득권의 정치에
가성비 좋은 젊은 인재의 이탈.
회사는 용케 유지되고 있음.""","경험 많은 인재와 젠틀한 경영진.
5년간 경영자와 독대가 연봉협상 외엔 없음.","프로젝트 실패로 인해 팀해체 후 실무자 대부분 퇴사.총책임자는 무사생존. 위에서 책임을 지지 않는 문화.
경륜의 고연령계층과 젊은 인재간 소통 부재.
신입을 아예 안뽑음.
저연령층 이탈로 인한 역피라미드 조직 문제.","과거 구조조정의 실패 트라우마를 극복하고,
현재 역피라미드 구조를 깨지 않는 한 미래는 어둡다고 생각함."
3.1,다믈멀티미디어(주),2017. 01,3점,"""비교적 자유로운 분위기. 직원들 대체로 좋은 편. 신입은 배울게 없을 수 있음. 경력 관리에 불리함.""",출퇴근이 비교적 자유로운 편(플렉서블). 다른 기업에 비해서 일이 바쁘지 않음. 직원들 성격 대체로 좋음.,배울게 별로 없음. 자체 칩 개발이 타사 대비 적음. 연봉이 적음. 회사 발전 가능성 적음. (트렌드한 칩 개발이 없음.),새로운 사업에 과감한 투자가 필요하다고 생각됨. 한발짝 늦게 사업에 뛰어들어서 시장을 놓치는것 같음.
3.1,다믈멀티미디어(주),2016. 05,4점,"""평균연봉에 경영진 마인드 양호함. 일이 힘들다고 하나. 업계 평균 이라고 생각함.""",자체 설계를 사용하려는 고집이 있고 팹리스치고 규모가 있는 칩을 하기 때문에 배울 점도 많음. 급여도 업계 보통은 됨. 불만이 나오면 듣는 척이라도 함.,믿을만한 중간 관리자가 없음. 삼성전자 관련 하청이 많아 파견시에 상대적 박탈감? 공과 사를 구분 못하는 경우도 있어 중간 관리자가 패거리를 이루고 업무까지 연계시킴. 신입들이 체계적으로 키울 중간관리자 없고 중심업무는 중간에서 독점. 즉 믿고 따를 중간리더 없음.,단기 성과도 중요하지만 인력관리라는 게 필요합니다. 개인적 친분에 의한 패거리 문화.. 지양해야겠죠? 일부 말이 거친 중간 관리자들이 고운말을 쓰는 문화가 필요합니다. 건전한 토론문화가 필요해요. 그리고 규모에 맞게 업무역량을 집중시키는 지혜가 필요..
3.1,다믈멀티미디어(주),2016. 03,3점,"""개발자 대우는 좋음편으로 펨리스 업체에서 하지 못하는 다양한 개발을 접할 수 있음""","연차 자율 사용 가능
업무 환경이 좋음
핵심 플랫폼을 처음부터 개발하기 떄문에 다양한 개발 환경을 접할 수 있음","중간 계층이 없음
핵심 기술을 맡을 가능성 없음
효율적이지 못한 업무 스타일","신규 인력들이 다양한 분야에서 기술 개발과 자아 성취의 기회를
줄수 있었으면 함"
