총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,우주일렉트로닉스(주),2022. 09,2점,"""무난 무난하게 다닐수 있는 회사 기독교 회사라서 시무식에 찬송가 부르는 회사""",아침 점심 저녁 다 주고 통근 버스 있고 연말에 성과급도 나옴,사람 귀한줄 모르고 일 없으면 계약직 줄줄이 자르고 팀 이동도 아무곳이나 시킨다,사람 귀한줄 알았으면 좋겠습니다 갑자기 일 없다고 자르는건 아닌거 같아요
2.6,우주일렉트로닉스(주),2022. 07,1점,"""중소와 중견이상의 단점, 워라밸의 단점, 사무와 현장의 단점, 모든 단점들을 다 취합해서 겪을 수 있는 회사""","밥을 3끼 다 준다. 예전에는 돈을 냈으나, 코로나 이후로 지문인식이 없어지면서 일단은 안내는 상황 유지/커피머신이 있다. 물론 이로 인해 근무태만 인원들이 많지만 커피도 당분간 공짜/IT는삼성과 애플쪽 부품을 제작하는 2차협력사고, AD는 현대와 기아를 주력 납품하는 2차 협력사라 나름 대기업 커미션","연봉으로 장난질을 진짜 심하게 한다. 단순 사무직 위주의 통합사무실은 그런 경향이 좀 덜하고 편하게 다니는데, 기술이나 생산 관련되면 여기만큼 박봉으로 주려는 곳이 없다. 경영진이나 관리자들이 실무에 대한 업무능력이 부족해서, 시키는 일에 비해 박봉이란걸 체감 못함/직급은 통일인데 지독할정도로 수직적이다. 위에서 뭐라고 하면 찍소리도 못하고 기어들어가고, 아래에서 나온 시정이 필요한 부분과 처우개선 요청 등 잘못된 부분에 대한 목소리는 중간라인이 다 커트한다./현장과 기술에 가까울 수록 퇴사율이 미친듯이 폭주중이다. 생산직은 특히 뭐 매주 나가는 상황인데, 여기보다 돈 덜주는곳 없다. 현장 근무나 생산프로세스를 제대로 겪은 관리자가 없다보니 진짜 동네 컨테이너박스 중소기업급으로 굴린다./전체적으로 학력이 낮다. 스펙도 끔직할정도로 전무하다. 어디 갈 곳 없는 고인물들이 회사가 좀 작을때 운좋게 들어와서 능력있고 성실하고 스펙좋은 신입 혹은 경력직들에게 텃세를 부리고 나가게 한다.","낙하산 사장님, 아들이라고 그냥 운좋게 자리차지한 사람으로 남지 맙시다. 밑에 직원들은 능력없는 능구렁이들과 아첨꾼들만 남아서 정작 성실하게 일하고 고생하는 젊은 직원들은 다 동망가고, 비싼 요양급여 받는 늙은 무능력자 위주로 기업이 재편되고 있습니다. 근속년수랑 보유 기술 및 능력 분석 한번 해보세요. 근속년수 양극화와 보유능력 전무한 민낯이 다 드러날겁니다. 사람을 부품으로 취급하는 임원진들은 직원을 괴롭히고 저임금으로 혹사시켜 얻은 수치상의 결과물을 실적이라고 내놓겠죠."
2.6,우주일렉트로닉스(주),2022. 07,2점,"""그냥저냥 공무원처럼 월급 받아가며 시간때우기 좋은 회사""",아침 점심 저녁이 나와 따로 식비가 안들어간다 그래도 나름 중견이고 상장사다,눈치를 봐야함 그리고 주변 똥냄새 엄청나고 주변에 아무것도 없다 교통도 불편함,딱히 바라는게 없다 사공이 너무 많아서 사공끼리 각개전투 하느라 바쁘다
2.6,우주일렉트로닉스(주),2022. 06,2점,"""다닐만한 좋은 회사 중견기업이라 그럭저럭다닐만함""",연차를 원하는 날짜에 쓸수 있다 밥도 나름 먹을만함 아침도 적은비용을 내고 먹을 수 있어 아주 좋음,단순 회의가 잦다 그리고 프로젝트를 잘못 걸리면 야근을 자주해서 업무강도가 강하다 옛날엔 야근수당 있었지만 지금은 없음,신규 입사자에게 너무 많은걸 요구하지말고 적당히 일을 시켰으면 합니다
2.6,우주일렉트로닉스(주),2022. 06,2점,"""고인물이 많은 회사. 직원을 소모품으로 생각하는 회사. 입만 잘 털고 윗사람과 취미가 같으면 편한 회사""","팀장 이하 직급 통일 시켜서 수평적인 분위기 조성 (그냥 삼성 따라 한 거임).
아침 점심 저녁 다 줌, 통근버스 있음",고인물이 많음 . 해가 지날수록 줄어드는 연봉 상승률. 그래서 지금 10년차 고인물 연봉과 내가 10년차가 되면 받게 될 연봉 차이가 큼,경영진 마저 고인물이라 뭘 바랄 수가 없음. 우리는 소모품입니다. 기술 배워서 얼른 다른데 가야됨
2.6,우주일렉트로닉스(주),2022. 09,2점,"""무난 무난하게 다닐수 있는 회사 기독교 회사라서 시무식에 찬송가 부르는 회사""",아침 점심 저녁 다 주고 통근 버스 있고 연말에 성과급도 나옴,사람 귀한줄 모르고 일 없으면 계약직 줄줄이 자르고 팀 이동도 아무곳이나 시킨다,사람 귀한줄 알았으면 좋겠습니다 갑자기 일 없다고 자르는건 아닌거 같아요
2.6,우주일렉트로닉스(주),2022. 07,1점,"""중소와 중견이상의 단점, 워라밸의 단점, 사무와 현장의 단점, 모든 단점들을 다 취합해서 겪을 수 있는 회사""","밥을 3끼 다 준다. 예전에는 돈을 냈으나, 코로나 이후로 지문인식이 없어지면서 일단은 안내는 상황 유지/커피머신이 있다. 물론 이로 인해 근무태만 인원들이 많지만 커피도 당분간 공짜/IT는삼성과 애플쪽 부품을 제작하는 2차협력사고, AD는 현대와 기아를 주력 납품하는 2차 협력사라 나름 대기업 커미션","연봉으로 장난질을 진짜 심하게 한다. 단순 사무직 위주의 통합사무실은 그런 경향이 좀 덜하고 편하게 다니는데, 기술이나 생산 관련되면 여기만큼 박봉으로 주려는 곳이 없다. 경영진이나 관리자들이 실무에 대한 업무능력이 부족해서, 시키는 일에 비해 박봉이란걸 체감 못함/직급은 통일인데 지독할정도로 수직적이다. 위에서 뭐라고 하면 찍소리도 못하고 기어들어가고, 아래에서 나온 시정이 필요한 부분과 처우개선 요청 등 잘못된 부분에 대한 목소리는 중간라인이 다 커트한다./현장과 기술에 가까울 수록 퇴사율이 미친듯이 폭주중이다. 생산직은 특히 뭐 매주 나가는 상황인데, 여기보다 돈 덜주는곳 없다. 현장 근무나 생산프로세스를 제대로 겪은 관리자가 없다보니 진짜 동네 컨테이너박스 중소기업급으로 굴린다./전체적으로 학력이 낮다. 스펙도 끔직할정도로 전무하다. 어디 갈 곳 없는 고인물들이 회사가 좀 작을때 운좋게 들어와서 능력있고 성실하고 스펙좋은 신입 혹은 경력직들에게 텃세를 부리고 나가게 한다.","낙하산 사장님, 아들이라고 그냥 운좋게 자리차지한 사람으로 남지 맙시다. 밑에 직원들은 능력없는 능구렁이들과 아첨꾼들만 남아서 정작 성실하게 일하고 고생하는 젊은 직원들은 다 동망가고, 비싼 요양급여 받는 늙은 무능력자 위주로 기업이 재편되고 있습니다. 근속년수랑 보유 기술 및 능력 분석 한번 해보세요. 근속년수 양극화와 보유능력 전무한 민낯이 다 드러날겁니다. 사람을 부품으로 취급하는 임원진들은 직원을 괴롭히고 저임금으로 혹사시켜 얻은 수치상의 결과물을 실적이라고 내놓겠죠."
2.6,우주일렉트로닉스(주),2022. 07,2점,"""그냥저냥 공무원처럼 월급 받아가며 시간때우기 좋은 회사""",아침 점심 저녁이 나와 따로 식비가 안들어간다 그래도 나름 중견이고 상장사다,눈치를 봐야함 그리고 주변 똥냄새 엄청나고 주변에 아무것도 없다 교통도 불편함,딱히 바라는게 없다 사공이 너무 많아서 사공끼리 각개전투 하느라 바쁘다
2.6,우주일렉트로닉스(주),2022. 06,2점,"""다닐만한 좋은 회사 중견기업이라 그럭저럭다닐만함""",연차를 원하는 날짜에 쓸수 있다 밥도 나름 먹을만함 아침도 적은비용을 내고 먹을 수 있어 아주 좋음,단순 회의가 잦다 그리고 프로젝트를 잘못 걸리면 야근을 자주해서 업무강도가 강하다 옛날엔 야근수당 있었지만 지금은 없음,신규 입사자에게 너무 많은걸 요구하지말고 적당히 일을 시켰으면 합니다
2.6,우주일렉트로닉스(주),2022. 06,2점,"""고인물이 많은 회사. 직원을 소모품으로 생각하는 회사. 입만 잘 털고 윗사람과 취미가 같으면 편한 회사""","팀장 이하 직급 통일 시켜서 수평적인 분위기 조성 (그냥 삼성 따라 한 거임).
아침 점심 저녁 다 줌, 통근버스 있음",고인물이 많음 . 해가 지날수록 줄어드는 연봉 상승률. 그래서 지금 10년차 고인물 연봉과 내가 10년차가 되면 받게 될 연봉 차이가 큼,경영진 마저 고인물이라 뭘 바랄 수가 없음. 우리는 소모품입니다. 기술 배워서 얼른 다른데 가야됨
2.6,우주일렉트로닉스(주),2022. 06,3점,"""부단히 신제품 노력은함.. 성과는 미비..""","급여 잘나옴 식당 괜찬음.
통근버스있음. 가끔 비정기라도 인센티브있음.","연차쓰기 어려움. 꼰대같은 관리자 한명이 내로남불 심함.
인센티브 따로 없음. 비정기 인센티브.","노는 직원 정리가 필요함. 일하는 몇명만 일함.
관리자중에서도 일하는 사람만 하고
안하는사람은 진짜 안함.."
2.6,우주일렉트로닉스(주),2022. 06,3점,"""괜찮으니 시스템이 아직 좀 미비해보임 성장 가능성은 큼""",밥 맛있고 건물이 엄청 큼 번지르르하고 중견기업 답다 돈 많은 회사,야근이 너무 많고 일적으로 심적으로 지친다 급여는 쏘쏘...,신규 투자는 좋은데 본사에 남은 인원들좀 챙겨줬으면 한다 모두가 지금 힘들다
2.6,우주일렉트로닉스(주),2022. 05,3점,"""회사는 좋은데 일하는 사람들이 문제
건물 좋고 복지도 괜찮은 거 같은데
부서간 협업이 잘 안됨. 부서 이기주의 만연""","안정적인 사업기반. 부서에 따른 워라벨.
깨끗한 건물 관리","2년차부터 오른다는 연봉
물갈이 없는 고인물 상사
부서간 협업이 안되고 일처리 오래걸림","체계적인 업무 체계와 고인물들 업무전환
정말 비밀이 가능하고 개선이 되는 업무 질 개선 질의응답"
2.6,우주일렉트로닉스(주),2022. 04,2점,"""일하는 사람만 겁나게 일하는 곳. 타부서 업무 협조 전혀 안됨.""","밥이 맛있다. 헬스장, 샤워시설이 있다. 그외엔 없다.",부서간 압무 협조가 안된다. 나만 아니면 됨. 논리적 협의가 안된다.,까라고만 하지 말고 아랫사람 말 좀 듣는게 좋습니다. 안들을거면 물어보지를 말던가..
2.6,우주일렉트로닉스(주),2022. 04,3점,"""자동차 사업부에 현재 부사장이 들어오면서 같이 들어온 사람들이 장악해버리고 기존 인원의 일부는 퇴사하게 만들어 버림. 게다가 같이 온사람들은 해당 업무 지식도 없는 사람들임""",회사 건물은 멋있음. 하지만 휴게 시설등 활용에는 눈치 제한이 많음,경영진이 참.... 어디가나 그런건지... 부사장의 지인이거나 예전 동료이거나 아부맨 아니면 기회가 적다,복지 축소와 노사관계 단절하는 방향보다 복지를 늘리고 노사관계 개선이 되었으면 합니다
