총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,(주)디지틀조선일보,2022. 07,4점,"""대우받으며 보람차게 일할수 있는곳 입니다. 추천합니다.""",연차를 눈치안보고 쓸수있고 본인이 성장할 기회를 마련해주는 좋은회사,과장 차장이 많아 진급이 힘들다. 퇴근시간이 불규칙하다,직원들의 불만을 듣지만 말고 해결책을 찾아주면 좋겠다
2.6,(주)디지틀조선일보,2022. 06,4점,"""조선일보라는 타이틀은 있지만 시스템은 중소기업과 대기업이 섞여있는곳. 연봉은 낮지만. 워라벨은 괜찮은곳.""","교통이 좋음. 광화문 한가운데임.
처우가 점점 좋아지고 있음.
브랜드네임이 있음
안정적임.
복지가 좋음",아직은 조선일보 및 큰 계열서 (티비조선. 조선비즈)중에는 처우가 약하다,별도 바라는점은 없습니다. 계속적인 처우 개선을 부탁합니다
2.6,(주)디지틀조선일보,2022. 05,2점,"""고인물 가득. 여초 집단. 팀워크 부족. 정체성 및 비전 없음.""",기혼자들 편히 다니기 좋은 곳. 열정과 욕심이 없다면 물 흐르듯이 살 수 있다.,1년 앞을 내다보기 힘든 곳. 과연 남의 일만 죽어라 하는 지금의 운영 방식이 언제까지 갈지. 나도 정말 궁금하다.,투자가 없는 곳에 성과도 없는게 당연한 이치인데 이상하게도 이곳은 무에서 유를 창조하라고 한다. 우리가 조물주도 아니고.
2.6,(주)디지틀조선일보,2022. 05,3점,"""계약직으로 뽑는 경우가 많고, 경직되어 있으면서 유연한 거 처럼 한다. 고인물이 정말 많아서 위로 갈 수가 없다""","중식, 석식을 무료로 제공한다. 한식 & 양식 중에서 선택해서 배식을 받을 수 있다. 만약 순대국과 돈까스가 나왔을 때 두가지를 다 먹을 수 있다.
명절 보너스, 생일 축하금, 연말 상여금","위로 올라갈 수 가 없다. 하는 일 없이 출근해서 수당을 챙기시는 상사가 있기도 하고, 팀 내 지원금을 개인의 용도로 사용하거나, 아예 아끼고 반납하는 상사가 있다.","정규직 늘려주세요 부하 직원의 성장을 신경써주시고, 열심히 일하는 직원이 계속 열심히, 자기계발에 힘써야할 이유를 좀 만들어주세요"
2.6,(주)디지틀조선일보,2022. 05,2점,"""전형적인 탑다운식의 프로세스이다.
윗사람의 의견에 절대 복종해야하는 구조.""","구내식당 밥이 맛있다. 연말 인센티브가 쏠쏠하다.
일을 못해도 안짤린다.","정말 극 수직적이며 보수적인 집단의 끝판왕이다.
연봉도 인상률도 매우 짜다.","경영진만 바뀌면 회사가 발전할것 같습니다.
불투명한 경영을 공정하고 투명하게 해주세요."
2.6,(주)디지틀조선일보,2022. 04,2점,"""고질적인 인력난으로 일당백을 해야함 덕분에 여러가지 일을 배울 수 있으나 체력적으로 고되다. 꼰대같은 고인물들로 인해 실무진끼리 동지애 형성.""",밥 밥 밥. 구내식당을 무료로 이용할 수 있으며 퀄리티가 괜찮음. 그외에는 장점이라고 할만한게 생각안남.,구시대적인 업무 시스템과 비효율적인 보고 체계. 연차사용 눈치봐야함. 꼰대같은 윗선. 인력난으로 인한 업무과다.,사람 좀 뽑아주세요. 나아가 왜 자꾸 사람들이 그만두는지 원인을 파악해보세요.
2.6,(주)디지틀조선일보,2022. 04,1점,"""군대식 조직문화가 심해 수평적인 조직문화를 원하면 힘들수있음.
시니어 이상급이 대부분인 정체된 회사""",워라벨이 어느정도 보장되는게 큰 장점. 점심 저녁 식대 제공.,군대식 문화. 매출압박이 심한편. 돈 못벌면 위에 잘 보여야함.,경영/인사조직이 많은 변화가 필요함. 중장기적인 비전제시가 필요해보입니다.
2.6,(주)디지틀조선일보,2022. 04,3점,"""무난하게 잘 다닐 수 있는 회사입니다. 큰 발전은 없을 수도 있지만 비교적 안정적으로 다닐 수 있는 회사라고 생각됩니다""",연차를 눈치안보고 쓸 수 있습니다. 그리고 나름대로 체계가 잡혀있는 곳 입니다 체계적으로 업무가 진행됩니다,관료제스러운 면이 있습니다. 그리고 업무에 대한 다양한 생각들을 할 수 없는곳입니다,합리적인 복지와 연봉 상승 필요합니다 연봉부분에서 많은 지원을 해줬으면 합니다
2.6,(주)디지틀조선일보,2022. 03,3점,"""광화문에 있어 교통이 편리하고, 식당밥이 맛있는 무난한 회사입니다.""","식당 밥이 맛있고, 광화문이라 교통이 편리합니다. 조선일보 그룹사로 IT 계열의 업무들을 담당합니다. 좋은것도 없고 나쁜적도 없고 무난히 다녔던 기억이 납니다.","연봉이 적고, 인상률이 낮은 편입니다. 직원들이 한건물이 아닌 여러곳에 흩어져 있어 통일감이나 소속감이 떨어집니다. 노령층이 중간 관리자로 많이 있는데 옛날 구시대적 꼰대 마인드가 존재합니다.",복지가 임금 부분의 개선이 필요합니다. 업무 강도에 비해 많이 부족했던것 같습니다.
2.6,(주)디지틀조선일보,2022. 03,4점,"""다소 경직된 분위기지만 안정감 있는 곳. 급여가 짠 편이지만 정해진 업무만 잘 해도 승진의 기회를 얻을 수 있었음. 회사위치는 너무 좋음""","퇴근시간 잘 지켜지고, 눈치보는 분위기 없음. 점심도 잘 나옴. 큰 금액은 아니지만 연말 보너스 안 나온 적 없음. 다소 직원을 챙겨주는 분위기. 전체적으로 안정감 있음",단순 운영 및 보고 업무가 너무 많음. 상하 구분이 너무 명확하여 부하직원이 의견을 내기 어려움이 있음. 진급의 기회는 많으나 나이 많은 직원 비율이 높아 젊은 직원들 중에 퇴사자가 많이 나옴,회사의 장점만 보지말고 단점도 보고 그것을 고치려는 노력이 필요함. 건물이 너무 오래된 거 같음.
