총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,글로벌텍스프리(주),2022. 09,3점,"""코로나로 관광객이 들어오지 않아 지금은 어려운 시기를 겪고 있으나,
이 시기만 지나면 이전처럼 성장 가능성이 높은 회사""","눈치보지 않고 퇴근할수 있어 워라밸을 꿈꿀수 있고, 직원에게 복지를 주려고 노력하는 회사",이전보단 나아졌지만 그래도 위로 올라갈수록 정치가 심함.,"누구의 라인이 아닌 누가 회사에 보탬이 될지 잘 판단하여
회사를 이끌어 주시면 좋을 듯 합니다."
2.6,글로벌텍스프리(주),2022. 08,3점,"""코로나로 인해 매출상황이 좋지 않아서 어쩔수 없겠지만 아쉬운 점이 많습니다.""",편하고 오래 다니기에 좋아요 명동역과 매우 가까운 역세권에 위치해있습니다.,열심히 하는 사람은 열심히 하지만 잘 알아주지 않음..어떤 기준으로 회사가 돌아가는지 잘 모르겠다.,다소 이해할 수 없는 상황이 많았는데 앞으로라도 제대로 자리잡아가길 바랍니다.
2.6,글로벌텍스프리(주),2022. 08,2점,"""경영진 의사결정 능력이 아쉬움. 실무자보다 관리자가 많은 형태로 실무자들이 일하기에 다소 어려울 수 있음""",관리직 비율이 높은데 비해 권위적이지 않음. 근무시간에 대한 압력이 덜한 편,과차장급에서 바로 위 단계가 적어 승진이 어려움. 정치적인 이슈가 있을 수 있음,경영진의 탁상 공론이 아닌 실무자들의 의견을 적극 잔영해 주고 애로사항을 해결해주는 덕장형 리더의 모습을 보여 주면 좋겠음
2.6,글로벌텍스프리(주),2022. 08,2점,"""누구는 대접받고 누구는 푸대접 받음. 대접 푸대접 기준이 아주 명료함. 대표마음.""","안마의자, 자유로운 연차사용, 음료수캔100원, 칼퇴근가능, 지각해도 아무말 안함. 지하철역과 가까움",사원보다 임원이 많음. 직군에 따라 차별대우가 심함. 연봉인상율이 매우 낮음. 연봉테이블자체도 낮음.,이렇다할 복지가 없는게 아쉬움. 아쉬운 소리를 못하는게 아니고 안하는 직원들의 마음을 대표가 헤아려 줬으면 좋겠음.
2.6,글로벌텍스프리(주),2022. 08,3점,"""시장 점유율 업계 1위로써 많은 가맹점을 관리 및 공부할수 있음.
구체적인 연봉테이블 없음""",연차 사용이 자유로움. 팀별로 상이 하지만 직원간 분위기 좋음. 영업직군 실무자들 연령대가 젊음,"윗사람들 자기 밥그릇 챙기느라 팀원 갈아넣음. 임원진들 마인드 극보수적이며, 낙하산 임원이 많아 비용 낭비 심함. 직원한텐 비용절감 외치면서 상급자들 법카 낭비 심함.","업계 1위로써, 자리를 지키려면 뭔가 새로운 투자나 개발이 필요한데, 엄한데다 돈쓰는중. 현실을 직시해서 후발주자와의 경쟁에서 이길수있는 대안이 적극 필요함"
2.6,글로벌텍스프리(주),2022. 09,3점,"""코로나로 관광객이 들어오지 않아 지금은 어려운 시기를 겪고 있으나,
이 시기만 지나면 이전처럼 성장 가능성이 높은 회사""","눈치보지 않고 퇴근할수 있어 워라밸을 꿈꿀수 있고, 직원에게 복지를 주려고 노력하는 회사",이전보단 나아졌지만 그래도 위로 올라갈수록 정치가 심함.,"누구의 라인이 아닌 누가 회사에 보탬이 될지 잘 판단하여
회사를 이끌어 주시면 좋을 듯 합니다."
2.6,글로벌텍스프리(주),2022. 08,3점,"""코로나로 인해 매출상황이 좋지 않아서 어쩔수 없겠지만 아쉬운 점이 많습니다.""",편하고 오래 다니기에 좋아요 명동역과 매우 가까운 역세권에 위치해있습니다.,열심히 하는 사람은 열심히 하지만 잘 알아주지 않음..어떤 기준으로 회사가 돌아가는지 잘 모르겠다.,다소 이해할 수 없는 상황이 많았는데 앞으로라도 제대로 자리잡아가길 바랍니다.
2.6,글로벌텍스프리(주),2022. 08,2점,"""경영진 의사결정 능력이 아쉬움. 실무자보다 관리자가 많은 형태로 실무자들이 일하기에 다소 어려울 수 있음""",관리직 비율이 높은데 비해 권위적이지 않음. 근무시간에 대한 압력이 덜한 편,과차장급에서 바로 위 단계가 적어 승진이 어려움. 정치적인 이슈가 있을 수 있음,경영진의 탁상 공론이 아닌 실무자들의 의견을 적극 잔영해 주고 애로사항을 해결해주는 덕장형 리더의 모습을 보여 주면 좋겠음
2.6,글로벌텍스프리(주),2022. 08,2점,"""누구는 대접받고 누구는 푸대접 받음. 대접 푸대접 기준이 아주 명료함. 대표마음.""","안마의자, 자유로운 연차사용, 음료수캔100원, 칼퇴근가능, 지각해도 아무말 안함. 지하철역과 가까움",사원보다 임원이 많음. 직군에 따라 차별대우가 심함. 연봉인상율이 매우 낮음. 연봉테이블자체도 낮음.,이렇다할 복지가 없는게 아쉬움. 아쉬운 소리를 못하는게 아니고 안하는 직원들의 마음을 대표가 헤아려 줬으면 좋겠음.
2.6,글로벌텍스프리(주),2022. 08,3점,"""시장 점유율 업계 1위로써 많은 가맹점을 관리 및 공부할수 있음.
구체적인 연봉테이블 없음""",연차 사용이 자유로움. 팀별로 상이 하지만 직원간 분위기 좋음. 영업직군 실무자들 연령대가 젊음,"윗사람들 자기 밥그릇 챙기느라 팀원 갈아넣음. 임원진들 마인드 극보수적이며, 낙하산 임원이 많아 비용 낭비 심함. 직원한텐 비용절감 외치면서 상급자들 법카 낭비 심함.","업계 1위로써, 자리를 지키려면 뭔가 새로운 투자나 개발이 필요한데, 엄한데다 돈쓰는중. 현실을 직시해서 후발주자와의 경쟁에서 이길수있는 대안이 적극 필요함"
