총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.3,피에스엠씨(주),2022. 03,3점,"""회사는 오랜기간 존속했지만 조직이 체계화 되어 있지 않아 업무 인수인계가 되지않고 설왕설래 모습""",기업 존속기간이 40년이 넘은 만큼 나이 많으신 경력자분들이 많음. 부서별 케바케 이지만 일 배울수 있는 기회는 많음.,고위 직급자 분들이 많아서 신입들은 눈치보이고 정을 붙이고 일을 할 수 없음.,신입직원들이 너무 없고 업무를 기초부터 가르쳐 줄 수 있는 내부 프로세스를 구축하는게 급선무 인듯합니다. 오래된 경험자들이 많아서 그런지 몰라도 대충 일을 가르쳐주는 것은 없애야할 것 같습니다
2.3,피에스엠씨(주),2021. 03,3점,"""반도체 리드프레임 제조하며, 코스닥 상장회사이고 나름 업무절차 및 시스템이 잘 갖추어져 있음""","연차 쓰는데 부담없고, 직원들간에 대화는 잘 통했음. 돌이켜보면 직원들 업무 수준도 평균이상으로 일을 배우기에는 좋음","부서마다 업무강도가 다르고, 급여가 동종업계보다 작음. 지금은 회사가 부산에서 경기도 화성으로 이전한걸로 아는데, 내가 다닐때는 맨날 야근이였음",직원들 급여 및 복지에 신경 써주시기를 바랍니다. 부서별 근무강도 편차가 너무 심해요.
2.3,피에스엠씨(주),2021. 01,3점,"""규모는 줄고 기술력이 뒤쳐졌지만 현 상황을 잘 버티고 있는 회사""",규모는 중소기업이나 전통이 있는 회사라 규정과 체계가 잘 잡혀 있음,회사를 사채업에서 인수한 이후 가는 방향에 걸림돌이 참 많음,회사근로자분들이 연세가 많은 반면 신입직원 젊은 직원을 뽑지 않음(젊은 사람들이 안옴)
2.3,피에스엠씨(주),2020. 12,1점,"""역삼각형 구조에 보수적인 업무방식이 바뀌지 않는다면 5년안에 위험하단 생각이 드는 회사""","칼퇴
음? 30자를 뭘로 채워야 할까요.....
개개인 한사람한사람은 좋지만
업무적으로는 힘든 스타일","비합리적인 업무방식
대부분 50대로 이루어진 역삼각형구조","실무진이 힘이 없고, 투자를 안하면서
회사가 커지길 바라는건 이기적인 마음 같습니다."
2.3,피에스엠씨(주),2020. 09,2점,"""한번 면접보고 합격여부 나오구요! 대부분이 50대로 이루어진 회사""",편안한 분위기로 일하기 괜찮으나 일하다보면 꼰대중에꼰대,"풍산시절을 아직 못벗어나고, 열심히 일하려는 생각을 가진 사람이 거의 없음",전체적인 체계를 뒤엎지않는이상 발전가능성은 없다고 보여짐
2.3,피에스엠씨(주),2022. 03,3점,"""회사는 오랜기간 존속했지만 조직이 체계화 되어 있지 않아 업무 인수인계가 되지않고 설왕설래 모습""",기업 존속기간이 40년이 넘은 만큼 나이 많으신 경력자분들이 많음. 부서별 케바케 이지만 일 배울수 있는 기회는 많음.,고위 직급자 분들이 많아서 신입들은 눈치보이고 정을 붙이고 일을 할 수 없음.,신입직원들이 너무 없고 업무를 기초부터 가르쳐 줄 수 있는 내부 프로세스를 구축하는게 급선무 인듯합니다. 오래된 경험자들이 많아서 그런지 몰라도 대충 일을 가르쳐주는 것은 없애야할 것 같습니다
2.3,피에스엠씨(주),2021. 03,3점,"""반도체 리드프레임 제조하며, 코스닥 상장회사이고 나름 업무절차 및 시스템이 잘 갖추어져 있음""","연차 쓰는데 부담없고, 직원들간에 대화는 잘 통했음. 돌이켜보면 직원들 업무 수준도 평균이상으로 일을 배우기에는 좋음","부서마다 업무강도가 다르고, 급여가 동종업계보다 작음. 지금은 회사가 부산에서 경기도 화성으로 이전한걸로 아는데, 내가 다닐때는 맨날 야근이였음",직원들 급여 및 복지에 신경 써주시기를 바랍니다. 부서별 근무강도 편차가 너무 심해요.
2.3,피에스엠씨(주),2021. 01,3점,"""규모는 줄고 기술력이 뒤쳐졌지만 현 상황을 잘 버티고 있는 회사""",규모는 중소기업이나 전통이 있는 회사라 규정과 체계가 잘 잡혀 있음,회사를 사채업에서 인수한 이후 가는 방향에 걸림돌이 참 많음,회사근로자분들이 연세가 많은 반면 신입직원 젊은 직원을 뽑지 않음(젊은 사람들이 안옴)
2.3,피에스엠씨(주),2020. 12,1점,"""역삼각형 구조에 보수적인 업무방식이 바뀌지 않는다면 5년안에 위험하단 생각이 드는 회사""","칼퇴
음? 30자를 뭘로 채워야 할까요.....
개개인 한사람한사람은 좋지만
업무적으로는 힘든 스타일","비합리적인 업무방식
대부분 50대로 이루어진 역삼각형구조","실무진이 힘이 없고, 투자를 안하면서
회사가 커지길 바라는건 이기적인 마음 같습니다."
2.3,피에스엠씨(주),2020. 09,2점,"""한번 면접보고 합격여부 나오구요! 대부분이 50대로 이루어진 회사""",편안한 분위기로 일하기 괜찮으나 일하다보면 꼰대중에꼰대,"풍산시절을 아직 못벗어나고, 열심히 일하려는 생각을 가진 사람이 거의 없음",전체적인 체계를 뒤엎지않는이상 발전가능성은 없다고 보여짐
2.3,피에스엠씨(주),2020. 02,3점,"""풍산에서 민노총 문제로 분리된 기업""",사무직/기술직/현장직 할거없이 모두가 20년 이상의 장기근속으로 축척된 기술력 보유,대주주가 바뀌는바람에 대주주 방어에 너무 많은 기력을 소모함,경영권 방어만을 위한 경영이 아닌 진정한 제조업 경영진이 되시길...
2.3,피에스엠씨(주),2020. 01,3점,"""다양한경험을 해볼수있었고 해외고객이 많은관계로 자기개발을 위한 동기부여가 많이 되었다.""",성장하는 회사로 회사와함께 성장해간다는 자부심을 가질수있었다.,무리한 사업확장등으로 경영상 어려움을 겪게 되었으며 이로인해 많은사람이 상처를 받게됨.,장기적인 안목으로 투자를 결정하고 인원을 운용하여 지속성장하는 회사가 되었으면 한다.
