총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.7,(주)케이엔엔미디어플러스,2022. 09,5점,"""신입사원이 자신의 의견을 자유롭게말할수있고, 하나의프로젝트를 리드해서 마무리까지 책임지게함""","휴가를 시간단위로 눈치없이볼수가있고, 구내식당이 아주잘되어잇음, 교통도편리하여 편하게다닐수잇음","방송국특성상 위로갈수록 승진이어렵고, 커뮤니케이션이 고리타분함, 막혀있음
하나 의견올라가서 반영되려면한세월",귀를열고 들으시라했습니다. 서류 올리면 확인좀 해주세요
2.7,(주)케이엔엔미디어플러스,2022. 08,3점,"""커리어를 쌓고 싶은 사람에게 추천 합니다""","연차를 눈치 안보고 쓸수있다, 수평적인 사무실 분위기이다","비효율적인 업무들, 계약직들은 정규직으로 전환이 힘들다",합리적인 복지 체계를 마련해줬으면 좋겠다
2.7,(주)케이엔엔미디어플러스,2022. 07,2점,"""젊은 직원은 계약직으로 돌려 쓰기에 내 미래를 걱정하게 됨""",부서에 따라 비교적 자유로운 활동이 가능함. 주변 식당밥 맛있고 4곳 중 골라먹을 수 있음.,"정규직은 모르겠고 계약직은 수명이 1, 2년이라 끝나고 뭐하지 살지 고민하게 됨.",젊은 사람들한테 유명인 아저씨 비유로 가져다 대면서 아저씨 어떻냐고 묻지 말고 그냥 스스로를 받아 들이자.
2.7,(주)케이엔엔미디어플러스,2022. 07,3점,"""새로운 시도가 적은 기회가 적은
새로운 직원이 없고 오랜된 직원만 있는 회사""","안정적으로 다닐 수 있다
직원들 간의 친목이 좋고
일적으로는 다른 곳과는 달리 여러 가지 일을 경험할 수 있다","새로운 직원 채용이 적고, 높은 경력의 선배들이 비율적으로 많다
지방 방송국이다 보니 월급이나 시급의 기준이 적어보인다",새로운 사업의 추긴과 직원 채용에 있어 오래동안 일한 계약직과 프리랜서에서 정직원에 대한 기회가 있으면 한다
2.7,(주)케이엔엔미디어플러스,2022. 07,2점,"""비정규직이 즐비하고 정규직으로 올라가기는 어려운 그들만의 리그""","인턴으로 간다면 일이 편하고 부담이 없고 칼퇴가 가능하다, 위치가 센텀이라 여가 즐기기가 좋다","앞뒤로 꽉 막힌 경영진에 발전 가능정은 없어보임, 채용이나 진급면에서 정규직의 놀이터",지업 방송국 발전을 위해 신규 채용이나 비정규직 처우에 대한 개선이 필요할 듯해요
2.7,(주)케이엔엔미디어플러스,2022. 07,1점,"""외관이 주는 만족감외에 별도의 장점이없으며
퇴직하지않은 연령대 높은 정직원외에
젊은이들을 계약직노예로하고 청춘을 뺏는곳""","센텀이 위치하는점과
1층에 스타벅스가있다는점 외에 미존재",계약직들의 천국이라 익숙해질만하면 주변 직원들의 교체로 방황의 새로운 시작,"요즘 젊은이들이 열정이 안넘친다고 누가생각하나요
누구보다 열심히하지만 경영진들은 사람귀한지 모르잖아요..."
2.7,(주)케이엔엔미디어플러스,2022. 06,2점,"""그냥 정규직을 위한 회사 비정규직은 노예 이직이 답이에요""","식당 밥이 맛있다, 회사가 크다, 가끔가다 연애인볼수있다","과한 업무, 정규직과 비정규직의 급여 대우 차이가 많이남",직원들의 불만만 듣지말고 작업 환경 개선해줬으면 좋겠습니다.
2.7,(주)케이엔엔미디어플러스,2022. 06,1점,"""미디어쪽으로 나가고싶으면 일해보는것도 추천
깨어있는듯하나 보수적인 집단, 나이있는 여직원들 뒷말이 굉장히 심한편임""","연차 자유롭게 쓸수있음
다른직장보다 개인시간이 있음
자유롭게 의견을 낼 수 있는 것 같음","업무가 체계적이지 않다
깨어있는듯하지만 심각하게 보수적인 집단",업무를 체계적으로 할수있었으면 좋겠습니다
2.7,(주)케이엔엔미디어플러스,2022. 06,3점,"""비정규직을 위한다고 하지만 실상은 ….""","팀원간의 사이가 매우 돈독함 ,선후배 사이 좋음 , 퇴근후 자유",일이 한사람에게 몰리는 경우가 많다. 미루는 일도 많다 회식 잦은편,써먹을데로 써먹고 내팽겨치지마세요 ……..
2.7,(주)케이엔엔미디어플러스,2022. 05,2점,"""인턴으로써는 괜찮았던거 같았어요. 직원들이 젊었습니다.""",직원들이 젊었고 으쌰으쌰하는 분위기 속에서 잘 지냈던거 같아요. 힘들지는 않았어요,그냥 뭐 단점은 잘 없지만 젊은 사람들이 좀 꼰대기질이 심했던거 같아요 좀 심각했어요 인상지푸리고 욕설도 난무하고 그랬어요,뭐 이 글을 보지도 않겠지만 그냥 잘 되었으면 합니다. 바라는점 없어요
