총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,(주)휴온스,2022. 09,3점,"""회사규모에 비해 내실은 튼튼하지 않아 많이 불안정한 회사""",팀바팀. 워라밸이 좋고 연차사용 자유로움. 식대제공. 명절선물제공. 깨끗한 신사옥,무너진 인사체계로 레벨이 낮은 직원 입사가 잦음. 이로인해 일을 하는사람만 하는 경향 다수 존재. 연차가 적어 마이너스연차가 대부분. 판교물가를 고려하지않는 식대제공.,조금더 합리적인 경영방식을 보여주었으면 좋겠습니다. 무조건적으로 매출증대만를 목표로 하는 경영방식은 직원들의 애사심을 낮추고 결정적으로 퇴사로 이어집니다.
2.6,(주)휴온스,2022. 08,1점,"""부장급으로 오면 편하게 일할 수 있는 회사
그 전에는 오면 손해, 금방 이직 생각남""","과장까지 진급이 쉬움, 적당히 눈치 봐가면서 일하면 됨
못하면 목표 알아서 줄여줌
관리자들 예산 훔쳐쓰기 바빠서 신경 잘 안씀","경구제 팔 생각하지말고 비급여주사제 판매 생각하면 됨, 물경력들 많아서 배울 생각말고 혼자해야함",이상한 품목 갖고오지말고 신약 개발에 힘쓰길 바람
2.6,(주)휴온스,2022. 08,3점,"""대기업이 되기위하여 많은 노력을 하는 회사로 기억하며 임원진이 많은 노력을 함""",큰 노력을 하지 않아도 높게 평가하는 경향이 있으며 서로 관여를 하지 않음,시스템의 부재가 많이 보였으며 투자를 적극적으로 하지 않았던 것으로 기억함,체계적인 시스템 도입 및 실질적인 복지제도 실현이 필요함
2.6,(주)휴온스,2022. 08,3점,"""중소기업 보다는 복지부분에서 낫지만 여기저기 눈치봐야하는 경우가 많음,사람들이 자주 바뀌는편""","명절이나 회사창립일에 회사제품(건강기능식품 등)을 선물로 줌, 사옥이 새로 생김, 회사 출퇴근버스 지원해줌","업무외 일을 하게 되는 경우가 종종 있음, 계약직의 경우 정규직 전환어려움,수평적 구조는 아님",군대 문화가 많이 있는것같다. 직원을 같이 일하는 동료로 존중하고 생각해줬으면 좋겠다.
2.6,(주)휴온스,2022. 08,3점,"""오리지널 제품은 없으나 다양한 제품 판매 경험 가능""",주사제 시장에서는 그래도 상위권이라 영업에 도움이 됨.,회사에서는 장비나 처방약에 더 큰 압박을 하지만 해당 제품들은 주사제와 비교해 상대적으로큰 메리트가 없다보니 랜딩하기 어려움,영업부의 의견을 더 많이 들어주셨으면 좋겠음
2.6,(주)휴온스,2022. 08,2점,"""다양한 제품에 대해 배울 수 있고 자신이 뭘 잘하는지 깨달을 수 있다 워라밸은 본인이 지키기 나름""",제품이 다양하다 사옥이 좋다 일이 많다 커리어성장 가능하다 급여가 나쁘지 않다,급여가 나쁘지 않지만 자신의 것이 아니다 가라가 많다 와보면 알게된다 하지만 오지 않는걸 추천한다 가스라이팅,바라는 것 없습니다 바란다고 바뀌는 것도 아니고 그냥 서로 알아서 삽시다
2.6,(주)휴온스,2022. 08,3점,"""매년 꾸준하게 성장세를 이어가고 있습니다. 앞으로의 발전가능성이 큽니다.""",신사옥으로 이전하여 근무환경이 매우 쾌적합니다.또한 전문경영인 체제로 전환되어 앞으로의 기업의 비전이 있을것으로 판단됩니다. 또한 직원 처우개선이 있을것으로? 판단합니다.,"기존재직자의 퇴사율이 매우높고, 회사의 접근성이 떨어집니다 .접근성이란, 기업의 위치자체가 판교 안쪽에 있다보니, 출퇴근이 대중교통으로는 힘들고, 자차로 이용시 교통체증이 매우심합니다.","직원들의 불만사항에 대해 귀기울여 들어주고, 기존 재직자에 대한 처우개선이 필요합니다."
2.6,(주)휴온스,2022. 08,3점,"""업무 강도 괜찮고 모든 기기를 다뤄 신입이 배우기 좋은 회사""","체계적이려고 노력을 하는것 같음
업무 강도 괜찮음
쉬는시간이 있음
칼퇴 눈치 안보고 할수 있음","연차 눈치보고 써야함(2일이상 붙여쓰기 힘들다)
복지라고 할게 없다
규모대비 연봉이 낮다","합리적인 복지,연봉 체계가 필요하다
사실상 이용할 수 있는 복지가 아예 없음"
2.6,(주)휴온스,2022. 08,1점,"""영업사원 소모품으로 느껴지는게 명확한 회사입니다. 절대로 오마세요.""",그나마 조금의 워라벨 ? 그거말곤 없는듯 하다. 현지 출퇴근 가능,"구시대적 역행하는 gps콜 시스템
신제품이라 들고 오는 것들은 전부 똥약이면서 매출 올리라는 이해가 안가는 경영진들 투성이
인센티브 정책 퇴보, 직원들 사비 써가며 일하는중
경영진 오판으로 문제된 것들, 전부 영업사원 탓으로 돌리는중
결론 : 절대 오지마세요","직원들을 위한 정책을 만들어주시고, 현업 직원들의 고충과 의견에 대해 귀 기울여주시길"
2.6,(주)휴온스,2022. 08,1점,"""영업사원 갈아넣는 회사
소모품 취급 함
정책은 점점 힘들어짐""","쉴새없이 들어오는 신제품들로
회사가 굉장히 가파르게 성장함","영업사원 소모품 취급
영업하기 점점 힘들어지는 정책
회사가 성장할수록 직원들한테 돈 아낌","제발 현직자들 이야기를 들어라
돈 벌었으면 좀 직원들에게 베풀어라"
2.6,(주)휴온스,2022. 08,3점,"""부서이동이 절대불가한점이 가장 아쉬움
처음 지원한곳에서 그만두기전까진 근무해야함""",고정형 단체휴가가 있음 장점이라고 보긴 어려울수도있지만 정해진날짜가 있어 나름 휴가 계획을 미리 짜 두어도 되니 괜찮은듯함,출퇴근 하기 힘든 위치에 있고 택시잡기도 여의치않음 자차가없다면 출퇴근하기 힘듬,제너릭말고 신약개발의 지원과 추진을 통한 주도적 사업을 했으면 함 기업의 성장성이 불투명해보임
2.6,(주)휴온스,2022. 08,4점,"""영업만 잘하면 편하게 일 다닐 수 있었음. 가끔 신규 품목 팔라고 하는데 잘못 팔면 머리 아파짐.""","팀바팀이고 분위기가 다르다고 함
지역 배정 잘 받는 것도 운임","생각했던 것보다 피오제보다 주사제 영업이 주를 이루기 때문에 실망할 수 있고, 오리지날이 없음.",다른 곳 투자 말고.. 오리지날 신약 개발에 힘써주세요.
2.6,(주)휴온스,2022. 07,2점,"""군대문화가 너무 심한 회사.. 가족기업이라 그런지 전반적 분위기가 탑다운이 심하고 부회장눈치를 엄청봄""","일비나옴, 법카사용자유로움 등등 그냥 다른 제약회사도 있는 기본적인 점들..","너무 심각한 군대식 문화, 꼰대문화가 심하다.
눈치를 너무 많이봐야함",가족기업의 느낌을 덜 주게끔 하면 좋을것같음. 부회장만 오면 그 층은 살얼음판이라던데..
2.6,(주)휴온스,2022. 07,3점,"""일하는 사람만 일하고 업무량에 관계없이 편애로 얼룩져 적응하지 못핰 자들은 계속해서 물갈이되는 곳""",경력직으로 오면 전직장 연봉 고려해서 협의해주고 어느 정도 기간 지나면 스스로 일정 짤 수 있음,잡다한 페이퍼웤 많음. 비슷한 문서 작성했는데 또 작성시킴. 라인있는데 못들면 버티기 어려움. 부바부,보고를 시키지 마시거나 보고 내용을 기억해주세요. 의미없는 반복 업무에 지칩니다.
2.6,(주)휴온스,2022. 07,3점,"""발전가능성이 많고 부회장이 열정이 넘치는 회사""",근무당시에는 중견기업치고 복지가 좋았고 여러가지 제형 생산을 하여 실험 경험을 늘리기 좋은 회사,OEM 제품들이 너무 많고 제품수도 어마어마해서 매일매일 새로운 실험을 하는 스트레스와 고인물들의 텃세가 아주 볼만핬었름,복지 줄이지말고 늘리는 방향으로 가야된다 직원을 소모품으로 생각하지마시길
