총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.6,금강철강(주),2022. 06,1점,"""회사가 탄탄하여 월급이 밀리거나 줄어들 걱정은 없습니다.""",일을 열심히하면 그에 따른 월급 인상폭이 타기업에 비하여 꽤나 큰편이고 업무를 다양하게 많이 배울 수 있습니다,업무과중 및 년차를 생보다 자유롭게 사용하지는 못합니다. 회사의 상황의 맞추어 사용해야 합니다.,직원들의 복지에 조금더 투자해주시면 좋을 것 같습니다
1.6,금강철강(주),2022. 06,1점,"""사장말이 곧 법이다
출근 첫날 나이 많다고 해고하는 회사
더 할말이 필요할까요""","기업규모는 크나
회사는 수직적인 문화
팀내 분위기는 좋아보임","사장말이 곧 법
입사 첫날 사장님께 인사드리러 올라갔더니
나이많은 신입을 왜 뽑냐고 앞에서
이사님께 막말을 한다
그리고 어린친구를 뽑으라고 그자리에서 해고 통보 받음
매주 월요일 회사를 점검한다고함
출근한다고 기뻐하지마세요
모르는 겁니다","사장이 바라는 면접 기준이 있다면 더욱 자세히
적어두었으면 한다"
1.6,금강철강(주),2022. 05,1점,"""밑바닥부터 윗상사 비유 다 맞추면서 시작할 사람한테 추천드림""",회사에 사람이 많이 없음 밥은 그럭저럭 먹을 만함 일하는 사람들이 착함,출근시간 8시반인데 7시반에는 들어가 있어야 눈치안줌.,군대 문화 좀 줄여주고 회사 사람들한테 신경 좀 써줬으면
1.6,금강철강(주),2022. 04,1점,"""직원들의 소중함을 모르고 갈아치우면 된다고 생각하는듯한 회사""","야근 할 경우 저녁식대 제공했었음, 회사에 돈이 많아 기업이 탄탄함, 야근을 할 경우가 적음","출근시간이 8시 30분까지지만 8시 15분까지는 와있으라고 하고, 수직적인 기업이라 윗사람의 눈치를 많이 봐야함, 업무적으로 배울게 많이 부족함",탄탄한 회사인데 직원 복지에 조금 더 힘써주고 수직적인 기업 문화좀 수평적으로 만들도록 노력해야지 젊은 사람들이 오래 남아있을거같다.
1.6,금강철강(주),2022. 01,1점,"""아무런 복지 없고 정시정퇴 괜찮은 사람들에게 나쁘지 않고 일빡시게 배우는 것은 가능.
나이든 사람들 맞추는 것이 괜찮을지….""","정시정퇴 (부서별로다름)
말고는 딱히 없는듯
모든 법률적인 것 테두리 안에 함","복지 없음 -명절에 선물도 없음, 돈 많은데 이상한데 쓰고 직원들에게는 돈을 안씀
연차 2일이상쓰는거 눈치줌 - 불러다가 뭐라함
사장님 쌍욕함
우유부단한 대표에 포악한 사장에 나이든 회장
압존법 씀 - 아래사람에 대한 존중 없음, 자기보다 어리면 무조건 반말
여자직원들 유니폼입음
남여차별있음 - 연봉이던, 일이던
고졸 직원만 채용해서 싸게 쓰려고 함 - 경력 필요한데도 신입만 주구장창뽑고 나가고 반복
문제가 뭐인지 모르고 남탓만 함
필요한 일인데도 돈을 안씀
인터넷뱅킹 안쓰려고함 무조건 은행감
시대역행하는중 아직도 70-90년도에 사는 사람들이 많음","문제파악이 시급하고 어찌저찌 굴러는 가지만 10년이내로는 정말 50-60대-70대만 남을 것 같네요.
그들끼리 잘먹고 잘 하기를.. 젊은애들은 떠날 수 밖에 없는 구조
를 인식했으면."
1.6,금강철강(주),2021. 11,2점,"""영업은 임원이 다하고 영업관리 발주 견적을 열심히하는곳""","아침 점심 저녁 제공 , 여직원들 휴게실, 여직원들 유니폼제공","여직원들의 텃새, 보수적인 회사 , 직원들에게 막대하는 사장님 , 야근 강요, 토요일 특근 출근","사람을 소중하게 생각해주셨으면.. 사회생활 경력중 이곳에서 먹은 욕이 제일많고 자괴감들게 하는곳입니다.인격모독이
너무 심한곳입니다."
1.6,금강철강(주),2021. 09,1점,"""남자는 대졸 뽑고 여자는 고졸만 뽑으려고 하는 마인드, 여자는 살아남을 수 없는 회사.""",회사가 망할 걱정 없음. 월급이 밀리는 일 없음. 특성화 고등학교로 연락해서 채용하는 편이라 또래끼리 일 할 수 있어서 여직원들끼리 사이가 좋음. 직원들에게 돈을 쓰지 않지만 회사 리모델링에는 돈을 많이 써서 사무실을 예쁘고 깔끔하게 꾸밈.청소 업체를 써서 깨끗한 환경에서 일 할 수 있음. 회사 전산 프로그램이 잘 만들어져 있어서 한번 배우면 일 하기 간단하고 편한 편임. 똑같은 일을 반복하고 일이 어렵지 않아서 경력이 없어도 누구나 할 수 있는 일임.,회사가 돈을 잘 버는데 절대 직원들에게 쓰지 않음. 야근해도 수당 안 줌. 회사 다니면서 설 추석에 선물 한번 받아본 적 없음. ( 거래처에서 받고 남은걸 직원들에게 랜덤으로 나눠주거나 담당 거래처들이 따로 챙겨주심 ) 휴가비는 당연히 준 적 없고 휴가도 직원들이 교대로 가야함. 토요일과 공휴일에도 특근을 해야함. ( 즉 휴가도 공휴일도 회사가 하루도 쉬지 않으려고 직원들을 교대로 근무하게 함 ) 연차가 남아도 돈으로 챙겨주지 않음. 점심시간에도 당번을 정해 사무실 자리를 지키고 기사님 응대를 하도록 시킴. 오래 못 다니고 퇴사하는 사람이 많고 인수인계가 제대로 되지 않아 업무 분담이 불확실함.,"왜 점심시간까지 쉬지도 못 하고 밥도 못 먹게 직원들 점심시간 당번을 정하고 사장님 전화와 기사님 응대를 해줘야 하는지 이해가 안갑니다. 쉴 때는 쉬게 해주세요 제발 ....... 엄청난 복지를 바라는것도 아니고 이 부분은 제발 바꼈으면 좋겠습니다.

하지만 안타까운점은 지금처럼 경영해도 기업은 계속 돌아가겠죠. 직원들이 다 나간다해도 순수하고 아무것도 모르는 고등학생들은 차고 넘치니까요."
1.6,금강철강(주),2021. 08,1점,"""오래 다닌 직원들도 퇴사하는 평생 직장으로 다닐 수 없는 곳""","회사 다니면서 강한 멘탈을 기를 수 있었음
연차 겹치지 않으면 자유롭게 쓰게 해줌","복지 없음
점심시간 눈치 줌
토요일 특근 있음
거래처와 본사의 갑질
업무 분담 불확실","바란다고 고칠 수 없음
직원들의 퇴사가 답이라고 생각합니다"
1.6,금강철강(주),2021. 06,1점,"""가족회사 입니다 사장님의 말이 법입니다 별점이 낮은건 다 이유가 있습니다""","내일채움공제 가입 가능합니다 ^^!!!!!!!!!!!!!!
복장 화장 염색 자유, 꼰대같이 터치하는 사람 없었음
본사말고, 시화공단 직원분들은 다 좋은분들임ㅠㅠ🖤
야근은 없는 편, 하지만 남아도 야근수당 없음
사무실, 휴게실, 화장실 깔끔하고 이쁨","당번 정해서 점심시간에도 일 시킴
당번이면 점심 못 먹고 계속 자리 지켜야 됨
복지라고 할 수 있는게 아예 전혀 없음
편의점 진상손님보다 심한 기사들과 거래처와 본사 직원들의 막말을 받아줘야함 (멘탈 강한사람에게 추천함 ^^*)","사장님 점심시간은 좀 눈치주지말고 쉬게 해주세요~~
잠깐 기다리는 기사들 말고 직원들을 먼저 생각하시길 ^^"
1.6,금강철강(주),2021. 05,1점,"""여러모로 큰일 날 회사
겉모습에 속지 말아야한다는 걸 깨닮.""","식대를 지원한다.
락커룸이 있다.
기업 업무상 업무를 잘 익히면 다른 곳에 이직해서도 경력으로 인정받을 수 있다.
사무실이 깔끔하고 예쁘다.","요즘이 어느시대인데 사무직인데도 불구하고 여성분들만 업무복이 있음.
사무실에서 큰 소리와 반말, 욕설이 난무함.
사람을 하나의 부품으로 봄.
그래서 신입이 없고 그래서 중간관리자도 없음.",계속 이렇게 운영하시다가 신입사원은 매번 퇴사할 것 같습니다.
1.6,금강철강(주),2021. 01,1점,"""직원들 사기를 꺾는곳
다들 책임회피하며 아랫사람에게 책임을 떠넘김""",회사에 돈이 많음 그렇지만 그걸 직원들한테 쓰지는 않음,"직원대하기를 소모품 처럼 대함
인간에 대한 기본적인 예의가 없음",함께살아가는 세상인데 어린 직원들 괴롭히지좀 마세요
1.6,금강철강(주),2020. 06,4점,"""퇴근시간에 상사가 퇴근을 안해도 눈치 안보고 퇴근가능해요""","연차나 휴가 퇴근은 자유로운 편이에요
퇴근할때 상사가 퇴근안해도 퇴근못하게 하거나 그런게 없어요",업무적인것도 그렇고 야근을 하면 직원들 다같이 저녁을 먹곤 하는데 차라리 안먹고 얼른 일처리 끝내서 퇴근하고 싶어요,직원들이 계속 바뀐다는건 이유가 있다는건데.. 알아주셨음 좋겠어요
1.6,금강철강(주),2020. 03,2점,"""회장 대표 사장 이하 눈치보는게 여기까지 느껴짐 중견기업이라고는 하나 실무를 하다보면 이게 정말 중견기업이 맞나 싶다""",복장 자유로움 업무시간에 밀린일만 없다면 병원 외 본인 업무 봐도 됨 사생활 터치 안함 회식강요 없음 칼퇴근 가능,"연차는 자유롭지만 2개 이상 붙여쓸 수 없음 주먹구구식 항상 데드라인 직전에 업무처리
모든게 다 되도 대표가 안되면 싹 다 갈아엎음 업무분장이 똑바로 안되서 누가 뭘 했는지 기억도 못하고 나중에 한사람한테만 몰아감 복지라고 할 수 있을만한게 없음",본인이 밥값으로 쓰는 돈은 안아깝고 직원들한테 돌아가는 돈은 아까우신지.. 엉뚱한곳에 헤픈 돈 쓰지 말고 제대로 쓰세요
1.6,금강철강(주),2020. 01,3점,"""본사는 군대식,구시대식 기업
지점은 편안한 분위기로 업무가능한 회사""","자신의 일을 다하면 윗상사눈치 보지 않고 퇴근가능.
남자직원들과 본사임원들 사이에서는 군대식 구시대식으로 느껴질수있으나
경기지역 임원과는 그런것이 없음.","업무의 분담이 체계적으로 되어있지않아 직원들간에 업무미루기 많이 발생
최고경영자가 직원들에게 막말 심함","업무분담이 체계적으로 되어있었으면 좋겠습니다 .
그리고 최고경영자 막말..."
