종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio,TF
CJ프레시웨이,32.142857142857146,14.285714285714285,17.857142857142858,0.0,0.0,0.0,0.0,37.0
CMG제약,9.375,0.0,6.25,3.125,0.0,0.0,0.0,6.0
ITX엠투엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JW신약,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ미디어,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0,0.0,1.0
고려제약,4.285714285714286,0.0,0.0,0.0,0.0,2.857142857142857,1.4285714285714286,2.0
고영,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
광진윈텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국일신동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국일제지,12.82051282051282,0.0,0.0,2.564102564102564,10.256410256410255,0.0,0.0,6.0
그랜드백화점,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나노엔텍,30.434782608695656,0.0,0.0,0.0,17.391304347826086,8.695652173913043,4.3478260869565215,7.0
나라엠앤디,13.513513513513514,0.0,0.0,0.0,0.0,0.0,13.513513513513514,5.0
네패스,18.085106382978726,0.0,3.1914893617021276,0.0,3.1914893617021276,9.574468085106384,2.127659574468085,18.0
뉴로스,12.698412698412698,0.0,0.0,0.0,0.0,11.11111111111111,1.5873015873015872,8.0
다믈멀티미디어,23.91304347826087,0.0,0.0,0.0,0.0,5.434782608695652,18.478260869565215,41.0
대성미생물,26.923076923076923,0.0,0.0,0.0,1.9230769230769231,11.538461538461538,13.461538461538462,14.0
대주산업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대창솔루션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
데이타솔루션,14.705882352941178,2.941176470588235,0.0,2.941176470588235,0.0,5.88235294117647,2.941176470588235,3.0
동구바이오제약,4.545454545454546,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0
동국제약,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동방선기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동운아나텍,15.254237288135593,0.0,1.694915254237288,0.0,5.084745762711865,8.47457627118644,0.0,8.0
동원개발,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동일금속,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동일기연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동진쎄미켐,17.142857142857142,2.857142857142857,0.0,0.0,14.285714285714285,0.0,0.0,5.0
듀오백,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
디에스티로봇,17.24137931034483,5.172413793103448,6.896551724137931,1.7241379310344827,1.7241379310344827,1.7241379310344827,0.0,14.0
디에이테크놀로지,13.461538461538462,0.0,0.0,0.0,1.9230769230769231,5.769230769230769,5.769230769230769,7.0
디지아이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
디지털대성,11.11111111111111,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,6.666666666666667,2.0
디케이락,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
